Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Cluster273	2.5518452005201274e-08	5.002929125846738e-09	1.6919775053595602e-07
Cluster287	2.6146999906322814e-08	5.4976150721962415e-09	9.87027751014771e-07
Cluster188	2.390140717311767e-08	5.059990278561108e-09	1.1584879338367114e-06
Cluster272	2.629093178399577e-08	5.628861410013633e-09	1.5006042781022838e-06
Cluster270	2.6963994031032852e-08	5.899480380968408e-09	2.431985287560249e-06
Cluster403	2.5622154005171476e-08	5.7872153294067646e-09	4.769411352766475e-06
Cluster269	2.4819332833441058e-08	5.805441022532503e-09	9.54894366855681e-06
Cluster228	2.4426707738622448e-08	5.780729871390665e-09	1.1918401529123763e-05
Cluster404	2.566740851299179e-08	6.090676693759049e-09	1.2532536304431592e-05
Cluster240	2.5646505321619835e-08	6.246062889150181e-09	2.0126088391599853e-05
Cluster233	2.395088854312351e-08	5.902083757801442e-09	2.4743208171417506e-05
Cluster217	2.4139023284729565e-08	5.962062361315355e-09	2.574368127676668e-05
Cluster275	2.2830835536633516e-08	5.669881367445144e-09	2.8284170496276428e-05
Cluster242	2.278806739382602e-08	5.6703533242930445e-09	2.9246521938921978e-05
Cluster274	2.3544734727680428e-08	5.897376575757568e-09	3.2702825231709545e-05
Cluster241	2.490597288911196e-08	6.381566239691665e-09	4.75432534054182e-05
Cluster179	2.586536757275928e-08	6.754379383548333e-09	6.422234824042879e-05
Cluster231	2.36281164761803e-08	6.227518409420374e-09	7.407612653382622e-05
Cluster250	2.172193042781152e-08	5.798446326686446e-09	8.977964216848329e-05
Cluster239	2.3100801156516828e-08	6.212878109788179e-09	0.00010031872536225242
Cluster178	1.8484546944088256e-08	5.1010497995989736e-09	0.00014522322969854574
Cluster243	2.3329235921402717e-08	6.538767037215381e-09	0.00017997214585743418
Cluster271	1.9423641589359e-08	5.509291033876158e-09	0.00021124998814613837
Cluster286	2.0026152730547228e-08	5.731961191102203e-09	0.0002381257699283582
Cluster229	2.067982622040716e-08	5.976077182207433e-09	0.0002696517788856893
Cluster281	2.1042377385444932e-08	6.116471603505193e-09	0.0002905558982884166
Cluster167	2.331407833048732e-08	6.79962978186246e-09	0.0003032089134664348
Cluster282	1.9701382838583772e-08	5.750083464723933e-09	0.0003059571917879083
Cluster123	2.39173255691004e-08	7.059709504918658e-09	0.00035219774921357513
Cluster296	2.241863487870849e-08	6.6279791537461544e-09	0.00035924595096602333
Cluster288	1.9887269799094153e-08	5.923225017328061e-09	0.0003932436781971599
Cluster202	1.65721669629849e-08	5.047641074851592e-09	0.0005132686365597198
Cluster227	1.9713555826601584e-08	6.010126162957388e-09	0.0005189307515610521
Cluster254	2.1865448045056235e-08	6.715110938055819e-09	0.000564658638216949
Cluster249	1.9488466791135614e-08	6.107484936444441e-09	0.0007091143888387047
Cluster251	1.99996912232275e-08	6.27325432167354e-09	0.0007160829793058132
Cluster122	2.1791577375040353e-08	6.840122006110562e-09	0.0007216562699926084
Cluster252	2.091666374484457e-08	6.650540623873806e-09	0.0008301296727916669
Cluster289	1.8188523263650458e-08	5.788106953274169e-09	0.0008378565883024049
