Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Cluster404	8.41653633295049e-09	2.195395505037987e-09	6.310935807905162e-05
Cluster126	9.729294733853856e-09	3.0550018048991877e-09	0.0007244957287446404
Cluster188	6.344779101741608e-09	2.1070972550385046e-09	0.001301315076092763
Cluster250	6.292565830300683e-09	2.1055592206452503e-09	0.0014015300869409753
Cluster136	7.999494297676827e-09	2.782473130683378e-09	0.00202040413256769
Cluster125	7.834741753780435e-09	2.731819985071266e-09	0.0020656595727238185
Cluster204	6.385487119397602e-09	2.3079755923042685e-09	0.002831300358122842
Cluster253	6.799588320100479e-09	2.540126337042714e-09	0.003715671684310631
Cluster200	5.788952850964974e-09	2.2110206742528668e-09	0.004419406136608287
Cluster117	6.959542693688829e-09	2.6719953303927767e-09	0.004598759006043501
Cluster272	5.458192601267753e-09	2.1889561281567452e-09	0.006324281026222187
Cluster157	5.845803553519675e-09	2.3697054986102794e-09	0.0068146048797593116
Cluster419	5.574470249276655e-09	2.2752386748517875e-09	0.007141629459681994
Cluster137	6.03861855398143e-09	2.4815175607946677e-09	0.007478103084565543
Cluster364	6.015163733443167e-09	2.484016254993944e-09	0.0077272873055473255
Cluster239	5.769337009203863e-09	2.4083370781084888e-09	0.008297301246375061
Cluster168	6.636501912516586e-09	2.775028154221107e-09	0.008389660116879727
Cluster169	6.632269288325534e-09	2.7930971253674755e-09	0.008785855456690337
Cluster256	5.8521330827344554e-09	2.5002295407270936e-09	0.009625402898644402
Cluster122	5.998776729333972e-09	2.5890827396802597e-09	0.010253212281456371
Cluster252	5.518543236557809e-09	2.4175162157103467e-09	0.011223060181948604
Cluster186	6.8975883408467836e-09	3.0990676046897362e-09	0.01301721088544297
Cluster127	6.487564726573612e-09	2.9693575312623278e-09	0.014450368848734333
Cluster203	4.63907681891184e-09	2.162511497511136e-09	0.015967373714478757
Cluster135	5.838536398945671e-09	2.759037214304449e-09	0.017166029183658716
Cluster376	4.79413814028116e-09	2.280170377007839e-09	0.01775321628256875
Cluster123	5.301043439512518e-09	2.5388325038374294e-09	0.01839960714820026
Cluster270	4.477456943920736e-09	2.154282179839678e-09	0.01883633340122773
Cluster156	5.069698469811741e-09	2.4518000765808168e-09	0.019331982493924163
Cluster146	4.8608175080699635e-09	2.3600630481146655e-09	0.019717756490474598
Cluster395	5.5293338366559504e-09	2.74014828667277e-09	0.021801055049012415
Cluster242	4.5512522245242225e-09	2.256040321918966e-09	0.021828823857668878
Cluster139	5.288376427487477e-09	2.623715753243344e-09	0.021920611636228736
Cluster124	5.309201804529127e-09	2.6359821678608933e-09	0.02199812165761347
Cluster368	4.82136717362269e-09	2.3972654267120804e-09	0.022152455335281276
