Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Cluster207	4.129145636258677e-08	1.1936602358568239e-08	0.0002708607647581696
Cluster152	4.9022017519487804e-08	1.4259582940002163e-08	0.00029319820002501505
Cluster231	3.734548444291728e-08	1.0903677929530162e-08	0.00030735949902601707
Cluster242	4.005379775390467e-08	1.1744073546449958e-08	0.0003241551485155294
Cluster296	3.960051908334961e-08	1.1712006959718638e-08	0.00036086328840823333
Cluster228	4.0722575303066245e-08	1.2245882751872556e-08	0.0004414437269630288
Cluster243	4.060787601137445e-08	1.2391760067447509e-08	0.0005245701120163811
Cluster250	3.895463436223603e-08	1.2300439473545279e-08	0.0007702862141530038
Cluster151	4.20725864106031e-08	1.4417099746465251e-08	0.0017600550452982005
Cluster253	3.9885639519418045e-08	1.3693083495856474e-08	0.0017908413242812824
Cluster404	3.380511544458747e-08	1.2024282983001266e-08	0.0024662915600771056
Cluster249	3.896636022823772e-08	1.4017145907528072e-08	0.0027187244795584217
Cluster283	3.5902401894067084e-08	1.3112113639790231e-08	0.0030896756082843518
Cluster248	3.951271659696011e-08	1.4482602359288902e-08	0.0031831956379057783
Cluster273	3.470157387200218e-08	1.2798600417221246e-08	0.003350422629355969
Cluster225	2.9598177169455365e-08	1.1173402455776255e-08	0.004036693963286063
Cluster217	3.124094050465628e-08	1.200438901295924e-08	0.004627882524314995
Cluster232	2.771294137306693e-08	1.0925202783005952e-08	0.005596633105058397
Cluster239	3.528523338908478e-08	1.399406606915524e-08	0.005843738216758183
Cluster274	3.2564734337878804e-08	1.295926699257782e-08	0.0059879594302979676
Cluster241	3.094458737292381e-08	1.2345212354540614e-08	0.006094819509172775
Cluster229	2.6243778671307004e-08	1.0653943478238937e-08	0.006883378471039681
Cluster139	3.082678815631648e-08	1.2572538851360584e-08	0.007104924458673926
Cluster177	2.827321577614993e-08	1.1686159665069884e-08	0.007773577380035355
Cluster136	3.2445660010469164e-08	1.3464762532913959e-08	0.007983435985885563
Cluster406	3.1505696247231765e-08	1.3159013291622452e-08	0.008327664535013685
Cluster147	3.17153432777376e-08	1.331673191672792e-08	0.008618427921793346
Cluster405	3.48990040691035e-08	1.4955458260811286e-08	0.009810184137448748
Cluster234	2.7548846199962517e-08	1.1864272294390306e-08	0.010116454352879195
Cluster292	3.252016772661539e-08	1.4350540431787952e-08	0.011721760367295856
Cluster289	2.9041834559472875e-08	1.2929362851276927e-08	0.01234584840246618
Cluster135	3.051998411695347e-08	1.3669064412038422e-08	0.012781799150358805
Cluster245	2.6863220210014508e-08	1.2086907663234149e-08	0.013124577326607482
Cluster266	2.934985010412282e-08	1.3235645301068952e-08	0.013294970111374082
Cluster264	2.701851406990674e-08	1.2221155259275595e-08	0.013524890210370543
Cluster295	2.9955341915346113e-08	1.3826273231802188e-08	0.015134509888526196
Cluster157	2.9419253369188308e-08	1.3685787744788843e-08	0.01579261270782597
Cluster282	2.97083505393633e-08	1.385343345846543e-08	0.01599739774907542
Cluster240	2.5080090313293925e-08	1.18373223205787e-08	0.01705664434034697
Cluster403	2.4287096334039144e-08	1.1506683030596827e-08	0.017399275514890466
Cluster122	2.451183425681549e-08	1.1790568010607447e-08	0.01881162460252328
Cluster429	2.5214430170019244e-08	1.2208688589503267e-08	0.01944798708773173
Cluster178	2.4688668459661633e-08	1.197587024272612e-08	0.019626042625320594
Cluster291	3.115303557897318e-08	1.5185096564944183e-08	0.020106545376346388
Cluster155	2.4681134659029128e-08	1.2035946389651672e-08	0.020152055342129965
Cluster270	2.6903226192239116e-08	1.3123139908078384e-08	0.02017928065819908
Cluster216	2.274484760269095e-08	1.1124882388598792e-08	0.02045197533505634
Cluster426	2.429222577086431e-08	1.1972061602027154e-08	0.021225262641803792
Cluster137	2.7557727980048182e-08	1.370145717248235e-08	0.022146938682966494
Cluster226	2.32318556681656e-08	1.1569203374966202e-08	0.022317534473605776
Cluster224	2.5369191093017716e-08	1.2721117567657122e-08	0.023061930666765054
Cluster213	2.802121625476677e-08	1.4058394376147432e-08	0.02311967985493812
Cluster290	2.608248621832831e-08	1.3231785600712596e-08	0.02435054326053584
Cluster287	2.200391571420052e-08	1.1182999561599278e-08	0.02455577452888624
Cluster456	2.4778821140182628e-08	1.280062366332515e-08	0.026449097249495686
Cluster271	2.5826255062452184e-08	1.337487919365152e-08	0.026744469666718985
Cluster252	2.5382148643210098e-08	1.3170128067784732e-08	0.026974149361031
Cluster124	2.478426091439387e-08	1.2907643053657806e-08	0.027421189157371965
Cluster140	2.2717155431440868e-08	1.1922844866556445e-08	0.028367496776968277
Cluster309	2.4213298564158296e-08	1.275829365467096e-08	0.02885807225216609
Cluster138	2.526005315017899e-08	1.3330726643501808e-08	0.02905451924850685
Cluster212	2.3810486031890846e-08	1.2584633559695147e-08	0.029243588249450343
Cluster208	2.2911564672039623e-08	1.2216640554408037e-08	0.030366174049099155
Cluster428	2.395233875385891e-08	1.3000064994035922e-08	0.03270260270070354
Cluster277	2.5183368108905676e-08	1.4087979681126277e-08	0.03692202685178972
Cluster275	2.287254201615585e-08	1.2876597581388505e-08	0.037842754019614365
Cluster272	2.3246513564966433e-08	1.309321014308668e-08	0.03791071337214334
Cluster244	2.3239496698700008e-08	1.3173884662381042e-08	0.038861106910405084
Cluster451	2.4708828046069604e-08	1.4014167328061432e-08	0.038939107549216985
Cluster123	2.1811286133857372e-08	1.2415172880019902e-08	0.0394738209629193
Cluster227	1.8687597727260016e-08	1.0819593306990715e-08	0.04206590722625299
Cluster35	1.996965917979039e-08	1.1576756658279358e-08	0.04226565146559971
Cluster141	2.2428257124227963e-08	1.3104332653104705e-08	0.043493075891522445
Cluster269	2.1286126008398878e-08	1.2450920795666534e-08	0.04366969640360069
Cluster439	2.1283671670130462e-08	1.2502103726320535e-08	0.0443395286049069
Cluster334	2.069188150043012e-08	1.2225257471771818e-08	0.045270406459574794
Cluster230	1.8893112063335626e-08	1.1317408166365773e-08	0.04752054669089278
Cluster281	2.3098638446400003e-08	1.4123938441902706e-08	0.05098001913243885
Cluster284	2.0113686445193142e-08	1.2381906249512273e-08	0.052140772868466155
Cluster150	2.280658557929271e-08	1.404422617773106e-08	0.05219730954982104
Cluster223	1.762167174650871e-08	1.0882642047013233e-08	0.05269720034463831
Cluster455	2.0508184855629527e-08	1.2671270085689671e-08	0.05277970175634467
Cluster293	1.7254402895745897e-08	1.0717864356945995e-08	0.05371276726554517
Cluster233	1.7817705484992318e-08	1.109973736359249e-08	0.05422086473640343
Cluster110	1.939753315938236e-08	1.2178323495318656e-08	0.055603458557489785
Cluster286	1.9351058371857216e-08	1.2286548740971637e-08	0.05763062602174282
Cluster222	1.963092365919673e-08	1.2473689121769329e-08	0.057768406996056065
Cluster146	2.0322094549958937e-08	1.293641514666366e-08	0.05810042521771022
Cluster427	2.050219456521001e-08	1.3259341748918366e-08	0.061022671159010645
Cluster409	2.310797406964119e-08	1.4983678790330266e-08	0.06151132753952208
Cluster454	1.9074619738460805e-08	1.2416668886906148e-08	0.06224335494585368
Cluster133	1.7708090551036746e-08	1.1651572234711686e-08	0.0642802893828773
Cluster144	1.873946333548597e-08	1.2561251245753047e-08	0.06786964697505868
Cluster109	1.8209542852666896e-08	1.223861721123499e-08	0.06839182024938371
Cluster167	1.8625703076932633e-08	1.2802824909141417e-08	0.07286066011228905
Cluster255	1.8219397491588108e-08	1.2654966736960006e-08	0.07497567834198217
Cluster247	2.0451556490122212e-08	1.4459417950692157e-08	0.0786206647152105
Cluster156	1.7210016868797993e-08	1.2360966052791988e-08	0.081917697858499
Cluster278	1.6845954814821508e-08	1.222263366142465e-08	0.08406166889250904
Cluster154	1.8427041977452314e-08	1.3432970375433668e-08	0.08506640947488919
Cluster93	1.7459393446091004e-08	1.2861161951023192e-08	0.08730667756479349
Cluster418	1.7024644096898075e-08	1.2560360178928056e-08	0.08764086757841344
Cluster288	1.612572912501472e-08	1.1918872521477652e-08	0.08803458860833113
Cluster268	1.717372450809863e-08	1.2843895654285755e-08	0.09059307210437417
Cluster134	1.6294254058722877e-08	1.219452924027393e-08	0.09074297262619507
Cluster237	1.638772548268611e-08	1.2402209010122384e-08	0.09319144978654881
Cluster121	2.029318696189626e-08	1.5675491655534628e-08	0.09773247890324382
Cluster444	1.524404914646134e-08	1.1906912993806033e-08	0.10022530923863543
Cluster375	1.6670477803178077e-08	1.321178755083172e-08	0.10351250234408366
Cluster179	1.649129664829171e-08	1.3164196296527745e-08	0.10515042932068192
Cluster220	1.6138008267633326e-08	1.2921998755809682e-08	0.105854732113213
Cluster364	1.679088669501339e-08	1.347306990812003e-08	0.10633531529404011
Cluster458	1.655973058075601e-08	1.3369294707290166e-08	0.10773959869980804
Cluster153	1.6255200511546397e-08	1.3358793387250044e-08	0.11183701612965452
Cluster246	1.7378919871264016e-08	1.4283445755236227e-08	0.11185583974607499
Cluster149	1.69620190664084e-08	1.3942276874321128e-08	0.11188033704677491
Cluster85	1.7739482784722784e-08	1.4656395336146864e-08	0.11307080890208965
Cluster34	1.3796060040563522e-08	1.1457869035593992e-08	0.11428153741016783
Cluster265	1.464634523401306e-08	1.226889234991025e-08	0.11628222703508345
Cluster371	1.5130004926171707e-08	1.2739060744214372e-08	0.11747855794240081
Cluster251	1.5687553095175985e-08	1.3230259792940004e-08	0.11786391693707354
Cluster148	1.5116964097453146e-08	1.2773010286379179e-08	0.11830387319887792
Cluster419	1.2345379528218899e-08	1.051233127110983e-08	0.12012317952162993
Cluster363	1.4511721969812595e-08	1.2359713665542138e-08	0.12017453553720209
Cluster215	1.6429608345090606e-08	1.4296781199426906e-08	0.12524040250747864
Cluster91	1.4944585087437503e-08	1.3038016781355256e-08	0.12584969577044292
Cluster108	1.496100891300623e-08	1.3052909113494205e-08	0.12585993593195244
Cluster125	1.508658185908419e-08	1.3177629256495327e-08	0.1261329298661013
Cluster377	1.4039758031184998e-08	1.2367608652892959e-08	0.12814494021292877
Cluster423	1.5165588841202326e-08	1.3448464772726502e-08	0.12972716521910427
Cluster294	1.3682711459031159e-08	1.2162717264322035e-08	0.13030053526414775
Cluster430	1.4273461938437642e-08	1.2954699167025172e-08	0.13527474490885977
Cluster457	1.3882623078550499e-08	1.2747881633328313e-08	0.13807382988520178
Cluster447	1.4123749089211736e-08	1.303334352474006e-08	0.13925717522970427
Cluster460	1.3993747710379957e-08	1.2938567437513753e-08	0.1397255771255198
Cluster407	1.4085067025460707e-08	1.3156633748043162e-08	0.14218192844572664
Cluster259	1.3466374957651276e-08	1.2863663487169294e-08	0.1475835071491426
Cluster437	1.2388195721079986e-08	1.1885335543896627e-08	0.1486341519729104
Cluster188	1.1735629899092328e-08	1.130598911797214e-08	0.1496347558775692
Cluster168	1.4712085992141765e-08	1.4233509362142218e-08	0.1506561664105902
Cluster280	1.3138926117484309e-08	1.2742434547023251e-08	0.1512432499909791
Cluster32	1.1282502446024119e-08	1.1266280481758844e-08	0.1583070986961641
Cluster98	1.4023500856062229e-08	1.4111314091800043e-08	0.16016569757083432
Cluster126	1.4614082702203602e-08	1.4827988130553613e-08	0.16217104914031483
Cluster86	1.3722164802634178e-08	1.3969583844078667e-08	0.1629788120365419
