Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Cluster287	3.673844115811517e-08	7.741604519519628e-09	1.039523663134641e-06
Cluster404	3.599497858929419e-08	7.836336422489209e-09	2.181009378541091e-06
Cluster403	3.632086121651449e-08	7.981336100611417e-09	2.673076370246244e-06
Cluster228	3.5047705081581e-08	7.82016827791299e-09	3.7024132491088077e-06
Cluster273	3.508564702337364e-08	7.840316672962693e-09	3.8200413111683574e-06
Cluster240	3.661515575324688e-08	8.200719759836578e-09	4.005850616213208e-06
Cluster217	3.4607931566080486e-08	7.962822931072563e-09	6.926168518045047e-06
Cluster188	3.390692318902777e-08	7.841668296332377e-09	7.663261312549559e-06
Cluster272	3.610369967695023e-08	8.554024273834442e-09	1.21789525603398e-05
Cluster270	3.6769208767475566e-08	9.053211577070508e-09	2.4383940362740194e-05
Cluster241	3.479586533788417e-08	8.580769916359477e-09	2.505661393734979e-05
Cluster269	3.389480740433233e-08	8.438436281043731e-09	2.950730657267499e-05
Cluster233	3.335538414446632e-08	8.440931006635847e-09	3.881134383877404e-05
Cluster178	2.7731358268026255e-08	7.216019465060397e-09	6.076302496663399e-05
Cluster242	3.0470363853231264e-08	7.932354397437456e-09	6.1198158902257e-05
Cluster231	3.2867925863566474e-08	8.569412718000424e-09	6.265623755972892e-05
Cluster167	3.457945044392566e-08	9.016411426388168e-09	6.273930872890118e-05
Cluster179	3.6749386062078917e-08	9.65481156544417e-09	7.052246018822052e-05
Cluster296	3.26959796077694e-08	8.613141845341445e-09	7.350777874825872e-05
Cluster239	3.165171394231682e-08	8.375240309368432e-09	7.866629269379837e-05
Cluster275	3.0703339702088695e-08	8.138760393742148e-09	8.081531296642803e-05
Cluster229	2.9579397139304813e-08	7.845443385101977e-09	8.153729225846531e-05
Cluster274	3.204532082853865e-08	8.675495592463676e-09	0.0001104750563512025
Cluster243	3.2176574625860615e-08	8.777624689961844e-09	0.00012330754785734984
Cluster250	2.9470399163796975e-08	8.141215673348106e-09	0.0001473575684596013
Cluster254	3.034791958977042e-08	8.51859717449187e-09	0.0001836356854786469
Cluster281	2.973066617493961e-08	8.420427451965272e-09	0.00020716909951114034
Cluster227	2.894022293270048e-08	8.201545374816427e-09	0.00020885798743357825
Cluster282	2.7749169599356606e-08	7.89819355327862e-09	0.00022124168282034985
Cluster286	2.862863119558837e-08	8.267417483017636e-09	0.0002672666141302097
Cluster123	3.374909003988673e-08	9.810238226844343e-09	0.00029065225016670427
Cluster283	2.779666288097091e-08	8.194058053500833e-09	0.00034654876150386514
Cluster202	2.4918240387897698e-08	7.4075631158171985e-09	0.00038425841375316124
Cluster289	2.6511034076190653e-08	8.093551211900626e-09	0.00052723554420549
Cluster230	2.5340950479939584e-08	7.744362505669386e-09	0.0005336074570376726
Cluster251	2.8854842113284663e-08	8.884555393695632e-09	0.0005816008413477231
Cluster288	2.8940784785768998e-08	9.050982021690089e-09	0.0006930504300739545
Cluster271	2.598875116364654e-08	8.222492539566559e-09	0.0007869791710016685
Cluster122	3.0585518443923905e-08	9.688587598459744e-09	0.0007973883996507051
Cluster252	2.7915957486617327e-08	9.054375892677169e-09	0.0010241252209696214
Cluster249	2.5613388610522476e-08	8.380633554174862e-09	0.0011205870042776975
Cluster253	2.669162831408654e-08	8.741930342077494e-09	0.001131744119861983
Cluster149	2.552995999138324e-08	8.388692510067246e-09	0.0011696924202311118
Cluster206	2.48079392283774e-08	8.359082373421498e-09	0.0014997820107789709
Cluster200	2.3002369107310728e-08	7.784846067261457e-09	0.0015645505373600257
Cluster277	2.3204310415782252e-08	7.986760615723655e-09	0.0018342311823796175
Cluster207	2.4455030607373362e-08	8.485434362982232e-09	0.0019757921843958606
Cluster225	2.4500021159630163e-08	8.508512356317666e-09	0.0019917097736465903
Cluster222	2.2864560819027843e-08	8.077628242702346e-09	0.002323015588589114
Cluster284	2.3452404246791073e-08	8.337472687468519e-09	0.0024549123965967724
Cluster245	2.3457089701703784e-08	8.382477507223032e-09	0.002568236433195625
Cluster279	2.472140040587772e-08	8.838198552037436e-09	0.0025781106276662187
Cluster234	2.083848713670128e-08	7.672599092051827e-09	0.003304175696567657
Cluster311	2.368178934985857e-08	8.80330809918036e-09	0.003571518096663245
Cluster124	2.2323168777927984e-08	8.399534416242126e-09	0.003934175165588844
Cluster262	2.0106877560175485e-08	7.608192426551569e-09	0.004111264595878977
Cluster290	2.1159739746912798e-08	8.0810659168576e-09	0.004416715688943595
Cluster155	1.8483729739402993e-08	7.0711893334902625e-09	0.004475117084620536
Cluster129	2.435724918765467e-08	9.329310017233497e-09	0.004516129545231211
Cluster110	2.1472203886474736e-08	8.226664518272746e-09	0.004526130774623898
Cluster146	2.3102481266711688e-08	8.868231070152559e-09	0.0045925953701976266
Cluster426	2.179291957534427e-08	8.407491026609469e-09	0.004769829392163666
Cluster125	2.1462407290073508e-08	8.453505252550392e-09	0.005560450875042882
Cluster113	2.632316291200617e-08	1.0368216321484296e-08	0.005561155480524442
Cluster268	2.114286601459886e-08	8.433184938458184e-09	0.006086256134722015
Cluster293	2.0442068736139573e-08	8.181505155670355e-09	0.006234764035777087
Cluster226	2.0439694967863145e-08	8.190907277378801e-09	0.006290533450116037
Cluster177	2.193423382470594e-08	8.800662006883328e-09	0.006345241113806038
Cluster260	2.0679455146846104e-08	8.499574857269891e-09	0.00748717594417485
Cluster265	1.7326172469890837e-08	7.175457093492502e-09	0.007875303704679378
Cluster248	2.244337406254004e-08	9.367786234936044e-09	0.008291991525404526
Cluster261	1.8169522045457972e-08	7.583908261110075e-09	0.008292084324634125
Cluster439	1.9458301050240143e-08	8.141880770662017e-09	0.008426423497886148
Cluster208	2.023099802536424e-08	8.478769705109032e-09	0.008514590809076976
Cluster295	2.1025813080522773e-08	8.860996880708801e-09	0.008825724435952692
Cluster280	2.0797378193991822e-08	8.77676319355518e-09	0.008903778801579679
Cluster150	2.161421610128296e-08	9.237110977908546e-09	0.009643612931137444
Cluster278	1.866757371012895e-08	8.004032571789651e-09	0.009843217396469074
Cluster223	1.8957638757293116e-08	8.144147559083429e-09	0.009962367407354174
Cluster259	1.810613217478069e-08	8.083413568323467e-09	0.012548329779713666
Cluster405	1.9486870963554892e-08	8.768525971698181e-09	0.013129302217951335
Cluster132	2.1147896701280933e-08	9.660681746085457e-09	0.014295921025153315
Cluster237	1.78579126843888e-08	8.173968586654825e-09	0.014454332249496616
Cluster108	1.649313550907853e-08	7.659742423551446e-09	0.01565056846411836
Cluster210	1.756421030575616e-08	8.196944741701268e-09	0.01606557485870264
Cluster212	1.9311730283741404e-08	9.059251688995056e-09	0.01651519790474509
Cluster310	1.9474987496400992e-08	9.13585878813669e-09	0.016515410327951074
Cluster266	1.7175254015488446e-08	8.132767865441059e-09	0.017349298823734288
Cluster401	1.6148311572203972e-08	7.720986950479828e-09	0.018242402378795798
Cluster151	1.7719796770573176e-08	8.611582289986357e-09	0.019810898537143306
Cluster147	1.804075248530326e-08	8.828942057697195e-09	0.020508152478224843
Cluster437	1.5960247839208055e-08	7.958213601852171e-09	0.02245447178338535
Cluster256	1.4742699595539176e-08	7.417938324370733e-09	0.02343688717883821
Cluster343	1.8093675988793912e-08	9.141380132396553e-09	0.02389024407081671
Cluster220	1.5733821929286692e-08	8.084521769790681e-09	0.025817397338864994
Cluster264	1.470041946608742e-08	7.602370753351596e-09	0.02657731682353481
Cluster115	1.75053307928476e-08	9.055053196028985e-09	0.026605089145727717
Cluster312	1.688221995037538e-08	8.798434766015733e-09	0.027506383911223717
Cluster263	1.4591225570188178e-08	7.694032803716977e-09	0.028951338371668606
Cluster216	1.541450352212752e-08	8.15576131226108e-09	0.029378040075349724
Cluster224	1.6321620002236048e-08	8.644995345009753e-09	0.029513994013915006
Cluster121	1.5631337727711116e-08	8.491593286793977e-09	0.03282532588112801
Cluster221	1.5377402322910197e-08	8.449813741342158e-09	0.034390846304253646
Cluster456	1.4866098371313711e-08	8.294303417254058e-09	0.03654035430775715
Cluster203	1.3732332082320024e-08	7.669145242662645e-09	0.036679165921138616
Cluster434	1.6110700378540273e-08	9.034500753281584e-09	0.03727346646891146
Cluster292	1.6007167193294893e-08	9.013137861237602e-09	0.03786797320590079
Cluster109	1.3353379376408614e-08	7.549493245527882e-09	0.038465444725621724
Cluster118	1.631618986094284e-08	9.267571104199134e-09	0.03915576764103184
Cluster156	1.5399855501184848e-08	8.749224477295209e-09	0.03919207936356495
Cluster117	1.820584555223114e-08	1.0345408323738006e-08	0.039220894464213285
Cluster294	1.6078805996270483e-08	9.156510193157461e-09	0.03954444579826748
Cluster307	1.2556467302480199e-08	7.233743515571886e-09	0.04129794782093521
Cluster309	1.4280154181994954e-08	8.353759961943046e-09	0.043685815806939046
Cluster218	1.2591399368373032e-08	7.36617829451859e-09	0.04369278563076447
Cluster201	1.353212304247572e-08	7.970488315707256e-09	0.04477479537734403
Cluster429	1.2924453855773246e-08	7.646621548489219e-09	0.04549317205732979
Cluster258	1.2650098934685363e-08	7.627724250589845e-09	0.04861466253893771
Cluster133	1.6185358451122112e-08	9.777255358269394e-09	0.04892076073704063
Cluster106	1.6012920311769416e-08	9.838585278946996e-09	0.05180875827142217
Cluster135	1.4550973016453715e-08	8.959284775663409e-09	0.05217486880568154
Cluster440	1.3946115111025752e-08	8.689099683571963e-09	0.05424550784404929
Cluster255	1.356724934816507e-08	8.468536828018345e-09	0.05456927506132666
Cluster120	1.4091787227189923e-08	8.829347463617874e-09	0.05524251694885898
Cluster131	1.4899168726546354e-08	9.516599590409843e-09	0.058721386138108664
Cluster423	1.342139259402962e-08	8.622861820820003e-09	0.05979588655081626
Cluster427	1.072238736696214e-08	7.012335865084798e-09	0.0631229277712066
Cluster291	1.1951991407344752e-08	7.854330545965239e-09	0.06404123033992543
Cluster267	1.263293936083768e-08	8.324655829941443e-09	0.064566092851002
Cluster148	1.3013298683030734e-08	8.59246297805267e-09	0.06494933778002682
Cluster152	1.3165165314258566e-08	8.764611993294023e-09	0.06653797526542304
Cluster444	1.1483463009048229e-08	7.719249664796321e-09	0.06842295602260871
Cluster119	1.397151440443437e-08	9.482584016985147e-09	0.07032337972401406
Cluster428	1.2265036047015504e-08	8.403033583409078e-09	0.07220053950150158
Cluster141	1.352420158550501e-08	9.291531208263037e-09	0.07275981938862372
Cluster98	1.267287795849851e-08	8.901705203154933e-09	0.07727447088231405
Cluster406	1.0846175866554813e-08	7.757985033622603e-09	0.0810466095925993
Cluster285	1.1340545579676147e-08	8.11673215062852e-09	0.0811795440777387
Cluster185	1.159834295548698e-08	8.625103520265724e-09	0.08935795376791578
Cluster438	1.054721137507523e-08	7.90394689456925e-09	0.0910325741993468
Cluster436	1.0951106338211407e-08	8.21075321666614e-09	0.09114261697989035
Cluster2	1.546644632997233e-08	1.1683025979424845e-08	0.09277824751979619
Cluster219	9.372304479494053e-09	7.141778526822751e-09	0.09470595918758395
Cluster153	1.09410057776451e-08	8.439448801177228e-09	0.09741672720211259
Cluster306	9.661828894460389e-09	7.48605575120605e-09	0.09841366935135115
Cluster300	1.082006580176439e-08	8.471177370610452e-09	0.1007516982702118
Cluster136	1.1166361331261941e-08	8.757985127785735e-09	0.1011560295784048
Cluster116	1.3231411745165435e-08	1.038031511272905e-08	0.10121413524829193
Cluster232	9.928656889594959e-09	7.795160632539207e-09	0.101385769852822
