Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Cluster404	1.3380271530174115e-08	3.3911786874244086e-09	3.979839348000423e-05
Cluster126	1.5549911111324122e-08	4.677376902986513e-09	0.0004428958121498819
Cluster125	1.3086332702098522e-08	4.240966473904178e-09	0.0010153821279654503
Cluster188	1.0019845585869284e-08	3.3309840876998087e-09	0.0013145469103735307
Cluster250	1.0041688799101414e-08	3.4869542620184677e-09	0.0019897137256616516
Cluster136	1.1645477062069272e-08	4.215254580790993e-09	0.0028662855536070566
Cluster272	9.325751279263911e-09	3.5117419651256418e-09	0.003958475409350351
Cluster253	1.0596844329150818e-08	3.997001999181821e-09	0.004010338456620157
Cluster204	1.0000164011750949e-08	3.7732392121981565e-09	0.004021179925444426
Cluster122	1.0483760047095051e-08	4.158364484739219e-09	0.00584900088091976
Cluster168	1.068791738718263e-08	4.243023845891749e-09	0.005885455727819501
Cluster117	1.0800472527347224e-08	4.46911215206983e-09	0.007831108041018898
Cluster200	8.404407382778112e-09	3.50367245852034e-09	0.008225743741239919
Cluster252	9.308438452241654e-09	3.911114285300768e-09	0.008656400390662693
Cluster239	9.044337088499067e-09	3.877932379659086e-09	0.009843573009104736
Cluster124	9.467796147174167e-09	4.075558445860773e-09	0.010087771343424314
Cluster169	9.777379456573793e-09	4.2731993331821405e-09	0.011066720726983836
Cluster403	7.820112975482821e-09	3.422276828102039e-09	0.011154611345582677
Cluster127	1.0201611913521994e-08	4.556057154247615e-09	0.012573674733967073
Cluster364	8.865217492781504e-09	3.989615174779498e-09	0.013139175021976753
Cluster123	9.334112731871948e-09	4.220400566205647e-09	0.013494906071585617
Cluster137	8.399816936676797e-09	3.823767206294103e-09	0.014019560979651442
Cluster419	7.957107960395598e-09	3.7115555083756754e-09	0.016021485442073755
Cluster203	7.407647152008952e-09	3.4574840591526985e-09	0.016076779001781803
Cluster157	8.412559549146474e-09	3.945164153834667e-09	0.016488118133171546
Cluster186	1.0470004701525354e-08	4.9213017681892435e-09	0.0166898271896256
Cluster135	8.911735461683443e-09	4.228812398020563e-09	0.017542114003535246
Cluster120	8.548090424569028e-09	4.075631355844171e-09	0.017980596501502535
Cluster241	7.866615699323818e-09	3.7701297018043125e-09	0.018463796703522863
Cluster146	8.082094110083194e-09	3.94367493334442e-09	0.02021241662292947
Cluster148	8.284658822633367e-09	4.07605119281096e-09	0.021050480236866315
Cluster153	7.88447177104199e-09	3.9330574800496135e-09	0.022499312586084758
Cluster363	7.611338528638654e-09	3.796999519258517e-09	0.022504698570665532
Cluster142	8.64434411113388e-09	4.3170950339204935e-09	0.022623440581874866
Cluster270	6.941058221573469e-09	3.541403711011641e-09	0.024999430750420406
Cluster251	6.877593547691323e-09	3.522910684457235e-09	0.025454414090711665
Cluster256	7.973657270513058e-09	4.091947659702397e-09	0.025670320085499125
Cluster139	7.992547688123676e-09	4.146931899207198e-09	0.026968636442633993
Cluster132	7.049368647334968e-09	3.6668855222647e-09	0.027275186927521653
Cluster173	8.267249494681494e-09	4.321206753741707e-09	0.027862459734561175
Cluster242	7.070128170476163e-09	3.714517012020764e-09	0.02849565122353749
Cluster156	7.370040719574676e-09	3.895976243069211e-09	0.029265097396868778
Cluster175	8.279626678811293e-09	4.402700676420198e-09	0.030014601540752216
Cluster110	6.3946308747600545e-09	3.4038447174174053e-09	0.030146189799901305
Cluster368	6.951181804686891e-09	3.746603916720072e-09	0.031774650532795504
Cluster119	8.060564273170599e-09	4.386900290711166e-09	0.03307419464304601
Cluster277	7.440758242928298e-09	4.076565223154521e-09	0.03398151579387137
Cluster147	7.919393153623187e-09	4.340308674936069e-09	0.03402955949106836
Cluster172	7.860165561777374e-09	4.33540384288021e-09	0.034914516208424444
Cluster254	6.89516190709791e-09	3.823308553707639e-09	0.035658455275638684
Cluster187	8.189493403561433e-09	4.551393501380451e-09	0.035982647853747406
Cluster356	6.721903220118185e-09	3.83209639670448e-09	0.03970617427235512
Cluster395	7.241878568591127e-09	4.1420211206797826e-09	0.04019804481042986
Cluster221	6.941063489198627e-09	4.006080113521807e-09	0.04158052915352488
Cluster131	6.225385929952174e-09	3.6349654656712416e-09	0.043389428386278385
Cluster158	7.720584843987265e-09	4.532041565168267e-09	0.04423207001419967
Cluster376	6.033351182329152e-09	3.6097363156245774e-09	0.04732031162361811
Cluster162	7.550788606673877e-09	4.5253417658848635e-09	0.047602648797121366
Cluster184	6.740925682679613e-09	4.092558183128328e-09	0.04976691123837316
Cluster350	6.9876023977681196e-09	4.244983807545826e-09	0.04987317310175791
Cluster433	6.034349649003588e-09	3.6993651756774356e-09	0.051425625748723704
Cluster255	6.583925669902998e-09	4.040493345528172e-09	0.05160513181757582
Cluster217	5.980759411678111e-09	3.693760349507134e-09	0.0527072827169987
Cluster311	6.374167476005884e-09	3.957769146276369e-09	0.05363940520119452
Cluster38	6.432743438908882e-09	3.995964430674318e-09	0.05371967239915158
Cluster170	6.857005752660418e-09	4.2809365796327355e-09	0.05460504912554825
Cluster149	6.680018768668633e-09	4.1768388084228475e-09	0.05487696748248031
Cluster235	6.180960441497005e-09	3.927648622964541e-09	0.0577778278189274
Cluster421	6.238246655404825e-09	3.971278694295998e-09	0.058109814607116374
Cluster174	7.207238513155227e-09	4.610117243407777e-09	0.05898484805743539
Cluster386	5.555583560743367e-09	3.5703509107309567e-09	0.05985013197313116
Cluster259	6.0073908024587e-09	3.878688000893516e-09	0.060712459334987263
Cluster129	6.453493476280181e-09	4.199048293135629e-09	0.06215959518993518
Cluster177	6.204739464513976e-09	4.051887930552669e-09	0.06284508814762897
Cluster183	6.959989081324729e-09	4.545406308825816e-09	0.0628582747979666
Cluster243	5.619335994941429e-09	3.683770289299526e-09	0.06357586317835752
Cluster230	5.328365699989927e-09	3.4952828199190737e-09	0.063698818743526
Cluster116	6.416672319928714e-09	4.236844459011432e-09	0.06495039269611882
Cluster278	6.080116497104604e-09	4.051780180214978e-09	0.06672904155657917
Cluster121	6.292532812740383e-09	4.232262176465999e-09	0.06853365194726604
Cluster309	5.660278860566564e-09	3.827117948008301e-09	0.06957115550807401
Cluster205	5.19844152498253e-09	3.5195153188128214e-09	0.06983334801340445
Cluster231	5.367965813161845e-09	3.6376914407969e-09	0.07001869983278707
Cluster94	6.2350485198197e-09	4.254946840140282e-09	0.07141073366942702
Cluster447	5.43130980132201e-09	3.764548134867393e-09	0.07454515568547825
Cluster425	5.939387703649259e-09	4.120491290125219e-09	0.07473203305038689
Cluster106	5.760615759485155e-09	4.033190605658572e-09	0.07660242089762326
Cluster416	5.875065653591319e-09	4.138383047115865e-09	0.07785444306061307
Cluster178	5.4673739420374464e-09	3.852303138949761e-09	0.07791334744601137
Cluster268	5.208998088129622e-09	3.6724488660661794e-09	0.0780371422289446
Cluster202	4.889206448703904e-09	3.4691110507032306e-09	0.07936522048118244
