Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Cluster405	8.196826277779718e-09	2.19259738946083e-09	9.2594172268904e-05
Cluster139	6.618525007742703e-09	1.7795143439704277e-09	9.989287301552262e-05
Cluster439	5.468030780187083e-09	1.5658886533434397e-09	0.00023973915510447813
Cluster146	6.1079391797435186e-09	1.7629821229408721e-09	0.00026555999759165865
Cluster406	6.196533262305309e-09	1.8011666500190618e-09	0.0002905469954154462
Cluster243	5.2253525699394355e-09	1.5322794026002867e-09	0.0003245969843003991
Cluster178	5.381399000167603e-09	1.607453951206878e-09	0.000407311168601418
Cluster244	5.404058904851612e-09	1.6371224688974624e-09	0.0004817907983176062
Cluster250	5.0383301342419136e-09	1.564721370626446e-09	0.0006410568431216172
Cluster239	6.0260867059218456e-09	1.9080084995607343e-09	0.0007934273149699414
Cluster249	5.872639806089439e-09	1.8599809284348244e-09	0.0007960080222486705
Cluster329	5.748320081576691e-09	1.8287053081973993e-09	0.000835037534326182
Cluster207	5.614221023360438e-09	1.901055164393455e-09	0.001572423899337292
Cluster122	5.03957095545834e-09	1.7471381364282745e-09	0.0019603533952411
Cluster144	5.4543579396701275e-09	1.9043226853778306e-09	0.0020903305057288993
Cluster164	4.964209981731187e-09	1.7863177064363378e-09	0.0027261708541970664
Cluster403	4.819751513387067e-09	1.7439814651646106e-09	0.0028579550627409814
Cluster242	3.9700748968786456e-09	1.4410891821630855e-09	0.0029353898406382986
Cluster136	5.061209752327275e-09	1.851667952385039e-09	0.003134924430385876
Cluster147	5.6977869400478e-09	2.0856972850355764e-09	0.0031491057859224488
Cluster177	4.901195245840552e-09	1.842952812969335e-09	0.00391370484827587
Cluster141	4.813252205447384e-09	1.8251711079916173e-09	0.004180277659636876
Cluster404	4.31110231257525e-09	1.6587483597180727e-09	0.004674662841633638
Cluster241	4.049159571475303e-09	1.5894281117178676e-09	0.005423998071681688
Cluster296	4.114693021414802e-09	1.652426436454362e-09	0.006385510619416239
Cluster94	4.627890892192895e-09	1.8607152504726968e-09	0.006438428557585875
Cluster245	3.947294225459852e-09	1.6009096183435615e-09	0.006838108682654296
Cluster134	4.744018005069364e-09	1.9384751202064906e-09	0.007196674301195412
