Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Cluster287	3.813689378238017e-08	8.106570699909991e-09	1.2728044774378717e-06
Cluster273	3.658524109852133e-08	7.842719256623823e-09	1.5440846618505908e-06
Cluster272	3.75844303369906e-08	8.245927377664696e-09	2.5829071872273735e-06
Cluster404	3.7958620918875794e-08	8.331075462959508e-09	2.603512148460268e-06
Cluster403	3.730831890400185e-08	8.337920238899817e-09	3.8288827525751e-06
Cluster240	3.778728978743078e-08	8.46503467936036e-09	4.023565241358786e-06
Cluster188	3.534579439232477e-08	7.958950020311846e-09	4.476835234183475e-06
Cluster228	3.516672914957467e-08	8.115681797538818e-09	7.3484638214424705e-06
Cluster233	3.429482687625257e-08	8.043918563838975e-09	1.0064827255069694e-05
Cluster217	3.5960660672563554e-08	8.58223661728024e-09	1.3939923321935771e-05
Cluster270	3.822837388177019e-08	9.158023893014175e-09	1.4944934425760883e-05
Cluster269	3.4717522904610475e-08	8.654155682518588e-09	3.0146753728656785e-05
Cluster179	3.896797855125077e-08	9.761616813917107e-09	3.27647890596863e-05
Cluster241	3.632509568394146e-08	9.182034087353163e-09	3.809076169856637e-05
Cluster275	3.262053586359767e-08	8.417100397148324e-09	5.320134733318939e-05
Cluster242	3.3027795994498055e-08	8.573301140448507e-09	5.8482576931249546e-05
Cluster239	3.408090187825037e-08	8.847408800546824e-09	5.856003780499383e-05
Cluster274	3.339164999948957e-08	8.67978201825963e-09	5.977163198042737e-05
Cluster231	3.3553206739756194e-08	8.732564912530593e-09	6.09412986570724e-05
Cluster296	3.3260259113010747e-08	8.690129125964985e-09	6.476230821502338e-05
Cluster229	3.023531810026818e-08	8.251352553769346e-09	0.000124014613808883
Cluster178	2.8045755647455448e-08	7.751740933209997e-09	0.0001484473827263646
Cluster227	2.945240991816647e-08	8.187508362189737e-09	0.00016080756601574142
Cluster243	3.425393127877495e-08	9.596826761130513e-09	0.00017896977730123598
Cluster167	3.395308233108877e-08	9.54326511378984e-09	0.0001869829332421597
Cluster250	3.158541441502194e-08	8.967778685791803e-09	0.00021407120508074688
Cluster123	3.5226964749524305e-08	1.0081347262160616e-08	0.00023767863758110763
Cluster202	2.5304211687707516e-08	7.284873249193967e-09	0.0002568318194040089
Cluster122	3.208375548194358e-08	9.52483186054551e-09	0.0003779841980672743
Cluster254	3.2188717367810416e-08	9.592853319687947e-09	0.00039612350197502124
Cluster252	3.033320809155005e-08	9.119397139306347e-09	0.00044014702666042316
Cluster286	2.8969888286097178e-08	8.761312469770251e-09	0.0004722296493973236
Cluster288	2.9589202508538904e-08	8.96389276442872e-09	0.00048182078426310107
Cluster281	3.1025869391923135e-08	9.457598536979115e-09	0.0005180741071703755
Cluster251	2.942893255376791e-08	9.178795652708056e-09	0.0006725334333873435
Cluster249	2.7927988856965745e-08	8.721933960254244e-09	0.000682288221315562
Cluster289	2.711623768672765e-08	8.517741283183574e-09	0.0007275281143736254
Cluster230	2.5746875003578356e-08	8.110711865371357e-09	0.0007506593373315169
Cluster253	2.9268264966941955e-08	9.239565551980578e-09	0.0007682232765493416
Cluster282	2.781824968208528e-08	8.991853601752761e-09	0.0009883299415054893
Cluster271	2.6806866288788713e-08	8.686196232254792e-09	0.0010138475223157902
Cluster283	2.7056938754972995e-08	8.793003241976055e-09	0.0010451304204095351
Cluster225	2.5538341562527653e-08	8.378902994237728e-09	0.0011521034483437309
Cluster207	2.6970011485636857e-08	8.857126714251889e-09	0.0011633750656383259
Cluster200	2.343142588027585e-08	7.900478873189217e-09	0.001509368406933927
Cluster206	2.603861574310512e-08	8.815437092489496e-09	0.001569680432344947
Cluster245	2.5787148276299982e-08	9.000923388668512e-09	0.0020854099779904333
Cluster262	2.2445384429247462e-08	8.263385160396164e-09	0.003301344841611422
Cluster311	2.4142731838066852e-08	8.924639292957144e-09	0.0034133968324089364
Cluster149	2.7200228188333754e-08	1.009063755339031e-08	0.0035131978662533096
Cluster277	2.428269215121693e-08	9.015881458453313e-09	0.003537171598658273
Cluster279	2.5336000995036218e-08	9.660009702750802e-09	0.004360883493027479
Cluster150	2.422378165233354e-08	9.237808802415412e-09	0.004367653103726757
Cluster222	2.3759065624496513e-08	9.086778192921517e-09	0.004465484692358036
Cluster248	2.3972567279675016e-08	9.217195638817325e-09	0.004649619956537496
Cluster284	2.3853788242444518e-08	9.221118261920578e-09	0.004842676290467386
Cluster234	2.148233326996274e-08	8.366500199057784e-09	0.005119366830141951
Cluster439	2.1169545278587665e-08	8.326162847828675e-09	0.005502607635888172
Cluster268	2.2410507860285333e-08	8.830034230214212e-09	0.005574613915502898
Cluster226	2.0672052391613178e-08	8.151924112168144e-09	0.0056087471361527565
Cluster290	2.1404681440610263e-08	8.651357395219742e-09	0.006677841363942437
Cluster208	2.2808552369473957e-08	9.29940875437624e-09	0.007089654476198202
Cluster113	2.832145501274573e-08	1.1547195567858066e-08	0.007090026695966073
Cluster260	2.2580622620410378e-08	9.224400800649884e-09	0.007184118463942455
Cluster426	2.1685115679534556e-08	8.87196906791435e-09	0.007258123673113846
Cluster146	2.3855656570003564e-08	9.926435040007666e-09	0.008125145376394987
Cluster129	2.6101073958007363e-08	1.0942078339930086e-08	0.008530618485199782
Cluster124	2.36078728716305e-08	9.918534747871159e-09	0.008652151127970324
Cluster155	1.842984224638883e-08	7.75412770039585e-09	0.008732291324547002
Cluster125	2.2330312943545723e-08	9.555551301344368e-09	0.009722341562639224
Cluster261	2.014844961885115e-08	8.662770863232481e-09	0.010012833536774875
Cluster177	2.2323534773059948e-08	9.61692296959194e-09	0.010135969916575664
Cluster295	2.1845632569114566e-08	9.451696148472246e-09	0.01040835740991851
Cluster151	2.036333293773646e-08	8.815653192618888e-09	0.010446670824448723
Cluster278	1.9240935347830082e-08	8.427293567846207e-09	0.011210207980610494
Cluster210	1.914070019883178e-08	8.430149407810312e-09	0.011588466413370512
Cluster212	2.158535978772256e-08	9.54547549002605e-09	0.011869772442794718
Cluster223	1.9101459605152665e-08	8.475255668126872e-09	0.012104642342073715
Cluster280	2.2243332208344756e-08	9.893911362884119e-09	0.012282233018248176
Cluster110	2.1730839554844372e-08	9.684933916910324e-09	0.012423351270829035
Cluster237	1.9702170630399217e-08	8.808732476682962e-09	0.012654169826826281
Cluster265	1.7855457228352757e-08	8.021358114026921e-09	0.013007449505766802
Cluster310	2.0187654402548194e-08	9.22381469603106e-09	0.014311332167882235
Cluster224	1.7544045543201623e-08	8.022512089524558e-09	0.014376669826506691
Cluster108	1.7444526737946184e-08	7.99229655315713e-09	0.014530148788570538
Cluster266	1.7899254930055006e-08	8.238917042142346e-09	0.014908035329684889
Cluster259	1.9575071824878964e-08	9.015129006102923e-09	0.014952063352875212
Cluster293	1.921930503531563e-08	8.859941535695329e-09	0.015032381810578987
Cluster405	1.950782838557076e-08	9.208923240309969e-09	0.0170722322069013
Cluster115	1.958422588648655e-08	9.331954270956067e-09	0.017925205873523784
Cluster401	1.6821205041123127e-08	8.13675187985631e-09	0.019352380737513195
Cluster437	1.74508512608532e-08	8.484118788701093e-09	0.01984867528884365
Cluster221	1.7723999401982795e-08	8.655823810810023e-09	0.02029770953666499
Cluster256	1.6234474924578314e-08	8.042730897980668e-09	0.021768167286270707
Cluster132	2.116640108542517e-08	1.056142748742431e-08	0.02252843628243891
Cluster216	1.6873872769214563e-08	8.529635048020692e-09	0.023949447402123694
Cluster117	2.0619294566798746e-08	1.0439612772097618e-08	0.02412831684400969
Cluster263	1.6828534638122652e-08	8.657640439076326e-09	0.02596108869560376
Cluster312	1.6897015827311026e-08	9.096404747673303e-09	0.03161655673103888
