Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Cluster404	1.3202389661257075e-08	3.307996057874218e-09	3.289020144038042e-05
Cluster126	1.5998259453222804e-08	4.648696048511611e-09	0.0002893016767347726
Cluster125	1.3048618897194454e-08	3.8742010545276e-09	0.0003784682111905124
Cluster188	1.0151008905214008e-08	3.404492762477342e-09	0.0014334935873812947
Cluster136	1.2233286717357301e-08	4.114481589332524e-09	0.0014734333207652268
Cluster117	1.2400633858711788e-08	4.394957384173985e-09	0.002389538393390393
Cluster253	1.076433867313454e-08	4.108471010979599e-09	0.004396034546790481
Cluster204	9.716212875181628e-09	3.770093307074733e-09	0.0049804886713182405
Cluster250	9.420799541618199e-09	3.6567409611282864e-09	0.0049934436241393845
Cluster272	8.600483543831698e-09	3.3637391857800807e-09	0.005281657379511033
Cluster124	9.306380112609772e-09	3.677793762080983e-09	0.005696227060076214
Cluster137	9.758142816193132e-09	3.8723009677124746e-09	0.005867981172056557
Cluster122	8.949126196621265e-09	3.693001688610552e-09	0.0076908252189949395
Cluster168	1.0342945089802638e-08	4.3144827772149815e-09	0.008259056699736037
Cluster200	8.653421919763625e-09	3.6686708243044066e-09	0.00916867503866934
Cluster157	9.14480166490883e-09	4.010186188962466e-09	0.011292186703703884
Cluster123	8.184348506835727e-09	3.6126751043430064e-09	0.011742423338517332
Cluster364	8.855906349310332e-09	4.005809834752906e-09	0.013526038592210415
Cluster135	8.777254985429475e-09	4.0000617714817565e-09	0.014107648194760743
Cluster127	1.0351667501646222e-08	4.736960791369662e-09	0.014433528594642244
Cluster239	8.762222222261641e-09	4.037295786192896e-09	0.014991320971238791
Cluster186	1.073722963413206e-08	4.963011538716662e-09	0.01525327476025103
Cluster252	8.71816547819104e-09	4.042228697781132e-09	0.015511718780578426
Cluster148	8.650518576992528e-09	4.078665761044152e-09	0.01696432138691382
Cluster256	8.24403447344679e-09	3.978227544350529e-09	0.019119280523426943
Cluster169	9.584010662738283e-09	4.640466511377215e-09	0.019446749622700498
Cluster132	8.340103840063175e-09	4.039176944220914e-09	0.019470831698071966
Cluster403	7.241195443765703e-09	3.5136684350641045e-09	0.019657972217784463
Cluster419	7.220286277482065e-09	3.5354863983766575e-09	0.02056422230632155
Cluster120	7.711444401252689e-09	3.7853041880848684e-09	0.020814701453870585
Cluster421	8.26786807290036e-09	4.113533536542989e-09	0.02221989589537752
Cluster142	9.225959838625773e-09	4.623208507031227e-09	0.02299009533998272
Cluster368	7.737533616126026e-09	3.904689731992855e-09	0.023762007236044057
Cluster251	6.6944454673114046e-09	3.3953959241232303e-09	0.024326249562330655
Cluster139	8.238299173560193e-09	4.1824810476373564e-09	0.024435473234831324
Cluster363	7.690373821558378e-09	3.932554670028209e-09	0.025258096499290294
Cluster350	8.032249216870662e-09	4.127794357325697e-09	0.025833752288414
Cluster173	8.859700098645758e-09	4.553672254153727e-09	0.025850408775595284
Cluster184	8.477523658514201e-09	4.365489170529163e-09	0.02607210422821591
Cluster187	8.759007896961708e-09	4.546170947917243e-09	0.027009880857729218
Cluster376	6.9436390537126454e-09	3.607664701603467e-09	0.027134026194189167
Cluster241	7.799635077344201e-09	4.070555322459808e-09	0.027675495984396732
Cluster146	7.580680595175965e-09	4.018359288707742e-09	0.02961303703211495
Cluster153	7.577251110383634e-09	4.0263197166331075e-09	0.029922772983865482
Cluster156	7.471023388529163e-09	4.030769616155569e-09	0.03190550686695261
Cluster116	7.433384835824174e-09	4.085798466983445e-09	0.03443112591078413
Cluster158	7.746754332014897e-09	4.309030281182812e-09	0.036104727233402585
Cluster121	6.616134210717439e-09	3.6838015921772166e-09	0.03624668537474675
Cluster183	8.571966012137529e-09	4.817526566541649e-09	0.037592897749034744
Cluster255	7.024783499463257e-09	3.97481444087974e-09	0.03858702204986017
Cluster175	8.358477024834818e-09	4.751542643154158e-09	0.03927957694670212
Cluster38	7.457394243336563e-09	4.24954122580947e-09	0.03964073646099488
Cluster119	7.996278655167602e-09	4.613966142296882e-09	0.041542531517488185
Cluster149	7.284739698768311e-09	4.215579801753563e-09	0.04198948096552941
Cluster147	7.63638853588734e-09	4.424218343058285e-09	0.042169890727475165
Cluster277	7.374778030363861e-09	4.295935695711582e-09	0.04301816560497535
Cluster94	7.76155325618304e-09	4.534871150663845e-09	0.04349195923372964
Cluster395	7.749865507510922e-09	4.536910419983298e-09	0.04380135425567349
Cluster270	6.036030538392734e-09	3.5434792294878763e-09	0.0442448239817744
Cluster131	6.427221862671789e-09	3.773965192942562e-09	0.04428008871078026
Cluster242	6.591423931805272e-09	3.8890897282538326e-09	0.04505193478489704
Cluster162	7.1674648964404705e-09	4.2386427924046905e-09	0.04542020520427698
Cluster386	6.322724383266769e-09	3.757637660543498e-09	0.04622309886695848
Cluster356	6.643253836113137e-09	3.979170912315078e-09	0.04750846856197653
Cluster254	6.318491549235211e-09	3.807587708780768e-09	0.04851283511532218
Cluster110	5.813389760166407e-09	3.5622046531808955e-09	0.051343534946857075
Cluster365	6.078658393065736e-09	3.740607079530476e-09	0.052076383938625216
Cluster433	5.928644068029613e-09	3.648654945774719e-09	0.05209355067110902
Cluster311	5.9458779036328175e-09	3.6890850333343565e-09	0.05350832079506717
Cluster416	7.436757686695874e-09	4.618551733027455e-09	0.05367791142553548
Cluster172	6.828280772433431e-09	4.2408402507502115e-09	0.05368534015050764
Cluster434	7.095683212995338e-09	4.433388994410837e-09	0.054742750311478024
Cluster447	5.852214130134166e-09	3.6622774421743113e-09	0.05502468574167831
Cluster88	7.66788516755927e-09	4.820516476085805e-09	0.055841131596855935
Cluster309	6.1141995491774285e-09	3.869108618518141e-09	0.057023610013789666
Cluster203	5.846389199915254e-09	3.705039537400138e-09	0.05728786444442397
Cluster259	6.267790921646308e-09	3.977230384070002e-09	0.05752229400261578
Cluster129	6.509013524649235e-09	4.150515397893949e-09	0.05841230613848088
Cluster217	5.636123672998763e-09	3.617582789062242e-09	0.05961892780665788
Cluster221	6.833505689970318e-09	4.396114062457848e-09	0.060039473992859825
Cluster438	6.020562230272276e-09	3.942289222561644e-09	0.06335885502487339
Cluster109	5.34987120581095e-09	3.5057971961787262e-09	0.06350405549155053
Cluster177	5.738307534813569e-09	3.87077114582469e-09	0.06910745350071633
Cluster138	5.700650283054906e-09	3.880537800265874e-09	0.07091149312269986
Cluster243	5.530177067877922e-09	3.845911066389734e-09	0.07522599292638575
Cluster446	5.384042437800563e-09	3.753398671689925e-09	0.07572271463718412
Cluster235	5.94239783752972e-09	4.185770777924921e-09	0.0778524224517143
Cluster205	5.159935712886329e-09	3.690146354197984e-09	0.08101133357885898
Cluster174	6.615835278740019e-09	4.7583812927518186e-09	0.08221067780981661
Cluster375	5.698118451286504e-09	4.156841533621355e-09	0.0852216531526429
Cluster219	5.5642159859882234e-09	4.073050712274738e-09	0.08595296441604988
Cluster374	5.631630609116504e-09	4.129491357901825e-09	0.08632172914582248
Cluster182	6.2607370269963565e-09	4.618892626406082e-09	0.08763508010973753
Cluster357	5.385886893809208e-09	3.981836067855666e-09	0.08808950149258188
Cluster262	4.843950710669937e-09	3.5838186875798998e-09	0.08824891457883222
Cluster435	5.633801083306006e-09	4.170638983583737e-09	0.08837583804573046
Cluster113	5.827324248441714e-09	4.358068731845633e-09	0.09058936151348512
Cluster231	5.078104326475394e-09	3.823762656542067e-09	0.09208268114058027
Cluster369	5.298287726706715e-09	3.992240992589901e-09	0.09223015161833042
Cluster417	5.679225613162641e-09	4.286291701261844e-09	0.09258986610829961
Cluster106	5.382373241470214e-09	4.062861021555341e-09	0.09262303611473083
Cluster310	5.175377787676856e-09	3.907925615511396e-09	0.09269696257150345
Cluster90	5.981051041799499e-09	4.599745808113057e-09	0.0967490256559998
Cluster428	4.828180403363998e-09	3.731256675535575e-09	0.09783575308156256
Cluster202	4.708532965339452e-09	3.6441970101274565e-09	0.09816762390868394
Cluster185	5.583052398083844e-09	4.333562031589879e-09	0.09881578095295152
Cluster425	5.604782618959132e-09	4.363095768101674e-09	0.09946806087913557
Cluster347	4.682079660066241e-09	3.7078912119499653e-09	0.10334242648606617
Cluster0	5.6177701125196405e-09	4.457771582648349e-09	0.10379511787855394
Cluster2	6.6178531556003854e-09	5.260034146986662e-09	0.10417077803736335
Cluster384	5.7041327145836345e-09	4.5570941852535825e-09	0.10533888322218998
Cluster118	5.580263188530613e-09	4.458678558381541e-09	0.10536677665187244
Cluster264	4.785846756286643e-09	3.858274580296129e-09	0.10741168202628731
Cluster178	4.7632639102903054e-09	3.863552818678396e-09	0.10881186701668832
Cluster390	5.076709233431419e-09	4.147099487815338e-09	0.11044612302105261
Cluster170	5.1762919967056034e-09	4.284974275663417e-09	0.11352169797645639
Cluster279	4.908999856295157e-09	4.064646176168138e-09	0.11357534341589837
