Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD4_positive_alpha_beta_T_cell	1.834455180124923e-08	1.1014735550053799e-08	0.04791095824407295
innate_lymphoid_cell	1.5844125314890996e-08	1.2144049968131787e-08	0.09600054974400074
erythrocyte	1.1124210429030336e-08	1.077987095672335e-08	0.1510494525491502
double_negative_thymocyte	1.0012134962005153e-08	1.01401866447602e-08	0.1617301867945618
CD8_positive_alpha_beta_T_cell	8.841279505706485e-09	1.14122695506599e-08	0.2192534445462599
dendritic_cell	6.657110847468288e-09	1.0241210759893097e-08	0.25783589769056436
plasmablast	6.455365727222837e-09	9.971547971773654e-09	0.2586935049835472
effector_memory_CD8_positive_alpha_beta_T_cell	5.9064147794270305e-09	9.376062642791773e-09	0.26436490100824317
gamma_delta_T_cell	4.821439336425931e-09	1.1140616457246454e-08	0.33258719308598916
naive_B_cell	5.034182101915616e-10	1.0461125551740699e-08	0.48080920459654686
memory_B_cell	-8.41721269583123e-10	7.571383637403172e-09	0.5442597821586085
effector_memory_CD4_positive_alpha_beta_T_cell	-1.1326388350109186e-09	9.896363688945447e-09	0.5455594603907512
central_memory_CD8_positive_alpha_beta_T_cell	-2.6475778572762635e-09	9.665046821907123e-09	0.6079320473811931
CD4_positive_alpha_beta_cytotoxic_T_cell	-3.1067571611155373e-09	1.0370241420972046e-08	0.6177527091777991
transitional_stage_B_cell	-3.739665596073225e-09	9.475098474959748e-09	0.6534617814165974
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-4.384552490288194e-09	9.10773730124066e-09	0.6848873049160074
plasmacytoid_dendritic_cell	-5.069387742429051e-09	9.018191465744332e-09	0.7129859643392706
mucosal_invariant_T_cell	-6.202037477182843e-09	9.659957239410876e-09	0.7395750005414781
platelet	-7.707914921191973e-09	8.860304771552181e-09	0.8078328288004927
peripheral_blood_mononuclear_cell	-7.902356022272412e-09	8.932134170513608e-09	0.811843699092799
central_memory_CD4_positive_alpha_beta_T_cell	-9.725707826247473e-09	9.140203338875672e-09	0.8563488203870847
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.0712963965532244e-08	9.567420143034378e-09	0.8685863971216231
hematopoietic_precursor_cell	-1.024317710673723e-08	8.817463701340254e-09	0.8773197032607112
CD16_negative_CD56_bright_natural_killer_cell_human	-1.1308248426010285e-08	8.805599224589842e-09	0.900465951976896
CD14_low_CD16_positive_monocyte	-1.3707734803470227e-08	1.0633152208056022e-08	0.901327136563912
CD14_positive_monocyte	-1.4776725366010546e-08	9.509129575454493e-09	0.9399019969995376
conventional_dendritic_cell	-1.5794343528831894e-08	9.259443685351997e-09	0.955973159378575
regulatory_T_cell	-1.704404749660769e-08	9.240444559777012e-09	0.96744522136195
natural_killer_cell	-1.9382388916568796e-08	1.0371404544192252e-08	0.9691767447992078
