Name	Coefficient	Coefficient_std_error	Coefficient_P_value
effector_memory_CD8_positive_alpha_beta_T_cell	8.226388015753908e-09	3.3901926184582097e-09	0.007622094592916497
plasmablast	6.165629108425571e-09	3.679106255291046e-09	0.04688381830814076
gamma_delta_T_cell	6.8242309392716705e-09	4.102835687818819e-09	0.04812658119686685
conventional_dendritic_cell	5.105252154150369e-09	4.185086906718937e-09	0.11125752441368586
double_negative_thymocyte	4.002594777244195e-09	3.460246370777329e-09	0.1236899275435191
CD4_positive_alpha_beta_T_cell	3.2225037355528894e-09	3.294059012864478e-09	0.16396855352102413
erythrocyte	3.237789160552799e-09	3.5410756440399683e-09	0.18026598991257675
plasmacytoid_dendritic_cell	3.292655832155076e-09	3.711083830344584e-09	0.18747239826259487
CD4_positive_alpha_beta_cytotoxic_T_cell	2.6877409556880462e-09	3.258513899359711e-09	0.20473223194066575
CD16_negative_CD56_bright_natural_killer_cell_human	2.5125999541565633e-09	3.2031994177245347e-09	0.2164017732788267
regulatory_T_cell	2.3516648291986447e-09	3.1359113571100953e-09	0.22665315502106237
hematopoietic_precursor_cell	2.3634312507563727e-09	3.409859317523617e-09	0.24411808428318144
central_memory_CD8_positive_alpha_beta_T_cell	2.0650774852956727e-09	3.1047704432283318e-09	0.25298351739125924
CD14_positive_monocyte	2.234538593171828e-09	4.00904294763628e-09	0.28863576785648015
natural_killer_cell	1.464955580750925e-09	2.8530469897980768e-09	0.3038111063289802
naive_B_cell	1.051573889813506e-09	2.886406733317868e-09	0.35780976765514705
innate_lymphoid_cell	5.905993993701155e-10	3.299911541801174e-09	0.42897893584849744
transitional_stage_B_cell	3.5478397024743256e-10	2.5939184218045256e-09	0.4456042039496133
peripheral_blood_mononuclear_cell	3.8803488067911116e-11	3.3486704231909005e-09	0.4953772681006488
CD8_positive_alpha_beta_T_cell	-1.2469925725520334e-10	2.8380264689220407e-09	0.5175233754699617
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-2.9409299091953346e-10	2.7740385467503598e-09	0.5422152456311666
mucosal_invariant_T_cell	-4.089377744494069e-10	2.9868769975463224e-09	0.5544496209128523
memory_B_cell	-5.272474914930648e-10	2.328587286016088e-09	0.5895640754880647
central_memory_CD4_positive_alpha_beta_T_cell	-9.74838870352188e-10	2.5289298272519345e-09	0.6500571854207144
dendritic_cell	-1.853776545237418e-09	4.489201904363223e-09	0.6601751628188611
platelet	-1.5995642188432367e-09	2.5291723409552463e-09	0.7364521662580347
effector_memory_CD4_positive_alpha_beta_T_cell	-1.9761209425901974e-09	2.880914776235426e-09	0.7536230238040659
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.2232600248428473e-09	2.882070773101527e-09	0.7797682112275428
CD14_low_CD16_positive_monocyte	-4.655206989170886e-09	2.779767801505693e-09	0.9530009693653396
