Name	Coefficient	Coefficient_std_error	Coefficient_P_value
platelet	5.0003847093282286e-08	1.6695371425317422e-08	0.0013718982825905819
peripheral_blood_mononuclear_cell	5.5554206525055854e-08	1.8608736092391263e-08	0.0014161167744780711
CD14_positive_monocyte	3.3172181444943445e-08	2.0239282466073984e-08	0.0506066427965933
gamma_delta_T_cell	2.6250886941816174e-08	1.794323006940704e-08	0.07173413667380521
hematopoietic_precursor_cell	1.2221350733208856e-08	1.4737178432992007e-08	0.2034710079835822
CD14_low_CD16_positive_monocyte	1.1518677824658264e-08	1.5537086332372813e-08	0.22923557641418002
naive_B_cell	8.069648492319773e-09	1.263154637220201e-08	0.26146064273017766
dendritic_cell	9.335116721591225e-09	1.8809130201308777e-08	0.3098386565132285
conventional_dendritic_cell	6.913355258632848e-09	1.595397617690951e-08	0.33238709614992135
natural_killer_cell	2.974660299529961e-09	1.8175777807602966e-08	0.43499913333739376
innate_lymphoid_cell	2.1201841589293218e-09	1.3984707887371292e-08	0.43974832769397226
CD4_positive_alpha_beta_cytotoxic_T_cell	5.118494740626305e-10	1.5871267720356172e-08	0.4871363139443504
effector_memory_CD8_positive_alpha_beta_T_cell	-6.765736569609214e-10	1.7346502783947075e-08	0.5155561856609885
transitional_stage_B_cell	-1.8560218507679273e-09	1.555707026003815e-08	0.5474827717414925
CD16_negative_CD56_bright_natural_killer_cell_human	-5.3981166779545206e-09	1.3923080108458452e-08	0.6508846537892726
central_memory_CD8_positive_alpha_beta_T_cell	-7.817562402900514e-09	1.3286566113034488e-08	0.7218616895332222
erythrocyte	-1.4393397372985419e-08	1.7433583190734014e-08	0.7954882433347552
plasmacytoid_dendritic_cell	-1.5763095042131165e-08	1.64803827721009e-08	0.8305841661666764
double_negative_thymocyte	-2.0225029414875477e-08	1.794876779375139e-08	0.8700906905595294
CD4_positive_alpha_beta_T_cell	-2.2835761785813376e-08	1.9177023987853665e-08	0.8831315050180959
plasmablast	-2.1921240159242457e-08	1.6019480852565654e-08	0.914408330466864
mucosal_invariant_T_cell	-2.1005644711305227e-08	1.5270861476542477e-08	0.9155175871861061
memory_B_cell	-1.896854792559821e-08	1.2556314429735442e-08	0.9345647444293862
regulatory_T_cell	-2.372707190683784e-08	1.4240571341594917e-08	0.9521592356011135
CD8_positive_alpha_beta_T_cell	-3.225269072475532e-08	1.768931464851278e-08	0.9658700041753326
effector_memory_CD4_positive_alpha_beta_T_cell	-2.6308746334051245e-08	1.3526862919894778e-08	0.974108052659927
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-3.505878343096852e-08	1.3007271266447567e-08	0.9964839672879131
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-4.2390242729096714e-08	1.3748284922828357e-08	0.9989764456659113
central_memory_CD4_positive_alpha_beta_T_cell	-4.294604930649176e-08	1.2245467530612601e-08	0.9997734884884483
