Name	Coefficient	Coefficient_std_error	Coefficient_P_value
innate_lymphoid_cell	1.0318955750918728e-08	8.101412846567129e-09	0.10138080385138043
plasmablast	9.931298269291215e-09	8.041198003928374e-09	0.10840556225167353
dendritic_cell	9.562056903257655e-09	8.13834330061577e-09	0.1200095615019871
gamma_delta_T_cell	8.599734818276814e-09	9.133139654760369e-09	0.173199561487709
erythrocyte	8.99866646409034e-09	1.02337999785082e-08	0.18961703655896828
hematopoietic_precursor_cell	4.661808775250766e-09	5.69596816953054e-09	0.20655296525722566
CD8_positive_alpha_beta_T_cell	4.9062511595480946e-09	8.042550213978939e-09	0.2709187332089319
CD16_negative_CD56_bright_natural_killer_cell_human	2.7736159964409166e-09	7.3543229645574776e-09	0.35303444810786727
plasmacytoid_dendritic_cell	2.4038486041889747e-09	7.238102182467023e-09	0.3699029698972245
transitional_stage_B_cell	1.4042377369173983e-09	6.001899453259943e-09	0.4075058598208544
platelet	1.7562194690799188e-09	7.751569477487526e-09	0.4103817511467389
peripheral_blood_mononuclear_cell	1.5091630812346966e-09	7.778031626718058e-09	0.42307661840304583
double_negative_thymocyte	8.301648350862055e-10	9.32595852029557e-09	0.4645343709062983
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.3692889210110718e-09	7.336718743253047e-09	0.5740266109293191
naive_B_cell	-1.2584875804637942e-09	6.072946668863905e-09	0.5820842915963556
CD4_positive_alpha_beta_T_cell	-2.2958863191827085e-09	7.470203504120922e-09	0.6207073968378953
effector_memory_CD8_positive_alpha_beta_T_cell	-2.408921681124746e-09	6.655723075007893e-09	0.6412987182078426
memory_B_cell	-5.028754467179803e-09	5.60594716357892e-09	0.8151510051540451
mucosal_invariant_T_cell	-6.3463946891331185e-09	6.740362368848813e-09	0.826788707541594
natural_killer_cell	-5.8146234288391386e-09	5.8606263846809066e-09	0.8394379437608136
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-8.274733132586642e-09	7.129757354332167e-09	0.8770958925079566
conventional_dendritic_cell	-8.94191993479484e-09	7.649567963046009e-09	0.8787869913384658
effector_memory_CD4_positive_alpha_beta_T_cell	-1.0259693916273626e-08	6.369949749769582e-09	0.9463708615600236
regulatory_T_cell	-1.4494232090099368e-08	6.356140219537007e-09	0.9887065668101277
CD14_low_CD16_positive_monocyte	-1.7088493042028176e-08	7.334637147692388e-09	0.9900925585577413
central_memory_CD8_positive_alpha_beta_T_cell	-1.6188899251305717e-08	6.59581101632799e-09	0.9929444231593175
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.4833096114996184e-08	5.673496278589861e-09	0.9955314927812251
CD14_positive_monocyte	-2.0121589083782856e-08	6.779981100692451e-09	0.9985002749378615
central_memory_CD4_positive_alpha_beta_T_cell	-1.690149120448569e-08	5.60881425594352e-09	0.9987082259339303
