Name	Coefficient	Coefficient_std_error	Coefficient_P_value
hematopoietic_precursor_cell	1.690670043498884e-08	1.0469689301570036e-08	0.053174460099728295
innate_lymphoid_cell	1.0739373235720547e-08	8.600270211173524e-09	0.10588281949719441
CD16_negative_CD56_bright_natural_killer_cell_human	1.0558478056782167e-08	9.828110655437659e-09	0.14134095916374978
mucosal_invariant_T_cell	7.342588334399196e-09	1.0507443587117509e-08	0.2423389081893843
effector_memory_CD8_positive_alpha_beta_T_cell	5.093141363905264e-09	9.208576867821108e-09	0.2901020227430394
erythrocyte	5.418570449219682e-09	1.0877337716020704e-08	0.309188361439925
dendritic_cell	3.0439188685739453e-09	1.1243519179938515e-08	0.3933006874612954
gamma_delta_T_cell	2.6699684574508144e-09	1.1649939613017347e-08	0.40936333092394317
plasmacytoid_dendritic_cell	1.7600917288699726e-09	9.915717291439571e-09	0.4295557767625358
plasmablast	1.9164620676308457e-09	1.1458119461578616e-08	0.4335835275012686
memory_B_cell	4.2330758904715103e-10	8.072272947185298e-09	0.4790891699383548
peripheral_blood_mononuclear_cell	7.933748022285569e-11	1.119323168473915e-08	0.4971723259955495
naive_B_cell	-1.383278007062488e-10	7.767974615965397e-09	0.5071037682998002
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.0865555521086956e-09	9.341449727455542e-09	0.5462987557470514
natural_killer_cell	-1.631518938853134e-09	9.387007365888776e-09	0.568991066411878
double_negative_thymocyte	-3.361696075492236e-09	8.849097270372819e-09	0.6479869895122778
CD4_positive_alpha_beta_cytotoxic_T_cell	-4.517711772247836e-09	1.0487707866965476e-08	0.6666794832952814
CD8_positive_alpha_beta_T_cell	-6.361002440386785e-09	1.1595918016999947e-08	0.7083446700577052
effector_memory_CD4_positive_alpha_beta_T_cell	-6.581053423586748e-09	1.0210079221218993e-08	0.7403952391555162
CD14_low_CD16_positive_monocyte	-7.641693372316134e-09	1.159867014133842e-08	0.7450014478594778
platelet	-5.283895909476098e-09	7.566885487092706e-09	0.7575027121298813
regulatory_T_cell	-6.421335560878016e-09	9.065011095519208e-09	0.7606406541521211
conventional_dendritic_cell	-8.507612717115098e-09	1.070763219448797e-08	0.7865586359470805
CD14_positive_monocyte	-1.0648934433750761e-08	1.0712089554430556e-08	0.8399139572391862
CD4_positive_alpha_beta_T_cell	-1.0777904675931852e-08	1.0370152292430345e-08	0.8506719869127448
central_memory_CD4_positive_alpha_beta_T_cell	-9.612371199312503e-09	9.010183386915817e-09	0.8569766292859011
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.0972941351233758e-08	8.966398883159086e-09	0.8894832624725224
transitional_stage_B_cell	-1.0151314870912234e-08	7.2754222439169175e-09	0.9185356097046997
central_memory_CD8_positive_alpha_beta_T_cell	-1.5619415580357894e-08	1.0552966770535394e-08	0.9305763331494097
