Name	Coefficient	Coefficient_std_error	Coefficient_P_value
innate_lymphoid_cell	1.5783207670807848e-08	7.948525448274815e-09	0.023534575735883523
hematopoietic_precursor_cell	1.2177040752808354e-08	6.401354941683309e-09	0.028568593257319863
CD14_positive_monocyte	9.734074937691105e-09	7.538715247991703e-09	0.09831519460540289
CD4_positive_alpha_beta_T_cell	1.0205189023261039e-08	8.522969606746047e-09	0.11558025078527373
dendritic_cell	3.529569900215996e-09	7.19792219166171e-09	0.3119397467303785
conventional_dendritic_cell	2.9927621685400583e-09	6.744021629371455e-09	0.3286061721607626
plasmablast	2.295648859534456e-09	9.08513501841677e-09	0.40025703145634034
plasmacytoid_dendritic_cell	-7.648202324525788e-11	7.243259289620584e-09	0.5042123779601436
platelet	-3.478137554453624e-09	7.590918817526229e-09	0.6765946051915953
natural_killer_cell	-3.6668265317909427e-09	7.73861508204921e-09	0.6821912063767352
CD14_low_CD16_positive_monocyte	-4.060967523001128e-09	7.63941046023081e-09	0.7024919803886357
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-3.8924704550097015e-09	6.753927266515154e-09	0.7178029026056922
erythrocyte	-5.974500767340772e-09	7.624833062395405e-09	0.783350315975194
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-5.9003067485056255e-09	6.890215654942848e-09	0.8040927002352365
CD8_positive_alpha_beta_T_cell	-7.271127705270216e-09	8.291221718546576e-09	0.8097477144240928
naive_B_cell	-6.603336744712264e-09	6.5309458080737766e-09	0.8440119570540052
double_negative_thymocyte	-8.019338712460365e-09	7.72136469290932e-09	0.8505024682598796
CD16_negative_CD56_bright_natural_killer_cell_human	-8.52056143680976e-09	7.416829371106071e-09	0.8746837691327072
mucosal_invariant_T_cell	-9.124549240977569e-09	7.282944312119212e-09	0.8948726597007
gamma_delta_T_cell	-9.949659536755996e-09	7.513568046620457e-09	0.9072859428612536
peripheral_blood_mononuclear_cell	-1.1330771955776169e-08	7.965735987317124e-09	0.9225505472361415
effector_memory_CD8_positive_alpha_beta_T_cell	-1.161544015182535e-08	7.5982319654767e-09	0.9368309583412704
regulatory_T_cell	-1.0627083695694864e-08	6.853547705073646e-09	0.9395007350024855
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.1338843761392547e-08	7.2425499292246975e-09	0.9412773605483754
transitional_stage_B_cell	-9.869372724149858e-09	6.131093654114034e-09	0.9462710118764056
memory_B_cell	-1.1922104806054187e-08	5.689507614840905e-09	0.9819346991248817
central_memory_CD8_positive_alpha_beta_T_cell	-1.4547281233875031e-08	6.831304302095862e-09	0.9833936558125194
central_memory_CD4_positive_alpha_beta_T_cell	-1.472561873546263e-08	6.878447316015831e-09	0.9838563149334424
effector_memory_CD4_positive_alpha_beta_T_cell	-2.178034173829284e-08	7.323256986605953e-09	0.9985309124945316
