Name	Coefficient	Coefficient_std_error	Coefficient_P_value
hematopoietic_precursor_cell	2.2783024856751655e-08	1.1364669389107972e-08	0.02249628356676222
innate_lymphoid_cell	1.4572035431665168e-08	9.66303126671449e-09	0.06577482308384891
CD16_negative_CD56_bright_natural_killer_cell_human	1.4329743783686742e-08	1.013172301773802e-08	0.078630431157442
peripheral_blood_mononuclear_cell	8.847084372386743e-09	1.0376272990201987e-08	0.19693325646680587
memory_B_cell	5.372422481081444e-09	9.089536338703865e-09	0.27724154240760535
dendritic_cell	5.10669734838276e-09	1.0693067129795226e-08	0.3164778348752827
naive_B_cell	2.4143137052763283e-09	7.2926378547366255e-09	0.3702989083272886
plasmacytoid_dendritic_cell	2.7484095271274174e-09	9.292119412156529e-09	0.3836996057826357
mucosal_invariant_T_cell	2.6526220651768346e-09	1.0912613135161311e-08	0.40397227777252614
double_negative_thymocyte	1.8704232183350084e-09	9.231458622788762e-09	0.41971835376030747
effector_memory_CD8_positive_alpha_beta_T_cell	1.0035357131912973e-09	8.265479752940948e-09	0.4516820072276891
plasmablast	1.3047266893307059e-09	1.1763768596713386e-08	0.4558436180528051
CD14_low_CD16_positive_monocyte	5.42530629643282e-10	1.1386856218559988e-08	0.4809994486967767
CD8_positive_alpha_beta_T_cell	-9.676077681489926e-10	1.0149528309207867e-08	0.5379757256699669
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-2.0220456579129176e-09	9.397003859037752e-09	0.5851864405865641
CD4_positive_alpha_beta_T_cell	-4.746175686011053e-09	1.1685896499474239e-08	0.6576821964141748
gamma_delta_T_cell	-5.195977436337228e-09	1.0635282541794513e-08	0.687423507585708
natural_killer_cell	-5.626874715694211e-09	8.198419066186714e-09	0.7537495493883386
effector_memory_CD4_positive_alpha_beta_T_cell	-7.767033512310286e-09	9.730744876228685e-09	0.7876213786131282
central_memory_CD4_positive_alpha_beta_T_cell	-7.0386648109147094e-09	8.81071544404396e-09	0.7878187002261687
CD4_positive_alpha_beta_cytotoxic_T_cell	-9.421238509316292e-09	9.959522756155842e-09	0.8279136713018818
platelet	-8.3160399262562e-09	8.46781885118856e-09	0.8369687453430211
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-9.818302745899706e-09	9.204165262291287e-09	0.8569517264664379
CD14_positive_monocyte	-1.1034009862519166e-08	1.0105371708346207e-08	0.8625604813728664
conventional_dendritic_cell	-1.1210108723459647e-08	1.0162438818828965e-08	0.8650064730597361
central_memory_CD8_positive_alpha_beta_T_cell	-1.1951510388022163e-08	1.0593867265951242e-08	0.8703724898918711
regulatory_T_cell	-1.429380283813728e-08	9.868432657944827e-09	0.9262525611604223
erythrocyte	-1.843426979119672e-08	1.1130755782711752e-08	0.9511549009603475
transitional_stage_B_cell	-1.553067328668278e-08	7.3188823636150395e-09	0.9830811591527371
