Name	Coefficient	Coefficient_std_error	Coefficient_P_value
plasmablast	2.293026153433595e-08	1.0294011385123405e-08	0.012955799229576622
CD4_positive_alpha_beta_T_cell	1.306103975591322e-08	8.762310654334375e-09	0.0680341791708932
erythrocyte	9.440185268237198e-09	8.385638794482385e-09	0.13013435395644313
CD16_negative_CD56_bright_natural_killer_cell_human	8.39082676194028e-09	9.09671863857835e-09	0.17815959827631223
innate_lymphoid_cell	5.538976266044546e-09	8.30449342677931e-09	0.2523907144087868
double_negative_thymocyte	5.461856865134902e-09	8.518611955842373e-09	0.26070694148052387
naive_B_cell	2.2968009932332387e-09	7.215060821785387e-09	0.37511570244923886
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	2.214402607887194e-09	9.110236183283156e-09	0.40397654210096334
CD14_low_CD16_positive_monocyte	1.231272791661304e-09	9.06084097977225e-09	0.4459543337774194
natural_killer_cell	-7.404170139009638e-10	9.929945211627887e-09	0.5297192141066627
plasmacytoid_dendritic_cell	-1.443050173570941e-09	8.578857130689821e-09	0.5667909911372219
regulatory_T_cell	-1.3862458901970927e-09	8.078598913525333e-09	0.568121967924135
mucosal_invariant_T_cell	-1.91211299009308e-09	9.297164548417429e-09	0.581474189149938
hematopoietic_precursor_cell	-2.5117142451167536e-09	8.160465099233421e-09	0.6208791531291904
dendritic_cell	-3.2136678781491985e-09	9.540247894395053e-09	0.6318864082358147
central_memory_CD4_positive_alpha_beta_T_cell	-3.0648710031185866e-09	8.230456235199422e-09	0.6451956487210753
effector_memory_CD4_positive_alpha_beta_T_cell	-4.111299209673103e-09	8.604897318601011e-09	0.6835987259231231
CD4_positive_alpha_beta_cytotoxic_T_cell	-5.197341976923111e-09	8.9538935153049e-09	0.719196453529872
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-5.0162192617316235e-09	8.225303137122177e-09	0.7290201424092262
CD14_positive_monocyte	-6.131921753388714e-09	9.003867354682437e-09	0.752074377388134
gamma_delta_T_cell	-7.198032949705482e-09	9.114626775601234e-09	0.7851553036066306
CD8_positive_alpha_beta_T_cell	-8.027692858905628e-09	8.801022255710986e-09	0.8191503475067452
transitional_stage_B_cell	-8.653153818220498e-09	7.926893671458176e-09	0.8624998678639725
central_memory_CD8_positive_alpha_beta_T_cell	-9.6823797193911e-09	8.248632321494186e-09	0.8797657088982169
conventional_dendritic_cell	-1.007587214865009e-08	8.521995024574999e-09	0.8814640442906277
platelet	-1.0493609837585533e-08	8.28290610966655e-09	0.8974043911655605
effector_memory_CD8_positive_alpha_beta_T_cell	-1.2008923544721211e-08	8.055072604940847e-09	0.9319998618517608
memory_B_cell	-1.1151625549659612e-08	7.152099827006991e-09	0.9405266572520399
peripheral_blood_mononuclear_cell	-1.4153544316635973e-08	7.473886880553427e-09	0.9708697536709681
