Name	Coefficient	Coefficient_std_error	Coefficient_P_value
effector_memory_CD8_positive_alpha_beta_T_cell	1.5637771052039276e-08	7.738922880372683e-09	0.021657224634546418
dendritic_cell	1.0640074720014122e-08	7.77915354433204e-09	0.08569240520697291
mucosal_invariant_T_cell	6.51375289546223e-09	7.447745064420374e-09	0.19089743598746445
gamma_delta_T_cell	6.442963433070764e-09	7.666988183893779e-09	0.20035572499802112
peripheral_blood_mononuclear_cell	5.221816199340162e-09	7.353643910589811e-09	0.23882133053035487
innate_lymphoid_cell	4.593637887919033e-09	7.465167385626718e-09	0.26916413974087605
natural_killer_cell	3.842925444163572e-09	7.2563426289646165e-09	0.29819625332282196
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	3.0144913967934666e-09	6.619539705473924e-09	0.32441330039155525
double_negative_thymocyte	3.00182304825323e-09	8.109783882916494e-09	0.35563598261222185
erythrocyte	1.2252149056047559e-09	6.876162589250614e-09	0.4292896513605343
CD14_low_CD16_positive_monocyte	1.0273717910451541e-09	7.782887765724142e-09	0.4474905906546853
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	7.07679045464306e-10	6.430303370314083e-09	0.45618337088058436
transitional_stage_B_cell	-4.021048242045629e-10	6.633325836612671e-09	0.5241686339257438
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.9556458284779345e-09	7.009498859390535e-09	0.6098773493100518
CD14_positive_monocyte	-3.7675470562392966e-09	8.327257355121918e-09	0.67452237040125
CD8_positive_alpha_beta_T_cell	-4.6486782544529655e-09	7.440230266179473e-09	0.7339498220599066
plasmacytoid_dendritic_cell	-4.808129622746249e-09	6.776249114651088e-09	0.7610103077990089
CD4_positive_alpha_beta_T_cell	-5.714209770022658e-09	7.175839595042587e-09	0.787074748652713
regulatory_T_cell	-5.223120305412994e-09	6.552092663173853e-09	0.7873233413696927
naive_B_cell	-5.8797832795424304e-09	7.002351375625635e-09	0.7994580419853099
memory_B_cell	-5.699519052198453e-09	6.250622667779115e-09	0.8190714729495031
central_memory_CD4_positive_alpha_beta_T_cell	-5.587733269853214e-09	6.076693234302871e-09	0.8210921460227378
plasmablast	-6.570267624376241e-09	7.14277980122014e-09	0.8211737524479147
hematopoietic_precursor_cell	-5.882055568494026e-09	6.107446360817106e-09	0.8322502601334203
effector_memory_CD4_positive_alpha_beta_T_cell	-6.690142784555721e-09	6.437820903463547e-09	0.8506426650038457
CD16_negative_CD56_bright_natural_killer_cell_human	-7.646785439869512e-09	6.9275974315887016e-09	0.8651632854128402
central_memory_CD8_positive_alpha_beta_T_cell	-7.713024509979159e-09	6.8860274687245054e-09	0.8686639649979022
platelet	-7.266499011563054e-09	6.379487097340581e-09	0.8726570269527911
conventional_dendritic_cell	-1.2117174901787188e-08	7.010501770328013e-09	0.9580445898650564
