Name	Coefficient	Coefficient_std_error	Coefficient_P_value
naive_B_cell	1.0558586977884337e-08	5.449106853357118e-09	0.026331567764725443
effector_memory_CD4_positive_alpha_beta_T_cell	6.776268234807369e-09	5.360879193936886e-09	0.1031110990112295
transitional_stage_B_cell	6.9779920093238935e-09	5.59874320921615e-09	0.10631801658862317
mucosal_invariant_T_cell	5.795337845666051e-09	5.480590802518326e-09	0.1451578297599222
gamma_delta_T_cell	5.300373757881914e-09	6.175087348156438e-09	0.19535017122409942
memory_B_cell	3.73677762209121e-09	5.493393561892043e-09	0.24817904411011027
CD8_positive_alpha_beta_T_cell	3.908582281147716e-09	6.6772401771644215e-09	0.27915319320127535
double_negative_thymocyte	3.6206368044850823e-09	6.799360245561984e-09	0.29719101789495184
CD16_negative_CD56_bright_natural_killer_cell_human	3.0493035592668363e-09	5.975555723253273e-09	0.3049219716838495
erythrocyte	3.36308679380362e-09	6.859669014138775e-09	0.31197158801110625
effector_memory_CD8_positive_alpha_beta_T_cell	2.481489937428592e-09	5.368746782680338e-09	0.32196526707041584
CD4_positive_alpha_beta_cytotoxic_T_cell	2.370156739357393e-09	5.452632049208112e-09	0.33189691670029886
CD14_positive_monocyte	2.1884430124314766e-09	5.57192562175784e-09	0.3472474801809122
conventional_dendritic_cell	2.1925267696259125e-09	5.609199994406474e-09	0.34794279265517514
innate_lymphoid_cell	5.263766260462271e-10	5.237840818001128e-09	0.45997569025114704
regulatory_T_cell	-5.158196161409247e-10	5.790787143729431e-09	0.5354892075886375
CD14_low_CD16_positive_monocyte	-1.3591097564153287e-09	6.131615617759838e-09	0.5877091807007393
hematopoietic_precursor_cell	-1.7174736813434051e-09	5.15214164036613e-09	0.6305654817023032
peripheral_blood_mononuclear_cell	-2.1363835718997506e-09	6.022642213068108e-09	0.638602302738195
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-3.0193979621164013e-09	5.399000275960702e-09	0.7120048891267141
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-3.4508298555247713e-09	5.3512299800147654e-09	0.7404932036174724
natural_killer_cell	-3.996248566401888e-09	6.059644584154931e-09	0.745208016735031
plasmacytoid_dendritic_cell	-3.734527874062801e-09	5.568994122444061e-09	0.7487600440615951
dendritic_cell	-4.255546607916106e-09	6.125634659983808e-09	0.7563818258184374
CD4_positive_alpha_beta_T_cell	-4.571690405211403e-09	5.865698936699416e-09	0.782126163796591
central_memory_CD4_positive_alpha_beta_T_cell	-5.565558898869853e-09	5.269780981919592e-09	0.8545449416476341
plasmablast	-6.3956965806058745e-09	5.701821879179453e-09	0.8690036109154121
central_memory_CD8_positive_alpha_beta_T_cell	-7.235698124873791e-09	4.9428992576216936e-09	0.9283835001355742
platelet	-1.3982340500964455e-08	4.567813660664045e-09	0.9988972165207988
