Name	Coefficient	Coefficient_std_error	Coefficient_P_value
double_negative_thymocyte	2.658949156988702e-08	1.1309134944709362e-08	0.009357701610093394
mucosal_invariant_T_cell	2.5442697375886197e-08	1.1830517286691422e-08	0.015753936407334104
innate_lymphoid_cell	2.5011445677406077e-08	1.1679419452048402e-08	0.01611697642198074
effector_memory_CD8_positive_alpha_beta_T_cell	2.0031751720089192e-08	1.14654877052641e-08	0.04030698550143408
hematopoietic_precursor_cell	1.2183905774991812e-08	9.353466932635405e-09	0.09635422273138006
CD4_positive_alpha_beta_T_cell	1.1354643683587738e-08	1.1506167746212444e-08	0.16186273331458323
CD4_positive_alpha_beta_cytotoxic_T_cell	7.4261280113809994e-09	8.404996923822762e-09	0.18847302824256973
effector_memory_CD4_positive_alpha_beta_T_cell	7.004566046055911e-09	8.944080962009283e-09	0.21676921948296607
CD8_positive_alpha_beta_T_cell	7.934091881036125e-09	1.0969509396917853e-08	0.23475211548478986
CD16_negative_CD56_bright_natural_killer_cell_human	7.3151659755953625e-09	1.027496051606301e-08	0.2382506465893784
central_memory_CD4_positive_alpha_beta_T_cell	5.501210978923228e-09	8.749272425157984e-09	0.26475240505246583
erythrocyte	4.699762787448406e-09	1.125339193530626e-08	0.33810854645569677
gamma_delta_T_cell	4.055938693492822e-09	1.1317596699596369e-08	0.3600315150779353
plasmacytoid_dendritic_cell	2.8491528162838886e-09	9.243180955819753e-09	0.37894842985647537
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	2.0751750005869842e-09	1.0403157447143407e-08	0.42094540443401773
natural_killer_cell	4.780355502971876e-10	9.681981185172178e-09	0.48031073047718587
central_memory_CD8_positive_alpha_beta_T_cell	-1.2966322768861201e-11	1.0445203880281338e-08	0.5004952333247467
plasmablast	-6.168004944735563e-11	9.533358760635188e-09	0.5025811058335332
naive_B_cell	-1.5112897666798381e-09	7.941556542322764e-09	0.5754635433040113
conventional_dendritic_cell	-1.7545883415497602e-09	9.175350537925874e-09	0.5758267044454755
dendritic_cell	-3.823750240188991e-09	1.073322867138196e-08	0.6391746338897275
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-6.538199404901864e-09	1.1019951872223162e-08	0.7235116816490057
CD14_positive_monocyte	-7.789620298185734e-09	9.899265570560755e-09	0.7843264909398662
CD14_low_CD16_positive_monocyte	-7.464312959794202e-09	8.603472527650014e-09	0.8071914234043123
peripheral_blood_mononuclear_cell	-9.109564920159441e-09	9.90580715440131e-09	0.8211139592033762
regulatory_T_cell	-1.0765463730867103e-08	9.078817535297872e-09	0.8821450445978887
memory_B_cell	-1.9264225378775408e-08	8.272736261036969e-09	0.990060930029787
platelet	-1.9688525446442055e-08	8.437493705823871e-09	0.9901879034124044
transitional_stage_B_cell	-2.0913238825659378e-08	8.30095568336426e-09	0.9941218686765325
