Name	Coefficient	Coefficient_std_error	Coefficient_P_value
conventional_dendritic_cell	2.4466080775469967e-08	9.622088865349914e-09	0.005499988913942935
CD4_positive_alpha_beta_cytotoxic_T_cell	2.2519904869499293e-08	1.0153365658183018e-08	0.01327828976785222
effector_memory_CD8_positive_alpha_beta_T_cell	1.8850932854741155e-08	1.0890202078630264e-08	0.04172593909134283
plasmablast	1.6370835398149728e-08	1.0800568757771073e-08	0.06479277335835114
gamma_delta_T_cell	1.344597504993315e-08	1.0004865772384995e-08	0.08948331724351033
central_memory_CD8_positive_alpha_beta_T_cell	1.0670763683874156e-08	8.140802124406558e-09	0.09496681714573713
natural_killer_cell	9.884097963115271e-09	8.823022961200863e-09	0.1313010502799699
CD4_positive_alpha_beta_T_cell	9.701232811432824e-09	1.0474524883025884e-08	0.1771777760129808
mucosal_invariant_T_cell	6.702562190242404e-09	9.283821864480135e-09	0.23515906646406926
CD14_positive_monocyte	7.551368970120454e-09	1.1212522400310013e-08	0.2503221360886019
transitional_stage_B_cell	5.595499001227054e-09	8.949929851752664e-09	0.26591979618129713
peripheral_blood_mononuclear_cell	5.847222449175e-09	9.615216398868207e-09	0.2715533561122846
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	4.757448985014403e-09	7.985466060394044e-09	0.2756666246600227
regulatory_T_cell	4.7812410870118274e-09	8.200598702217092e-09	0.27993466335324124
innate_lymphoid_cell	4.042816742307574e-09	8.955202501205066e-09	0.3258330061577338
double_negative_thymocyte	4.593361763753206e-09	1.0554966763292698e-08	0.33171412451076837
CD16_negative_CD56_bright_natural_killer_cell_human	3.868506041603825e-09	8.989596874511877e-09	0.33347728506616253
CD14_low_CD16_positive_monocyte	3.6061328776707506e-09	9.274331775086457e-09	0.34870117467748085
hematopoietic_precursor_cell	3.1183428891927396e-09	8.645924309229004e-09	0.35917232594728754
plasmacytoid_dendritic_cell	3.510658151910609e-09	1.0758997071400248e-08	0.37209878525806434
CD8_positive_alpha_beta_T_cell	2.646555234667608e-09	8.942823271960736e-09	0.38363726334554804
central_memory_CD4_positive_alpha_beta_T_cell	2.2306320835491246e-09	8.229413373553621e-09	0.393173971095641
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	3.1607140747172856e-10	8.369358516798919e-09	0.4849374021638309
erythrocyte	-3.2871926816991556e-09	9.159265862736934e-09	0.640162279786796
naive_B_cell	-2.8238511393550283e-09	7.671427223460313e-09	0.6436006051888488
memory_B_cell	-5.264615624163252e-09	7.489286499063738e-09	0.7589574471432923
dendritic_cell	-9.434269612377883e-09	1.0497199690433192e-08	0.8156048323912537
effector_memory_CD4_positive_alpha_beta_T_cell	-9.40983491243838e-09	7.428739730597966e-09	0.8973651057322352
platelet	-1.0502776679689093e-08	8.006226734246877e-09	0.9052105809709824
