Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD4_positive_alpha_beta_T_cell	1.689495683698086e-08	8.812835648516308e-09	0.027613553942646005
plasmacytoid_dendritic_cell	9.231610849323516e-09	7.229876257296196e-09	0.10082410400960368
double_negative_thymocyte	9.20455023727223e-09	7.602551552620667e-09	0.11300164411639885
erythrocyte	7.613209858739987e-09	7.535948056784664e-09	0.15618718214639782
gamma_delta_T_cell	6.105343646087799e-09	8.317751207064222e-09	0.23147018296503946
peripheral_blood_mononuclear_cell	5.17341118288019e-09	7.566740698846802e-09	0.24708103603671838
plasmablast	3.850078681257315e-09	7.271035294784468e-09	0.298226198844169
central_memory_CD8_positive_alpha_beta_T_cell	2.8352839587713068e-09	6.4788651972744e-09	0.33083071906009776
innate_lymphoid_cell	2.691799792220331e-09	6.723622301705299e-09	0.34444950409677305
CD4_positive_alpha_beta_cytotoxic_T_cell	1.7309747307295314e-09	7.634260672241764e-09	0.4103138537928816
conventional_dendritic_cell	1.3303643066012136e-09	7.696230228734118e-09	0.431381045818517
dendritic_cell	6.128177063334274e-10	7.58516684721243e-09	0.46780384735087205
effector_memory_CD8_positive_alpha_beta_T_cell	-3.6132565179559543e-10	7.610026198659852e-09	0.5189347491735592
natural_killer_cell	-6.467666465818571e-10	8.142383751727777e-09	0.5316555317076666
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-9.36247466588825e-10	7.632480843332559e-09	0.5488142872459825
CD16_negative_CD56_bright_natural_killer_cell_human	-9.297126238474811e-10	7.423495293859817e-09	0.5498329084304289
CD8_positive_alpha_beta_T_cell	-1.4083590928248306e-09	9.356716701378557e-09	0.5598222274211355
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.1024609016451473e-09	6.759990693420865e-09	0.564774700394765
regulatory_T_cell	-1.163020033798761e-09	7.043549035220518e-09	0.5655746318536514
central_memory_CD4_positive_alpha_beta_T_cell	-2.0221727315424385e-09	6.661990240791576e-09	0.6192603703137762
hematopoietic_precursor_cell	-2.374736088285263e-09	6.4099748768063555e-09	0.644485737223473
CD14_positive_monocyte	-3.042242475603627e-09	7.306532221117565e-09	0.6614314455044931
naive_B_cell	-3.360021369091307e-09	6.545693809897749e-09	0.6961354945769856
memory_B_cell	-3.8999862293775344e-09	6.065721961378792e-09	0.7398733483345976
mucosal_invariant_T_cell	-4.806986008845007e-09	7.232977580278815e-09	0.7468445646448408
transitional_stage_B_cell	-6.111879501143517e-09	6.185928090568672e-09	0.8384309020711203
platelet	-9.309033892189274e-09	6.384557541099123e-09	0.927587261704076
CD14_low_CD16_positive_monocyte	-1.110540190186425e-08	6.6017278835400276e-09	0.9537346046554983
effector_memory_CD4_positive_alpha_beta_T_cell	-1.60929073413613e-08	6.929472480188408e-09	0.9898939099061778
