Name	Coefficient	Coefficient_std_error	Coefficient_P_value
gamma_delta_T_cell	2.2800267779628525e-08	1.2658463418291134e-08	0.03583665536059787
effector_memory_CD8_positive_alpha_beta_T_cell	1.9975274467771586e-08	1.1243426427005272e-08	0.03781555092247031
CD4_positive_alpha_beta_cytotoxic_T_cell	1.9874004315788714e-08	1.2463257097892545e-08	0.05540000756594722
conventional_dendritic_cell	1.9903069539489586e-08	1.501308336429037e-08	0.09246706150568063
CD4_positive_alpha_beta_T_cell	1.7461543047251982e-08	1.3243550069759407e-08	0.09366914414103328
CD16_negative_CD56_bright_natural_killer_cell_human	1.2977623905552092e-08	1.127114411672124e-08	0.12478333576424588
plasmablast	1.2075715494099762e-08	1.4590989318808679e-08	0.20394440432097793
natural_killer_cell	8.651750591831037e-09	1.1173614013854383e-08	0.219376139359808
plasmacytoid_dendritic_cell	9.31470307775005e-09	1.2418835028537528e-08	0.22661336596378
CD8_positive_alpha_beta_T_cell	8.461645578569732e-09	1.1653421300745194e-08	0.2338861998463817
mucosal_invariant_T_cell	7.683838148772131e-09	1.0890065020871723e-08	0.24022393810161802
innate_lymphoid_cell	7.109364122124264e-09	1.0842705939379105e-08	0.2560144652191343
regulatory_T_cell	5.876272528825291e-09	1.1026016578681002e-08	0.2970354462084759
hematopoietic_precursor_cell	4.667695777669156e-09	9.388736940143907e-09	0.30953843908000317
double_negative_thymocyte	4.81026300470072e-09	1.2663049085795386e-08	0.3520224082681922
CD14_low_CD16_positive_monocyte	3.179788925317291e-09	1.1230792957903834e-08	0.3885380973446913
CD14_positive_monocyte	1.3718673581505782e-09	1.2855762646083254e-08	0.4575086319820813
peripheral_blood_mononuclear_cell	-2.4561282061479187e-09	1.2914994146824244e-08	0.5754145819224298
platelet	-2.4220558710445043e-09	1.0331513362789728e-08	0.5926758869888853
erythrocyte	-5.962057968304222e-09	1.191356528867816e-08	0.6916183384582683
naive_B_cell	-6.334486899854375e-09	1.0698759089909126e-08	0.723100414609153
dendritic_cell	-1.0943943777707931e-08	1.5257103113628863e-08	0.7634059758062879
effector_memory_CD4_positive_alpha_beta_T_cell	-8.730189641368871e-09	1.044012006701692e-08	0.798483144312222
transitional_stage_B_cell	-9.020699269665787e-09	9.933898722245534e-09	0.8180800147119452
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-8.985601169487387e-09	9.814247883182646e-09	0.8200529682451163
memory_B_cell	-1.1394169497152525e-08	9.820936159931226e-09	0.8770146354438202
central_memory_CD8_positive_alpha_beta_T_cell	-1.1901374494696113e-08	1.0066969631160647e-08	0.8814408232205859
central_memory_CD4_positive_alpha_beta_T_cell	-1.5824500049422613e-08	1.0733942603211218e-08	0.9297926680130562
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.5905421411560383e-08	1.0349154673158917e-08	0.9378387998273664
