Name	Coefficient	Coefficient_std_error	Coefficient_P_value
mucosal_invariant_T_cell	3.432712210438078e-08	1.180801373262827e-08	0.0018239603856082646
double_negative_thymocyte	3.122499630491222e-08	1.3290126098842782e-08	0.009399616451921859
effector_memory_CD8_positive_alpha_beta_T_cell	1.9859314424907762e-08	1.1886335050255599e-08	0.047383704334250557
CD4_positive_alpha_beta_cytotoxic_T_cell	1.4171415762771666e-08	1.025807028638474e-08	0.08356426144283491
effector_memory_CD4_positive_alpha_beta_T_cell	9.271099563638514e-09	8.680031839644266e-09	0.14273880569537306
plasmacytoid_dendritic_cell	9.117454261119025e-09	9.519215084647543e-09	0.16908313276177628
gamma_delta_T_cell	1.1016677119955365e-08	1.211253519126081e-08	0.18153602087729476
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	8.923148599161081e-09	1.0863178339858955e-08	0.20570572218060457
innate_lymphoid_cell	8.332787230396005e-09	1.0417135670684196e-08	0.21188102021871763
central_memory_CD8_positive_alpha_beta_T_cell	5.864102414255886e-09	9.168707650749437e-09	0.2612235401521957
CD4_positive_alpha_beta_T_cell	6.239535251150222e-09	1.100646547337733e-08	0.2853919888548435
central_memory_CD4_positive_alpha_beta_T_cell	4.303628994826859e-09	8.392249931829464e-09	0.3040421458628223
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	4.641887408333498e-09	1.085827919154621e-08	0.3345084961288463
CD16_negative_CD56_bright_natural_killer_cell_human	3.4576498320919892e-09	1.0140776310958647e-08	0.3665649638798206
plasmablast	3.042091213530228e-09	1.1146135752066619e-08	0.3924543269124424
erythrocyte	1.8942391270108082e-09	1.1318079212549732e-08	0.4335418206349227
naive_B_cell	1.1583997205335834e-09	8.857393843743492e-09	0.4479733436815013
natural_killer_cell	-1.8130564408404833e-09	9.511897432478548e-09	0.5755841618539672
dendritic_cell	-3.1089809908436637e-09	1.0858625199040407e-08	0.6126813431980414
transitional_stage_B_cell	-4.537815425607433e-09	8.759093837718957e-09	0.6977949533918192
CD14_positive_monocyte	-5.835081410647414e-09	1.1018091832877385e-08	0.7018022050395429
hematopoietic_precursor_cell	-6.482140801680001e-09	9.774713575505306e-09	0.7463840484532754
memory_B_cell	-6.089280288827048e-09	8.278647173185965e-09	0.768994808234911
CD8_positive_alpha_beta_T_cell	-8.271620863237524e-09	1.0895228787266388e-08	0.7761325259890265
regulatory_T_cell	-9.319104556785758e-09	9.1869317054223e-09	0.844800949564456
CD14_low_CD16_positive_monocyte	-1.2374080332561337e-08	1.004491468251056e-08	0.8910021289418846
conventional_dendritic_cell	-1.2326061661243106e-08	9.512040471028129e-09	0.9024843150950301
peripheral_blood_mononuclear_cell	-1.3882199447014716e-08	1.050615407069306e-08	0.9068059543929305
platelet	-1.888725504225754e-08	9.58324700221004e-09	0.9756301548674656
