Name	Coefficient	Coefficient_std_error	Coefficient_P_value
plasmablast	4.2794777105610224e-08	1.7756799669937407e-08	0.0079751646709388
double_negative_thymocyte	2.3884957474110405e-08	1.3791821038031924e-08	0.041652769509349236
effector_memory_CD8_positive_alpha_beta_T_cell	2.090505301416308e-08	1.280482706965432e-08	0.05127746035472881
erythrocyte	2.2347011988201683e-08	1.6161747598218466e-08	0.08337688355408407
gamma_delta_T_cell	1.854597561114655e-08	1.35941149115001e-08	0.08624208362068309
conventional_dendritic_cell	1.9507924181812377e-08	1.4479281302755748e-08	0.0889419441003414
plasmacytoid_dendritic_cell	1.774702311332626e-08	1.3240492311256775e-08	0.09006420554767147
regulatory_T_cell	1.668720640692897e-08	1.25635654809676e-08	0.09205235859543637
CD14_positive_monocyte	1.5545722813925453e-08	1.4146595217800818e-08	0.13590539112909567
naive_B_cell	1.1913460611689366e-08	1.1274668369641836e-08	0.14533401018908393
transitional_stage_B_cell	1.1383551394832861e-08	1.1600190058638126e-08	0.163216357751496
CD4_positive_alpha_beta_T_cell	1.1062832364155664e-08	1.2750589230977725e-08	0.19279762935174188
peripheral_blood_mononuclear_cell	1.1880711291491803e-08	1.4121241748702482e-08	0.20007981963193577
memory_B_cell	7.155531161641186e-09	1.1428801538041857e-08	0.2656258663698915
central_memory_CD8_positive_alpha_beta_T_cell	6.6080723502552814e-09	1.1193592090300986e-08	0.27747995062069714
CD4_positive_alpha_beta_cytotoxic_T_cell	6.037117865339244e-09	1.2574778016172252e-08	0.31557907879948466
natural_killer_cell	5.166153839712467e-09	1.2060123117665146e-08	0.3341921216985887
hematopoietic_precursor_cell	3.9704280740189635e-09	1.2423552976067037e-08	0.37464004244017535
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	1.0557740864221556e-09	1.107621222953482e-08	0.4620307037979735
dendritic_cell	-2.6801524406552536e-10	1.746618137764673e-08	0.5061214534779731
CD8_positive_alpha_beta_T_cell	-2.6624937418755047e-09	1.2406100178804667e-08	0.5849649484406568
innate_lymphoid_cell	-4.439440746670078e-09	1.1544791836543352e-08	0.6497110809854207
CD16_negative_CD56_bright_natural_killer_cell_human	-4.218118381490383e-09	1.0723271934465926e-08	0.6529736134251168
mucosal_invariant_T_cell	-1.0005103255214636e-08	1.283978926823539e-08	0.7820768305305641
central_memory_CD4_positive_alpha_beta_T_cell	-8.164560200787685e-09	1.0177304804965496e-08	0.7887906328957999
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-8.930476608360193e-09	1.1112095629617129e-08	0.7892066942606872
platelet	-9.128096389990708e-09	9.98244700972252e-09	0.8197505124366299
CD14_low_CD16_positive_monocyte	-1.5825943211505898e-08	1.1978003435492284e-08	0.9067910760773366
effector_memory_CD4_positive_alpha_beta_T_cell	-2.037709399477333e-08	9.475798992917617e-09	0.9842396062949818
