Name	Coefficient	Coefficient_std_error	Coefficient_P_value
platelet	6.056414851124211e-08	1.7420462209145307e-08	0.00025389818905600036
peripheral_blood_mononuclear_cell	6.108676403579277e-08	1.8939882260391442e-08	0.0006292080675424003
CD14_low_CD16_positive_monocyte	2.3915744530149926e-08	1.4718369342640747e-08	0.05209290288411056
CD14_positive_monocyte	2.627263107781182e-08	1.8401443036524096e-08	0.07668214309028745
gamma_delta_T_cell	1.4486564412361494e-08	1.6023394808748633e-08	0.1829742803395062
hematopoietic_precursor_cell	9.911877018415353e-09	1.341753113774858e-08	0.23003674453809875
dendritic_cell	1.3453223771468087e-08	1.8243271180592722e-08	0.2304289773473499
conventional_dendritic_cell	1.7262352593247115e-10	1.4814213227526474e-08	0.4953514058708857
CD4_positive_alpha_beta_T_cell	2.170688255977468e-10	1.8950301563870605e-08	0.49543036092066317
innate_lymphoid_cell	-2.488196272351462e-09	1.3242209469901904e-08	0.574522037983695
CD4_positive_alpha_beta_cytotoxic_T_cell	-4.381488872662447e-09	1.5659948951118347e-08	0.6101804859005127
natural_killer_cell	-6.613647927389957e-09	1.6746644696814235e-08	0.6535504236170235
plasmacytoid_dendritic_cell	-9.022545123844313e-09	1.5749891824866784e-08	0.7166315898299453
CD8_positive_alpha_beta_T_cell	-1.6284490191778317e-08	1.7533766194473585e-08	0.8234907405142105
effector_memory_CD8_positive_alpha_beta_T_cell	-1.3400969452098438e-08	1.4184299151399338e-08	0.8276130891235987
erythrocyte	-1.3889976245957779e-08	1.4656697076535665e-08	0.8283558494701938
double_negative_thymocyte	-1.6806771558418967e-08	1.6129929910882453e-08	0.8512853159057314
plasmablast	-1.8758523061280276e-08	1.581335984358738e-08	0.882237270175834
naive_B_cell	-1.475562009711266e-08	1.2185132683188058e-08	0.8870432455654397
effector_memory_CD4_positive_alpha_beta_T_cell	-1.605437753254857e-08	1.2588087944759808e-08	0.8989095485574922
central_memory_CD8_positive_alpha_beta_T_cell	-1.6788507946599143e-08	1.2730190608794526e-08	0.9063811222405553
CD16_negative_CD56_bright_natural_killer_cell_human	-1.651809368365303e-08	1.0863749189911096e-08	0.9358045816725113
regulatory_T_cell	-1.8116603097510117e-08	1.1904827584614332e-08	0.9359686778640245
memory_B_cell	-2.0684080090096387e-08	1.187089682669181e-08	0.9592824519914894
transitional_stage_B_cell	-2.6515843523578534e-08	1.3776245109658939e-08	0.9728697505637433
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-2.6135019660037025e-08	1.2688592236804172e-08	0.9802876149639212
mucosal_invariant_T_cell	-2.8575890913247384e-08	1.2945193250458924e-08	0.9863587466443968
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.8111397798725438e-08	1.2260383994996587e-08	0.9890720930680181
central_memory_CD4_positive_alpha_beta_T_cell	-2.9356545194119064e-08	1.1564483362789583e-08	0.9944337031600409
