Name	Coefficient	Coefficient_std_error	Coefficient_P_value
erythrocyte	2.8427613025903684e-08	9.963946465269697e-09	0.002165107100948251
hematopoietic_precursor_cell	7.571176932476734e-09	6.659771083870046e-09	0.12779999080592858
platelet	3.2099630461834785e-09	6.963164415256418e-09	0.32240217462039344
memory_B_cell	2.375104966848134e-09	6.607632392890863e-09	0.3596297188735112
peripheral_blood_mononuclear_cell	2.577638009121811e-09	8.33368939071021e-09	0.3785453931525675
plasmablast	1.962648155825212e-09	8.72063962629992e-09	0.41096714642798116
innate_lymphoid_cell	1.1690145786619022e-09	7.057006820105651e-09	0.4342150050297425
CD4_positive_alpha_beta_T_cell	1.2386212290943933e-09	1.0222469333255896e-08	0.4517795634099064
transitional_stage_B_cell	-2.0650438574005554e-10	6.764324755951903e-09	0.5121772000351125
CD16_negative_CD56_bright_natural_killer_cell_human	-1.9896635425119705e-09	7.937329194325295e-09	0.5989660161633636
regulatory_T_cell	-2.1202080025343563e-09	7.557735127479205e-09	0.6104663995536709
natural_killer_cell	-2.04617333287142e-09	6.89345585770336e-09	0.6167012312363821
dendritic_cell	-2.821510630183235e-09	8.329856663560745e-09	0.6325906396700134
plasmacytoid_dendritic_cell	-2.952587825277733e-09	7.461460281851147e-09	0.653841172623104
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-3.0258035466033263e-09	6.9845104750313e-09	0.6675711684721932
mucosal_invariant_T_cell	-3.8813533584536885e-09	7.1896981957020026e-09	0.7053495089777928
double_negative_thymocyte	-6.608021119339296e-09	9.331622355965795e-09	0.7605683792401648
CD8_positive_alpha_beta_T_cell	-7.441175463531916e-09	8.315541083271581e-09	0.8145667958120795
central_memory_CD4_positive_alpha_beta_T_cell	-7.4099371420904565e-09	7.54082748960391e-09	0.8371082760651085
conventional_dendritic_cell	-7.993357551209078e-09	6.923365273344794e-09	0.8758622149026478
naive_B_cell	-7.764450847349913e-09	6.463827608412002e-09	0.8851662188569478
effector_memory_CD4_positive_alpha_beta_T_cell	-9.814081081951542e-09	7.865033393747838e-09	0.8939499976443607
effector_memory_CD8_positive_alpha_beta_T_cell	-9.042800787728117e-09	7.108900309225071e-09	0.8983204272645008
CD14_low_CD16_positive_monocyte	-1.0344421934616791e-08	8.126781598741594e-09	0.8984697774786388
CD14_positive_monocyte	-1.082014624281309e-08	7.890849305691042e-09	0.9148479103243985
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.260565351020068e-08	6.824031223824792e-09	0.9676441369504425
central_memory_CD8_positive_alpha_beta_T_cell	-1.565596104605556e-08	7.3623838150704846e-09	0.9832683385696748
gamma_delta_T_cell	-1.803262258228181e-08	7.561906759683407e-09	0.9914526851142305
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.9529968472085813e-08	7.90641371091664e-09	0.9932470378904599
