Name	Coefficient	Coefficient_std_error	Coefficient_P_value
plasmablast	1.519211907744727e-08	1.070483100796446e-08	0.0779227688064732
dendritic_cell	1.540075243262362e-08	1.139851650754203e-08	0.08832865510585697
transitional_stage_B_cell	1.1146074687766252e-08	8.58908489124296e-09	0.09719483712729171
innate_lymphoid_cell	1.4255999231230791e-08	1.1013950596607482e-08	0.09777083020176586
gamma_delta_T_cell	1.534762850023348e-08	1.2026791847467929e-08	0.10095656767364652
CD8_positive_alpha_beta_T_cell	1.1978801003907011e-08	1.0818443155604596e-08	0.13409133315287664
hematopoietic_precursor_cell	9.718495669088001e-09	8.814023687308614e-09	0.1350966806109179
naive_B_cell	9.585535155418616e-09	9.401237822105989e-09	0.1539582679737787
plasmacytoid_dendritic_cell	8.779325592834813e-09	8.931590226576149e-09	0.16281550086889546
CD16_negative_CD56_bright_natural_killer_cell_human	7.256712349677478e-09	1.0366640270313648e-08	0.2419617196478671
CD4_positive_alpha_beta_cytotoxic_T_cell	6.187493524825038e-09	9.92176499313094e-09	0.26643585736634434
effector_memory_CD8_positive_alpha_beta_T_cell	5.38410974727741e-09	9.063816579328003e-09	0.2762485777090077
CD4_positive_alpha_beta_T_cell	4.879347956689348e-09	1.0387586615229142e-08	0.31927441644118837
erythrocyte	5.738468788775009e-09	1.3485561050149092e-08	0.3352263135096682
peripheral_blood_mononuclear_cell	4.203607807069107e-09	1.0083106813813648e-08	0.3383772067581552
platelet	4.474193929974967e-09	1.090708125987815e-08	0.34082594869071065
memory_B_cell	1.8156838932510324e-09	8.86867480273045e-09	0.4188915356663565
double_negative_thymocyte	2.1875642599144954e-09	1.107299004124994e-08	0.4216952196772604
conventional_dendritic_cell	-1.985643465929246e-09	1.0318919077155181e-08	0.5762963107861807
natural_killer_cell	-3.769632920273787e-09	9.078449476133374e-09	0.6610127604982581
effector_memory_CD4_positive_alpha_beta_T_cell	-7.422294354554392e-09	8.724469078510109e-09	0.8025443597514045
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-8.501412358725918e-09	9.144739016380111e-09	0.8237239971426414
mucosal_invariant_T_cell	-9.129155675104585e-09	8.774512362195076e-09	0.8509269983107615
regulatory_T_cell	-1.486279901429701e-08	9.017443966423541e-09	0.9503470008975822
CD14_positive_monocyte	-1.8385042675105855e-08	1.0501685558283886e-08	0.9599990813093805
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.5474042716386837e-08	8.51160462454335e-09	0.9654674443640123
CD14_low_CD16_positive_monocyte	-1.8077829551068323e-08	9.498334750053464e-09	0.9714968850432121
central_memory_CD4_positive_alpha_beta_T_cell	-1.623632734474803e-08	8.517210137415497e-09	0.9716941219187757
central_memory_CD8_positive_alpha_beta_T_cell	-2.0628484531978897e-08	8.493593684813665e-09	0.9924236976620127
