Name	Coefficient	Coefficient_std_error	Coefficient_P_value
erythrocyte	1.7024312197675438e-08	7.473072682196964e-09	0.011360687475455225
CD14_low_CD16_positive_monocyte	1.5282340659928713e-08	7.0878409498237254e-09	0.015536569702208198
CD8_positive_alpha_beta_T_cell	1.038942971035954e-08	8.00435067406353e-09	0.09714833547206464
transitional_stage_B_cell	8.362811193368928e-09	6.831730449141562e-09	0.11045476988304487
CD14_positive_monocyte	5.1856507915346556e-09	6.848950879183183e-09	0.22448141625487378
effector_memory_CD8_positive_alpha_beta_T_cell	3.628315469651133e-09	7.980255992141362e-09	0.3246763773998841
peripheral_blood_mononuclear_cell	2.43796472993927e-09	7.609792947250605e-09	0.3743431671524507
CD4_positive_alpha_beta_T_cell	1.951124429565851e-09	6.593935965006122e-09	0.3836544545249463
conventional_dendritic_cell	1.70395949768783e-09	6.55057701960459e-09	0.39738422762271564
natural_killer_cell	1.3070577131614326e-09	5.994413733354681e-09	0.4136966499231158
innate_lymphoid_cell	4.4797622358991956e-10	6.247047990254412e-09	0.47141632264572
regulatory_T_cell	4.5429851639604975e-10	6.486158999992964e-09	0.47208042402995876
naive_B_cell	3.7347022827807016e-10	6.171517252313473e-09	0.4758726791319066
effector_memory_CD4_positive_alpha_beta_T_cell	1.766694829399679e-10	8.041973165645472e-09	0.49123657139771454
platelet	-3.2656967376822947e-10	6.380970341425625e-09	0.520408431922568
central_memory_CD8_positive_alpha_beta_T_cell	-3.884821970794984e-10	6.613518161071663e-09	0.5234206498552907
gamma_delta_T_cell	-8.492500750933675e-10	7.476664989509767e-09	0.5452173042318196
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.1629467526633398e-09	6.945838966304905e-09	0.5664844186043256
plasmablast	-1.7148580252121085e-09	7.408317757795568e-09	0.591528023902706
CD4_positive_alpha_beta_cytotoxic_T_cell	-2.157352864320974e-09	7.294149168604235e-09	0.6162951621805607
memory_B_cell	-1.848545759144131e-09	5.665625155264951e-09	0.6278914428686941
central_memory_CD4_positive_alpha_beta_T_cell	-3.359382286144385e-09	6.667230700389765e-09	0.6928217757178239
dendritic_cell	-4.001311114084894e-09	6.891071952050636e-09	0.719262314911489
hematopoietic_precursor_cell	-3.4702379253640256e-09	5.674355162329814e-09	0.7295872527332101
mucosal_invariant_T_cell	-5.9350313706958694e-09	7.227196928321669e-09	0.7942360775328748
double_negative_thymocyte	-6.799887834646561e-09	7.243700023133786e-09	0.8260656367989623
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-9.24098151504333e-09	6.926021650929713e-09	0.9089375439503111
plasmacytoid_dendritic_cell	-9.75894405078973e-09	5.814716080766752e-09	0.9533575053106904
CD16_negative_CD56_bright_natural_killer_cell_human	-1.1540316374965024e-08	5.728854721564888e-09	0.978017242980558
