Name	Coefficient	Coefficient_std_error	Coefficient_P_value
erythrocyte	1.6671867930411207e-08	6.405250393423563e-09	0.004622699792144554
CD14_low_CD16_positive_monocyte	1.1434068564359418e-08	7.398414005943093e-09	0.06111562928005855
gamma_delta_T_cell	8.214406187513413e-09	6.558372668813322e-09	0.10519263094588988
double_negative_thymocyte	7.906881878306503e-09	7.304257395291432e-09	0.1395145009555654
CD8_positive_alpha_beta_T_cell	6.510902161545995e-09	6.727241209465776e-09	0.1665618065073306
CD14_positive_monocyte	6.412732464015829e-09	6.8498097108739946e-09	0.17458734313485186
transitional_stage_B_cell	4.210405750338038e-09	5.7139117738357205e-09	0.23060093980835294
memory_B_cell	1.7734874271697386e-09	5.4419861584235695e-09	0.37225389118819385
CD4_positive_alpha_beta_T_cell	2.001967174360738e-09	7.120138845352533e-09	0.3892901286714999
platelet	1.5648271929511812e-09	5.586759422217415e-09	0.3897020485528429
regulatory_T_cell	1.464335726316576e-09	6.56815579497809e-09	0.41178926107717495
plasmablast	1.4266647503940812e-09	7.915401852737637e-09	0.4284824395620547
natural_killer_cell	9.279187048604195e-10	6.245934154011978e-09	0.44094898333247196
central_memory_CD8_positive_alpha_beta_T_cell	4.171110810975882e-10	6.5896759967390984e-09	0.47476473891404597
peripheral_blood_mononuclear_cell	4.1712274712636623e-10	7.2075824426339045e-09	0.47692498733942995
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	2.415920590795448e-10	6.799522635850112e-09	0.48582826812739527
effector_memory_CD8_positive_alpha_beta_T_cell	6.340400179145786e-11	6.654788427112345e-09	0.49619910465080935
CD4_positive_alpha_beta_cytotoxic_T_cell	-4.295563009666179e-10	6.635309758898937e-09	0.5258086737473393
central_memory_CD4_positive_alpha_beta_T_cell	-1.075468119442637e-09	6.264025542656345e-09	0.5681592237967739
naive_B_cell	-1.2412033520449053e-09	5.770252470079198e-09	0.585156812383355
effector_memory_CD4_positive_alpha_beta_T_cell	-2.725354162401391e-09	6.610985914764083e-09	0.659920530145628
hematopoietic_precursor_cell	-2.4289811663017727e-09	5.36186734340555e-09	0.6747293398153524
innate_lymphoid_cell	-3.751055953752216e-09	5.210275927642032e-09	0.7642172523370931
plasmacytoid_dendritic_cell	-6.5336338175509105e-09	5.9526182907498025e-09	0.8638118706623803
CD16_negative_CD56_bright_natural_killer_cell_human	-6.686474329555783e-09	5.690606458128242e-09	0.8800030548315234
conventional_dendritic_cell	-6.7488490999444015e-09	5.696335711576036e-09	0.8819458514153463
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-8.757634350953483e-09	6.4707631097720415e-09	0.912038616250189
dendritic_cell	-8.357239458716122e-09	6.147401335482247e-09	0.9130019668616585
mucosal_invariant_T_cell	-9.921923152044136e-09	6.488493827308063e-09	0.9368871864820599
