Name	Coefficient	Coefficient_std_error	Coefficient_P_value
platelet	4.6733597563229536e-08	1.607880251585403e-08	0.0018272817711144861
peripheral_blood_mononuclear_cell	5.263673181011355e-08	1.8769497456143287e-08	0.0025207022614200055
CD14_positive_monocyte	2.1864244956867926e-08	1.9176215834854795e-08	0.12710666702220075
CD14_low_CD16_positive_monocyte	1.6449007113886253e-08	1.504609262523259e-08	0.13714397417222468
hematopoietic_precursor_cell	1.2596747043386888e-08	1.3684128552001766e-08	0.17864609592570496
CD4_positive_alpha_beta_T_cell	9.574127771608714e-09	1.848256259581857e-08	0.30222610815713025
gamma_delta_T_cell	7.481077071342467e-09	1.4684859513275065e-08	0.30522139166956047
dendritic_cell	3.6505435740383608e-09	1.7367610855421537e-08	0.41675867087918295
conventional_dendritic_cell	-5.689189268487763e-10	1.4773383260715106e-08	0.5153593611003091
plasmacytoid_dendritic_cell	-5.920001362086971e-09	1.5161060245084743e-08	0.6519069984113726
CD8_positive_alpha_beta_T_cell	-1.3128477775435196e-08	1.733048735191765e-08	0.7756357644902305
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.2344844369633034e-08	1.5285757696635836e-08	0.7903408083725814
innate_lymphoid_cell	-1.1134866112662266e-08	1.2787461301514264e-08	0.8080585974421236
effector_memory_CD8_positive_alpha_beta_T_cell	-1.321545340334444e-08	1.340965948437403e-08	0.8378150175448003
double_negative_thymocyte	-1.6308713823276964e-08	1.5204098640731267e-08	0.8582864613029502
naive_B_cell	-1.5166935096988398e-08	1.1902040721215134e-08	0.8987238914681034
natural_killer_cell	-2.0308516587885316e-08	1.5254415058404724e-08	0.9084582240784207
plasmablast	-1.9691263229745274e-08	1.453797713958759e-08	0.9122068632432518
erythrocyte	-1.9945798929325084e-08	1.3668081356953948e-08	0.9277583982806109
effector_memory_CD4_positive_alpha_beta_T_cell	-1.744812856237675e-08	1.180744603903249e-08	0.9302589639462413
regulatory_T_cell	-1.6645034575660272e-08	1.0966905592395956e-08	0.9354614394576698
central_memory_CD8_positive_alpha_beta_T_cell	-1.8702643598630018e-08	1.171961516512699e-08	0.9447378631378285
memory_B_cell	-1.9341390495219202e-08	1.1085949225575474e-08	0.9594793657938799
CD16_negative_CD56_bright_natural_killer_cell_human	-2.555753724572064e-08	1.2395861608105089e-08	0.9803856481489888
central_memory_CD4_positive_alpha_beta_T_cell	-2.3114468670589252e-08	1.1183156517897045e-08	0.9806282215064376
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.456934216525619e-08	1.153000094820653e-08	0.9834515349371155
transitional_stage_B_cell	-2.743765403103561e-08	1.2592365267968875e-08	0.985330891734565
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-2.6842408732926933e-08	1.1930385984289624e-08	0.9877729738393322
mucosal_invariant_T_cell	-3.41916140721523e-08	1.1742184987080532e-08	0.9982035893551571
