Name	Coefficient	Coefficient_std_error	Coefficient_P_value
platelet	6.201227907007315e-08	1.675374205035707e-08	0.0001072071276272048
peripheral_blood_mononuclear_cell	5.698877784655313e-08	1.8333831936361783e-08	0.0009405347417909484
CD14_positive_monocyte	2.833763115095769e-08	1.8851563986114548e-08	0.06639401112966747
CD14_low_CD16_positive_monocyte	2.0015856874361968e-08	1.4607661155839972e-08	0.08530754395407608
gamma_delta_T_cell	1.7861874598978555e-08	1.6120934218747438e-08	0.13393252223524943
dendritic_cell	1.3791072179856278e-08	1.8298831829607e-08	0.22552712029324207
hematopoietic_precursor_cell	7.062197132138443e-09	1.3367780210620045e-08	0.29864559574350363
conventional_dendritic_cell	3.659269100552402e-09	1.5557229914018875e-08	0.40702154907811666
CD4_positive_alpha_beta_T_cell	3.5967420110486866e-10	1.8790543500030514e-08	0.4923642185029994
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.1591899611769316e-09	1.6106624160404756e-08	0.5286870153985967
natural_killer_cell	-4.689897182462635e-09	1.651306326898539e-08	0.6117991538403512
innate_lymphoid_cell	-3.925534110110751e-09	1.3528764830050867e-08	0.6141538654664893
plasmacytoid_dendritic_cell	-7.959514741665301e-09	1.5789839337544e-08	0.6929012586444807
effector_memory_CD8_positive_alpha_beta_T_cell	-1.0517539702717701e-08	1.4828682000203491e-08	0.7609215380506165
CD8_positive_alpha_beta_T_cell	-1.7663673015339684e-08	1.7672806242334515e-08	0.8412196643709897
naive_B_cell	-1.223958849115105e-08	1.2189033746665697e-08	0.8423462528663433
double_negative_thymocyte	-1.6565903068352693e-08	1.6445434932975182e-08	0.8431107679067241
erythrocyte	-1.4962310969920217e-08	1.459764616027058e-08	0.8473139399302734
plasmablast	-1.9532363407668976e-08	1.5724907757247154e-08	0.8929055085058306
central_memory_CD8_positive_alpha_beta_T_cell	-1.7477357269375012e-08	1.2619431374011187e-08	0.9169670399143307
CD16_negative_CD56_bright_natural_killer_cell_human	-1.6256798637795632e-08	1.1505260760715503e-08	0.9211704152375344
memory_B_cell	-1.7545540336396894e-08	1.1786475341058244e-08	0.9317057930171068
effector_memory_CD4_positive_alpha_beta_T_cell	-1.814381053917438e-08	1.211967289139795e-08	0.9328104579605112
transitional_stage_B_cell	-2.4921367378274558e-08	1.339205202017813e-08	0.9686213657061739
regulatory_T_cell	-2.259614606012878e-08	1.187427087886111e-08	0.9714764776896369
mucosal_invariant_T_cell	-3.136494934959275e-08	1.287126931015517e-08	0.9925914462732469
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-3.091037491752632e-08	1.2393302432930273e-08	0.9936864953376887
central_memory_CD4_positive_alpha_beta_T_cell	-3.072124227320434e-08	1.1641135290945724e-08	0.995842752497285
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-3.1668280023997746e-08	1.1944626137317594e-08	0.9959903665588121
