Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD8_positive_alpha_beta_T_cell	1.2900784267015635e-08	1.0364642949731778e-08	0.10662256298428868
innate_lymphoid_cell	1.177557801112872e-08	9.713486026851525e-09	0.11270037936472455
plasmablast	9.984955733373355e-09	1.06224509990989e-08	0.17361235868202157
dendritic_cell	8.126785731515138e-09	1.0257480780849242e-08	0.21409903195281116
erythrocyte	9.314249881759295e-09	1.1997004406469268e-08	0.21876194120004944
platelet	6.7794474742669e-09	1.0537061514401421e-08	0.2599853054310062
gamma_delta_T_cell	6.0750812857000466e-09	1.0984936384113154e-08	0.29011888072577896
peripheral_blood_mononuclear_cell	4.905043253058574e-09	9.535382064702582e-09	0.3034846138346168
plasmacytoid_dendritic_cell	3.8896666404540355e-09	9.617130248360057e-09	0.34294021938487246
hematopoietic_precursor_cell	2.3699214848799727e-09	7.794882822445665e-09	0.3805504037433308
CD16_negative_CD56_bright_natural_killer_cell_human	1.7901967731434867e-09	8.868089369013385e-09	0.4200093730476316
transitional_stage_B_cell	1.1797577766189657e-09	7.535766269628082e-09	0.43779799997574254
CD4_positive_alpha_beta_T_cell	1.1184058302890702e-09	1.0243988807335415e-08	0.45653113397323225
double_negative_thymocyte	-2.5756347350761517e-09	1.0458701212240963e-08	0.5972622884705227
CD4_positive_alpha_beta_cytotoxic_T_cell	-2.513195798472059e-09	9.918066825204062e-09	0.6000187870987893
effector_memory_CD8_positive_alpha_beta_T_cell	-6.0753953276017515e-09	8.710107378643374e-09	0.7572584574359589
naive_B_cell	-5.258688860946577e-09	7.486606924684919e-09	0.7587891311359362
conventional_dendritic_cell	-7.3806749315401526e-09	9.825551103022909e-09	0.7737253048460881
natural_killer_cell	-6.6692191309631905e-09	8.672836485497382e-09	0.779046769257376
memory_B_cell	-7.766467214496362e-09	7.7330311761896e-09	0.8423887159379153
mucosal_invariant_T_cell	-9.383421031125106e-09	8.809382825912583e-09	0.8565987176495727
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.1919317653300816e-08	8.8616380664237e-09	0.9106949342274533
CD14_low_CD16_positive_monocyte	-2.144508050292546e-08	9.153751479632672e-09	0.9904292597179749
effector_memory_CD4_positive_alpha_beta_T_cell	-1.9562959796777822e-08	8.125970209410457e-09	0.9919680703609621
CD14_positive_monocyte	-2.1659485331729106e-08	8.878803596401438e-09	0.9926453824587168
central_memory_CD8_positive_alpha_beta_T_cell	-2.2809290831148074e-08	8.677097009638352e-09	0.9957141212573427
regulatory_T_cell	-2.241343846227014e-08	7.955566539366163e-09	0.9975787459907988
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.1278334799213395e-08	7.383977928328804e-09	0.9980222561379978
central_memory_CD4_positive_alpha_beta_T_cell	-2.9940578314781644e-08	6.888274800030741e-09	0.9999930868125222
