Name	Coefficient	Coefficient_std_error	Coefficient_P_value
erythrocyte	4.338551397049698e-08	1.2400336570139946e-08	0.00023373388635585928
platelet	2.11997428827146e-08	9.630821092221016e-09	0.013859540054622314
hematopoietic_precursor_cell	1.2836741842178487e-08	7.68137280647906e-09	0.047345825203390375
peripheral_blood_mononuclear_cell	1.616874885869211e-08	1.12386078811443e-08	0.07512074958757096
innate_lymphoid_cell	9.507063785341464e-09	8.658771131285532e-09	0.13610897507659608
CD14_positive_monocyte	3.387835898389269e-09	1.0110713410125912e-08	0.3687846806468228
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	4.856734687115218e-10	8.720705498875787e-09	0.47779358917280873
CD16_negative_CD56_bright_natural_killer_cell_human	-4.714004127274914e-10	8.498094349457851e-09	0.5221185063498555
plasmablast	-2.854531522441541e-09	9.808597378669258e-09	0.6144832948536814
double_negative_thymocyte	-5.273397926699261e-09	1.1057564951080293e-08	0.6832847895205718
central_memory_CD4_positive_alpha_beta_T_cell	-4.554432181623402e-09	8.845308956292628e-09	0.6966878622118975
regulatory_T_cell	-5.423431656307161e-09	8.353827900372378e-09	0.7419003405802413
CD4_positive_alpha_beta_T_cell	-7.4178929057294024e-09	1.025119516404555e-08	0.7653481657908312
CD8_positive_alpha_beta_T_cell	-7.779224250343853e-09	1.0237769517332296e-08	0.7763294823590345
memory_B_cell	-6.240044868769175e-09	7.561254206143964e-09	0.7953896618971379
dendritic_cell	-8.355213700794718e-09	8.710062359205801e-09	0.8312860888222194
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-8.614262589660389e-09	8.132608795877471e-09	0.8552513400175241
central_memory_CD8_positive_alpha_beta_T_cell	-1.1187624975795576e-08	9.468763062927265e-09	0.8813038230382231
transitional_stage_B_cell	-9.900239652426824e-09	7.54501094923944e-09	0.9052664326011153
conventional_dendritic_cell	-1.103335474315777e-08	8.358017447588434e-09	0.9065979036956744
plasmacytoid_dendritic_cell	-1.082178647499894e-08	8.011924826595639e-09	0.9116058160095685
mucosal_invariant_T_cell	-1.1557675899436502e-08	8.425911296868668e-09	0.9149188660033503
effector_memory_CD4_positive_alpha_beta_T_cell	-1.3936498441402087e-08	9.925090885372782e-09	0.9198656371496813
natural_killer_cell	-1.147317626855847e-08	7.804223641453579e-09	0.9292359097071498
effector_memory_CD8_positive_alpha_beta_T_cell	-1.200336404350311e-08	7.508721345294682e-09	0.9450440917938424
CD14_low_CD16_positive_monocyte	-1.6602140982269397e-08	8.341813831785348e-09	0.9767172822378412
naive_B_cell	-1.6419121004121886e-08	7.073941777378452e-09	0.9898584934573126
gamma_delta_T_cell	-2.4526969783475035e-08	8.967730845283184e-09	0.9968812249012013
CD4_positive_alpha_beta_cytotoxic_T_cell	-2.3020853022299553e-08	8.001854376278544e-09	0.9979922387887099
