Name	Coefficient	Coefficient_std_error	Coefficient_P_value
central_memory_CD4_positive_alpha_beta_T_cell	9.78268762189187e-09	4.872019385100852e-09	0.02232521551471483
gamma_delta_T_cell	1.039222231612463e-08	5.6932331482800805e-09	0.033973065894061315
effector_memory_CD4_positive_alpha_beta_T_cell	8.220031738832404e-09	5.217016412209631e-09	0.057556782959436316
central_memory_CD8_positive_alpha_beta_T_cell	6.9132411853965824e-09	5.185206258712639e-09	0.09122283367244699
CD16_negative_CD56_bright_natural_killer_cell_human	7.0248696775763296e-09	5.490293632754296e-09	0.1003592707093739
innate_lymphoid_cell	5.868058850835779e-09	4.6127565421940014e-09	0.10166220108371976
CD4_positive_alpha_beta_cytotoxic_T_cell	5.8691946365475595e-09	5.117553279514755e-09	0.12571661415191865
hematopoietic_precursor_cell	4.913984069972266e-09	4.724761633763447e-09	0.1491585455736597
mucosal_invariant_T_cell	4.3925366438307575e-09	5.039695778588056e-09	0.19171668288003685
double_negative_thymocyte	4.433179250002544e-09	5.402831403858935e-09	0.20595733364436242
dendritic_cell	3.3328727493300283e-09	5.7733192048668386e-09	0.28187217551552257
effector_memory_CD8_positive_alpha_beta_T_cell	2.7707976952334967e-09	4.863811090796156e-09	0.2844486484178348
CD8_positive_alpha_beta_T_cell	3.5675542810015707e-09	6.555948621161677e-09	0.29316205181012583
CD4_positive_alpha_beta_T_cell	2.535997850414416e-09	5.968966023819235e-09	0.33546796651030203
platelet	1.3924633819508624e-09	5.164093565640434e-09	0.39371733129901915
regulatory_T_cell	1.25243825714765e-09	5.151202734129511e-09	0.4039503655989026
memory_B_cell	8.544298999669021e-10	4.7102488963669446e-09	0.42802758008470615
erythrocyte	7.781783826658385e-10	5.713769913839136e-09	0.4458341526253741
peripheral_blood_mononuclear_cell	5.348290256839116e-10	5.4291369180431434e-09	0.4607633186715718
natural_killer_cell	-1.2697693346707545e-09	5.709499727814129e-09	0.5879971486641465
CD14_low_CD16_positive_monocyte	-2.3156002814051625e-09	6.070666944416457e-09	0.6485619181690708
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-2.2066341383648162e-09	5.371022279870314e-09	0.6594052980810193
CD14_positive_monocyte	-2.3208046144357835e-09	5.448000610078384e-09	0.6649431581860812
conventional_dendritic_cell	-2.715974223759991e-09	5.7023116521451494e-09	0.6830673677913752
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.7920162476280725e-09	5.067223162516825e-09	0.7091815585999943
plasmablast	-3.0346603031871584e-09	5.423544582989487e-09	0.7121015034414059
plasmacytoid_dendritic_cell	-3.9928082901827275e-09	5.166181588790939e-09	0.7802015726373187
naive_B_cell	-6.099022903779537e-09	4.479659572824333e-09	0.9133209487050623
transitional_stage_B_cell	-8.887462551412806e-09	4.550511990660954e-09	0.9745942725637803
