Name	Coefficient	Coefficient_std_error	Coefficient_P_value
effector_memory_CD8_positive_alpha_beta_T_cell	1.2105627750019686e-08	6.404976700945925e-09	0.02937666456984089
CD8_positive_alpha_beta_T_cell	1.0349277221659324e-08	8.11342308868067e-09	0.10105295116709007
gamma_delta_T_cell	6.712548441074136e-09	7.425713853041193e-09	0.18300830073408197
erythrocyte	7.102619395629119e-09	7.862747435658517e-09	0.18317661245564176
CD4_positive_alpha_beta_T_cell	6.168052950296526e-09	7.71477821891971e-09	0.21199697645677618
memory_B_cell	3.857610588260664e-09	5.451036400289807e-09	0.2395707951526338
transitional_stage_B_cell	4.068385832985007e-09	6.0776024391647625e-09	0.25161814223738166
double_negative_thymocyte	4.113894531966795e-09	6.4894566314666555e-09	0.26306157909577305
CD4_positive_alpha_beta_cytotoxic_T_cell	3.552779072931514e-09	6.4216184576875465e-09	0.290045121961888
peripheral_blood_mononuclear_cell	-1.211384501559929e-09	7.086912820943598e-09	0.5678616223291364
naive_B_cell	-2.4160932942728433e-09	6.73395356401939e-09	0.6401249081265606
innate_lymphoid_cell	-2.7029425954809553e-09	7.022093800189071e-09	0.6498515638730133
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.5888446223732947e-09	6.41090694360595e-09	0.6568270073847968
natural_killer_cell	-3.1565774839225035e-09	6.785106162764438e-09	0.6791135896614756
dendritic_cell	-3.1913094837999573e-09	5.567911753424627e-09	0.7167321325923632
central_memory_CD8_positive_alpha_beta_T_cell	-4.427171496409454e-09	6.210114578212316e-09	0.7620452244418178
effector_memory_CD4_positive_alpha_beta_T_cell	-4.582768988611409e-09	5.23125715048709e-09	0.8094947371662984
CD14_low_CD16_positive_monocyte	-6.5261672967470415e-09	7.244084402222103e-09	0.8161782142133528
CD14_positive_monocyte	-6.56307750790151e-09	6.986118966361794e-09	0.8262489502579754
mucosal_invariant_T_cell	-6.1883809606182085e-09	6.171890047122751e-09	0.8419904133307494
platelet	-6.6848786041931185e-09	6.483173139243472e-09	0.8487558849698391
conventional_dendritic_cell	-6.381497112300147e-09	5.935458537528498e-09	0.8588457917052696
plasmacytoid_dendritic_cell	-6.971566016539281e-09	5.932514934710735e-09	0.8800316704559165
regulatory_T_cell	-6.652465144273478e-09	5.626616559058076e-09	0.8814607594778695
CD16_negative_CD56_bright_natural_killer_cell_human	-7.1759928352679135e-09	5.6413122007739335e-09	0.89832111505936
plasmablast	-9.441568833618641e-09	6.698804414936859e-09	0.9206475793356874
central_memory_CD4_positive_alpha_beta_T_cell	-8.846031525022247e-09	5.871181853364402e-09	0.9340545069845088
hematopoietic_precursor_cell	-9.82114314132085e-09	6.209532506667425e-09	0.9431322381240506
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.263796643188978e-08	6.353337738351831e-09	0.9766596265240345
