Name	Coefficient	Coefficient_std_error	Coefficient_P_value
erythrocyte	1.6989452791441225e-08	7.734363007628809e-09	0.014023815315478048
mucosal_invariant_T_cell	1.5609375023131366e-08	7.397280472423033e-09	0.017422697695096953
CD4_positive_alpha_beta_cytotoxic_T_cell	1.3083942682238584e-08	7.289319744077199e-09	0.03633107147794102
innate_lymphoid_cell	1.551307757504691e-08	8.757058121386434e-09	0.03823927907408832
CD4_positive_alpha_beta_T_cell	1.3488839072472315e-08	7.748303602139066e-09	0.04085262098397378
memory_B_cell	1.3849358508564275e-08	8.175781407043448e-09	0.04513746675264542
gamma_delta_T_cell	1.1257592505240024e-08	7.07874645136545e-09	0.05587942962585737
effector_memory_CD8_positive_alpha_beta_T_cell	7.995945246754624e-09	6.712429401393813e-09	0.11678463545846046
central_memory_CD8_positive_alpha_beta_T_cell	8.843624942639787e-09	7.609432259767342e-09	0.12257864447513928
naive_B_cell	8.569434466299787e-09	7.702782532232057e-09	0.132959135351235
plasmablast	1.010774689278902e-08	9.227379754748058e-09	0.13666893480689285
CD16_negative_CD56_bright_natural_killer_cell_human	5.770579732685543e-09	6.5520368626227065e-09	0.18923180966732223
CD8_positive_alpha_beta_T_cell	6.922613394959721e-09	7.90272031962767e-09	0.19052085057001578
double_negative_thymocyte	6.790437498735421e-09	8.636137675698841e-09	0.21585121908642468
regulatory_T_cell	5.673213391035919e-09	7.272945180303767e-09	0.21768264454620373
plasmacytoid_dendritic_cell	5.109345343671377e-09	6.659485831498446e-09	0.22147292382927014
natural_killer_cell	2.5708358692936446e-09	7.4034312395077635e-09	0.3642020408019462
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	2.2378013825498486e-09	8.255803461025403e-09	0.3931732208474213
central_memory_CD4_positive_alpha_beta_T_cell	1.840611518041152e-09	6.999910890553466e-09	0.39629538735544223
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	1.8374600117160487e-09	7.762992754708191e-09	0.4064467849617892
transitional_stage_B_cell	1.2914218866444062e-09	6.51449811577442e-09	0.4214293802614807
dendritic_cell	1.6824758798106532e-09	8.695095461005885e-09	0.4232848329244333
CD14_low_CD16_positive_monocyte	1.3077613933521228e-09	8.945806889771448e-09	0.4418868520672229
effector_memory_CD4_positive_alpha_beta_T_cell	1.1326730238155447e-09	7.97000586028792e-09	0.44349381002372446
hematopoietic_precursor_cell	-1.4919243568115744e-09	6.06614012676842e-09	0.5971367996632726
peripheral_blood_mononuclear_cell	-4.197337418135236e-09	8.209892418675487e-09	0.6954132700404012
CD14_positive_monocyte	-6.1133986702525474e-09	8.44069902899561e-09	0.7655519528255869
platelet	-1.302795521799097e-08	6.625232020402425e-09	0.9753746504027746
conventional_dendritic_cell	-1.78795313469126e-08	6.837495304425699e-09	0.995537635899776
