Name	Coefficient	Coefficient_std_error	Coefficient_P_value
memory_B_cell	1.9725054364003744e-08	8.251901899468388e-09	0.008415826580807188
naive_B_cell	1.3743521074714588e-08	9.48420565531027e-09	0.07365543757340139
plasmablast	1.1311831172324785e-08	9.244499743733642e-09	0.11054624617845338
effector_memory_CD8_positive_alpha_beta_T_cell	8.043151591444969e-09	9.209303867738445e-09	0.19123007162613792
transitional_stage_B_cell	6.888617244868762e-09	7.998788755063466e-09	0.19456187202756575
effector_memory_CD4_positive_alpha_beta_T_cell	4.181299839827548e-09	8.394951300526148e-09	0.30921624220643174
erythrocyte	4.18181830623229e-09	1.0997416908475891e-08	0.35187821843991807
innate_lymphoid_cell	3.373119346714859e-09	9.521774188469608e-09	0.36157455410638406
gamma_delta_T_cell	2.6281827748543955e-09	1.0177433965806934e-08	0.39811227658810266
plasmacytoid_dendritic_cell	1.132483349910737e-09	7.998922129383453e-09	0.44370608247143445
mucosal_invariant_T_cell	9.8831122933861e-10	8.58775694833845e-09	0.45418937201756754
dendritic_cell	-1.2282813684699125e-09	7.568879752067434e-09	0.5644575035056947
hematopoietic_precursor_cell	-1.9836442589963263e-09	8.056435991049652e-09	0.5972434846876401
double_negative_thymocyte	-2.446338717277439e-09	9.597091453208025e-09	0.6006014457382942
platelet	-2.5686672646637313e-09	8.309068522787923e-09	0.6213925669810887
CD8_positive_alpha_beta_T_cell	-3.567011760662235e-09	1.0318465592798858e-08	0.6352129288711248
CD4_positive_alpha_beta_T_cell	-4.154742721061079e-09	9.887818481069868e-09	0.6628259416378245
CD4_positive_alpha_beta_cytotoxic_T_cell	-3.7782342572352556e-09	8.667791852963771e-09	0.6685430047300964
conventional_dendritic_cell	-4.593319879527731e-09	7.831255550978917e-09	0.7212425936125285
peripheral_blood_mononuclear_cell	-5.23499757047392e-09	8.254506385140288e-09	0.7370244359741339
CD14_low_CD16_positive_monocyte	-6.583653490727278e-09	9.774418817187066e-09	0.7497043228722072
CD14_positive_monocyte	-9.979627480377444e-09	9.65377263068375e-09	0.8493744434501616
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-9.843626561484938e-09	8.560916941258673e-09	0.874893711860649
natural_killer_cell	-1.022200021238321e-08	8.76910301333252e-09	0.8781288181932307
central_memory_CD8_positive_alpha_beta_T_cell	-9.746742467808645e-09	7.944678837692526e-09	0.8900560942590181
CD16_negative_CD56_bright_natural_killer_cell_human	-1.0173602912574679e-08	7.844529631173164e-09	0.9026679131337016
regulatory_T_cell	-1.2147342004719182e-08	8.026665120185866e-09	0.9349075893599251
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.3191274148840635e-08	7.673382245522025e-09	0.9572014754726124
central_memory_CD4_positive_alpha_beta_T_cell	-1.4862396658890047e-08	7.006680078120678e-09	0.9830464731306028
