Name	Coefficient	Coefficient_std_error	Coefficient_P_value
double_negative_thymocyte	1.7319151571837183e-08	7.31260438748258e-09	0.008932672819770842
CD4_positive_alpha_beta_T_cell	1.4814574410084219e-08	8.425861289542784e-09	0.03935447075663977
CD8_positive_alpha_beta_T_cell	1.3048991890767156e-08	8.025301076197834e-09	0.051976784744872974
naive_B_cell	1.2219048188889732e-08	7.614347050903012e-09	0.054275504523760405
plasmablast	4.07789392549563e-09	6.919584507765358e-09	0.2778211644713198
effector_memory_CD4_positive_alpha_beta_T_cell	2.4845104854143423e-09	6.574424066996494e-09	0.3527504281312176
dendritic_cell	1.715462847175785e-09	6.9135160646756104e-09	0.40201623491967786
gamma_delta_T_cell	9.100028764599332e-10	7.493006391710936e-09	0.4516685101807034
mucosal_invariant_T_cell	8.12582870313996e-10	7.524127402666447e-09	0.4569990526719174
effector_memory_CD8_positive_alpha_beta_T_cell	1.5548897469891973e-10	6.33919075027273e-09	0.4902156427919201
erythrocyte	6.608736398610085e-11	7.647678286330758e-09	0.4965525856901728
innate_lymphoid_cell	-2.7703963858823105e-10	7.407116201187468e-09	0.5149176898616349
CD16_negative_CD56_bright_natural_killer_cell_human	-5.501798876052637e-10	6.171520814809863e-09	0.5355179286746835
regulatory_T_cell	-2.0220847369499135e-09	6.8264019061356545e-09	0.616467170122533
central_memory_CD8_positive_alpha_beta_T_cell	-1.9880127117627694e-09	6.4960352047097815e-09	0.6202109180270207
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-3.670620183148473e-09	6.884306266465394e-09	0.7030478084366591
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-4.613404505284776e-09	7.339522551559565e-09	0.7351847334635437
CD4_positive_alpha_beta_cytotoxic_T_cell	-4.025009903229447e-09	5.947256428002806e-09	0.7507285962383832
central_memory_CD4_positive_alpha_beta_T_cell	-4.687883374338342e-09	6.019841730824397e-09	0.7819331558242772
hematopoietic_precursor_cell	-4.494966514524978e-09	5.52810932514122e-09	0.7919227905442054
CD14_positive_monocyte	-6.65873552251872e-09	7.098186767874763e-09	0.825900829191909
memory_B_cell	-5.698168086455688e-09	5.585013368261996e-09	0.8461975153983576
transitional_stage_B_cell	-6.910706551001882e-09	6.350708003811452e-09	0.8617419346815013
platelet	-7.200255611079093e-09	6.155516173555889e-09	0.8789439916363557
plasmacytoid_dendritic_cell	-7.949771416434998e-09	6.529376438026272e-09	0.88830042422546
CD14_low_CD16_positive_monocyte	-1.2059267972459859e-08	6.505953312807049e-09	0.9680999576536856
natural_killer_cell	-1.2342846006629024e-08	6.3188406057689584e-09	0.9746103574209201
conventional_dendritic_cell	-1.7350473062645258e-08	6.06694817212231e-09	0.997880695185012
peripheral_blood_mononuclear_cell	-2.31255063038173e-08	7.135290830761925e-09	0.999404452489974
