Name	Coefficient	Coefficient_std_error	Coefficient_P_value
plasmablast	1.829424250993742e-08	8.452303522978693e-09	0.015216483710435645
CD4_positive_alpha_beta_T_cell	1.497054991217483e-08	1.006464661908515e-08	0.06844942509948046
double_negative_thymocyte	8.12755963147271e-09	9.28631204459865e-09	0.19072729386303555
innate_lymphoid_cell	7.166308235828031e-09	9.692308301129213e-09	0.2298378496671098
dendritic_cell	5.281831335853035e-09	7.62238220248532e-09	0.24417451634953657
naive_B_cell	5.4250351422708295e-09	8.509745606686527e-09	0.2618968381068273
gamma_delta_T_cell	4.3351817713721455e-09	8.507274826712557e-09	0.30517102973477916
effector_memory_CD8_positive_alpha_beta_T_cell	2.975513657947643e-09	7.674246218125531e-09	0.3491089787659398
erythrocyte	2.8885456043184926e-09	8.586446468805581e-09	0.36828177032344356
central_memory_CD8_positive_alpha_beta_T_cell	2.718573934202965e-09	8.226305203051554e-09	0.37052119542620365
memory_B_cell	1.3717470659444064e-09	7.172524236421808e-09	0.42416476746669074
effector_memory_CD4_positive_alpha_beta_T_cell	1.3622107991484823e-09	8.083545458235218e-09	0.433088481551012
platelet	-3.78099663898757e-10	7.876905245411686e-09	0.5191422941367665
mucosal_invariant_T_cell	-1.2654300002822692e-09	8.426288215772718e-09	0.5596872949560489
transitional_stage_B_cell	-1.8504571370583612e-09	7.753737172883797e-09	0.5943128928792991
CD8_positive_alpha_beta_T_cell	-3.0962391976842535e-09	9.472514516746524e-09	0.6281152320628602
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-4.141586714216757e-09	8.085499028501163e-09	0.6957528785410465
peripheral_blood_mononuclear_cell	-5.065062533629381e-09	8.075748503607047e-09	0.7347340240761393
CD4_positive_alpha_beta_cytotoxic_T_cell	-5.417469914171263e-09	8.5863491001746e-09	0.7359600766027053
plasmacytoid_dendritic_cell	-6.423567892839555e-09	8.570279418580993e-09	0.7732270936523268
CD16_negative_CD56_bright_natural_killer_cell_human	-7.395359152378964e-09	7.635639700700828e-09	0.8336105541014243
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-8.688282983510013e-09	7.837352647285683e-09	0.8661929344220929
hematopoietic_precursor_cell	-7.908910351424668e-09	6.579739299691337e-09	0.8853201117839947
CD14_low_CD16_positive_monocyte	-1.160203762278321e-08	9.244711323453035e-09	0.8952591457437848
central_memory_CD4_positive_alpha_beta_T_cell	-1.0355075538379799e-08	7.377323649232462e-09	0.9197863346754025
natural_killer_cell	-1.2261658047052838e-08	8.211389752874432e-09	0.9323141255726932
CD14_positive_monocyte	-1.2817322156229045e-08	7.777192960403586e-09	0.9503303680541731
regulatory_T_cell	-1.3609119293742355e-08	7.919373167766392e-09	0.9571435504533126
conventional_dendritic_cell	-1.61153670460395e-08	7.878396955066967e-09	0.9795978684025325
