Name	Coefficient	Coefficient_std_error	Coefficient_P_value
erythrocyte	4.029919895607072e-08	1.1014774980183233e-08	0.00012677400076729927
platelet	2.0576095950893658e-08	9.255242060697966e-09	0.013101734467399496
hematopoietic_precursor_cell	1.4726894733519327e-08	7.062368441826318e-09	0.018522722606031165
peripheral_blood_mononuclear_cell	1.5015213891231107e-08	9.76159575114334e-09	0.06200077062830611
innate_lymphoid_cell	8.384454190456917e-09	8.221298603123512e-09	0.15390087574541117
CD14_positive_monocyte	5.467526792804989e-09	9.280002353302225e-09	0.2778726148989342
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	4.2908701793330795e-11	8.546178095615474e-09	0.4979969966421222
CD16_negative_CD56_bright_natural_killer_cell_human	-3.2302284210790247e-10	7.892362931434513e-09	0.5163235650459546
plasmablast	-3.1406325634956706e-09	9.254366470678112e-09	0.632833605637524
memory_B_cell	-3.579150210001703e-09	7.39274387254497e-09	0.6858580475272423
CD8_positive_alpha_beta_T_cell	-5.436691372634016e-09	9.883197310459275e-09	0.7088726820398845
double_negative_thymocyte	-6.633100654924171e-09	1.0495223529515526e-08	0.7363102778535724
CD4_positive_alpha_beta_T_cell	-7.074909931470261e-09	9.53689007205061e-09	0.770909873080808
conventional_dendritic_cell	-7.3483840338286735e-09	8.165340637022452e-09	0.8159261049711991
central_memory_CD4_positive_alpha_beta_T_cell	-7.738896020407187e-09	8.431179435757892e-09	0.8206617938563568
regulatory_T_cell	-7.3880771852113295e-09	7.614280773884784e-09	0.8340495660283402
dendritic_cell	-8.230723640791989e-09	8.341942995502504e-09	0.8380971544531945
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-8.083493376688506e-09	7.696025063005803e-09	0.8532205948768286
transitional_stage_B_cell	-8.801437760890627e-09	7.219894465767111e-09	0.8885880601115449
plasmacytoid_dendritic_cell	-1.0621623297259579e-08	7.805283608667078e-09	0.9132154644568853
effector_memory_CD4_positive_alpha_beta_T_cell	-1.3153831567134328e-08	9.530617143272706e-09	0.9162321949806422
central_memory_CD8_positive_alpha_beta_T_cell	-1.3769811185233678e-08	8.87343638324806e-09	0.9396451270310014
mucosal_invariant_T_cell	-1.2695874085349142e-08	8.122808319514467e-09	0.9409726120977238
effector_memory_CD8_positive_alpha_beta_T_cell	-1.1478615278295836e-08	7.152871892982919e-09	0.9457262620378313
natural_killer_cell	-1.2337808895655356e-08	7.486585961183284e-09	0.9503225026570201
CD14_low_CD16_positive_monocyte	-1.516379797910713e-08	8.144783021043686e-09	0.9686829799336867
naive_B_cell	-1.3787847963999902e-08	6.820258690529158e-09	0.9783912524665657
gamma_delta_T_cell	-2.4279396276741022e-08	8.937454562124795e-09	0.9967020832232947
CD4_positive_alpha_beta_cytotoxic_T_cell	-2.2121029998948405e-08	7.81697887078192e-09	0.9976716502201831
