Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD14_low_CD16_positive_monocyte	1.1527696466026503e-08	6.4123944264726646e-09	0.03611061165321619
CD14_positive_monocyte	7.746539204565802e-09	6.344073024898631e-09	0.11103029702462824
peripheral_blood_mononuclear_cell	6.370940932595824e-09	5.611343920847292e-09	0.12811055810646993
CD4_positive_alpha_beta_T_cell	5.239730300832717e-09	5.311413520417828e-09	0.161942944347076
effector_memory_CD8_positive_alpha_beta_T_cell	4.860042295356247e-09	5.58775808783598e-09	0.19221413341284804
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	3.1472006310770315e-09	5.592496358778372e-09	0.2868011468853927
conventional_dendritic_cell	3.0384717496571195e-09	5.919773455828001e-09	0.3038794828504081
CD8_positive_alpha_beta_T_cell	2.601612309245288e-09	6.34920242770285e-09	0.3409931362602791
central_memory_CD8_positive_alpha_beta_T_cell	1.8502603146623557e-09	4.865783936498423e-09	0.35187641712466355
central_memory_CD4_positive_alpha_beta_T_cell	1.7731677550832682e-09	5.039831446789984e-09	0.3624825922379403
platelet	6.902701210006345e-10	5.078132829460587e-09	0.4459383464398231
plasmablast	1.9118981363141152e-10	5.5831671097925435e-09	0.48634130157521227
plasmacytoid_dendritic_cell	-4.447643798640983e-10	5.416038151445364e-09	0.5327243060155201
dendritic_cell	-1.6419042524394232e-09	5.7902920890279584e-09	0.6116268001481343
transitional_stage_B_cell	-1.499503233650329e-09	5.144189615974971e-09	0.614663443999855
memory_B_cell	-1.6201350648525428e-09	5.206755228463971e-09	0.6221605858816481
regulatory_T_cell	-1.7118600675666797e-09	5.205403308858023e-09	0.6288700537349736
mucosal_invariant_T_cell	-2.1683867719489993e-09	5.648176822858679e-09	0.6494771083971702
effector_memory_CD4_positive_alpha_beta_T_cell	-3.099317173314048e-09	5.3240381082494226e-09	0.7197626459910481
double_negative_thymocyte	-4.474329798143584e-09	5.744097469509108e-09	0.7819936246845509
hematopoietic_precursor_cell	-3.6454381567538135e-09	4.383308634870132e-09	0.7972005686501324
innate_lymphoid_cell	-4.568114627014593e-09	5.08354264561433e-09	0.8155693849716674
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-5.203846240990952e-09	5.307631923654759e-09	0.836566982120215
gamma_delta_T_cell	-5.7337825328138376e-09	5.70203277587912e-09	0.8426883236000928
natural_killer_cell	-7.532398058508206e-09	5.322156884152288e-09	0.9215083298526978
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.0049362969626357e-08	5.587248317465295e-09	0.9639609682549194
erythrocyte	-9.172604091377284e-09	5.019322173879734e-09	0.9661845865293194
naive_B_cell	-1.190588308267799e-08	4.97352841824639e-09	0.9916637266507627
CD16_negative_CD56_bright_natural_killer_cell_human	-1.3508361538254505e-08	4.85628655241442e-09	0.997295613915678
