Name	Coefficient	Coefficient_std_error	Coefficient_P_value
conventional_dendritic_cell	1.6828207483693367e-08	6.7791578967777904e-09	0.006526045204406364
peripheral_blood_mononuclear_cell	1.3933857052659903e-08	6.177121334479631e-09	0.012044081464036342
CD14_low_CD16_positive_monocyte	1.1942843180915353e-08	7.098232819486812e-09	0.046235055415464146
CD14_positive_monocyte	1.1227416746651344e-08	6.788492045633296e-09	0.049074967786845815
transitional_stage_B_cell	4.535098905644304e-09	5.580734867148068e-09	0.2082137600431198
CD16_negative_CD56_bright_natural_killer_cell_human	4.956517004074971e-09	6.137181356170157e-09	0.20965437536725312
plasmablast	4.2084797282484415e-09	6.072537139333e-09	0.24414384774115927
effector_memory_CD8_positive_alpha_beta_T_cell	3.914323465308997e-09	5.683393643367515e-09	0.24549661000495426
naive_B_cell	3.5242060150330565e-09	5.843216198852518e-09	0.2732118435142153
natural_killer_cell	4.0106626095544095e-09	6.976272342258527e-09	0.28267928851687074
platelet	3.0476233232293828e-09	5.346146489306643e-09	0.2843185618440581
CD8_positive_alpha_beta_T_cell	3.288415608829348e-09	6.412756223187465e-09	0.3040481121437001
dendritic_cell	3.1772042554606066e-09	6.210559839857669e-09	0.3044721517828406
memory_B_cell	2.4985959473646584e-09	5.2156239456081435e-09	0.31594803110193265
gamma_delta_T_cell	2.7485909826695304e-09	6.113752840891966e-09	0.3265084265014014
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	2.3483730333538066e-09	5.2947368358906414e-09	0.3286913213719749
central_memory_CD4_positive_alpha_beta_T_cell	2.2110225134174672e-09	5.586959773723785e-09	0.3461458432869017
CD4_positive_alpha_beta_T_cell	1.3334001961663242e-09	7.0600762955662155e-09	0.42509937470249887
innate_lymphoid_cell	-3.46549924367124e-10	5.667317764376998e-09	0.5243796646060299
erythrocyte	-4.0039675202637137e-10	5.241365452432558e-09	0.5304462586753531
regulatory_T_cell	-4.195422812986957e-10	5.254264282001718e-09	0.5318209100275682
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.0349028787171752e-09	5.858528873118603e-09	0.5701079225557557
mucosal_invariant_T_cell	-1.7728043934090035e-09	5.132644388933881e-09	0.6351023575038102
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-2.0856320849804703e-09	5.5184231172099875e-09	0.6472623662967028
plasmacytoid_dendritic_cell	-3.483595332197811e-09	5.258797158783098e-09	0.7461527879867524
effector_memory_CD4_positive_alpha_beta_T_cell	-3.816520271222806e-09	5.0827447145902166e-09	0.773636905070054
hematopoietic_precursor_cell	-3.960056637709236e-09	5.163890044490827e-09	0.7784219918637785
central_memory_CD8_positive_alpha_beta_T_cell	-6.07337116225735e-09	4.655560730241011e-09	0.9039754531093941
double_negative_thymocyte	-1.2518062102476163e-08	5.622056808668629e-09	0.9870129334781891
