Name	Coefficient	Coefficient_std_error	Coefficient_P_value
innate_lymphoid_cell	1.2161140665989077e-08	6.675860384327643e-09	0.03425337685238657
CD14_positive_monocyte	1.1821883330162918e-08	8.772970351149892e-09	0.0889040178037796
plasmablast	8.669958584629973e-09	7.002573235518433e-09	0.1078375684484984
hematopoietic_precursor_cell	6.295306426943061e-09	5.265872533335792e-09	0.11594750637740892
platelet	6.152427573338026e-09	6.50296291618905e-09	0.1720497973786192
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	5.5198606745971215e-09	5.948910212319122e-09	0.17673552623408162
peripheral_blood_mononuclear_cell	7.522287887612256e-09	8.839611788468843e-09	0.1973916438752264
double_negative_thymocyte	5.3227804433475234e-09	6.282659552164041e-09	0.19843689176370266
CD14_low_CD16_positive_monocyte	7.148025025681583e-09	8.753302985726985e-09	0.20707598682894124
mucosal_invariant_T_cell	2.8811302092163012e-09	5.25824373915309e-09	0.29187124337962694
conventional_dendritic_cell	3.803541919077631e-09	7.833932402143323e-09	0.3136532640126405
transitional_stage_B_cell	8.443535439930039e-10	5.744626283176922e-09	0.44157332805579136
plasmacytoid_dendritic_cell	6.102530990776768e-10	6.863473822632022e-09	0.46457546512985615
dendritic_cell	2.2938205948846248e-10	6.716317416418345e-09	0.4863775921558152
CD16_negative_CD56_bright_natural_killer_cell_human	-1.233744394024571e-09	5.87196986959724e-09	0.5832080797619832
memory_B_cell	-1.2213225739219953e-09	5.558301035863131e-09	0.5869590764425203
gamma_delta_T_cell	-2.231018809474344e-09	6.139867353855759e-09	0.6418342376223443
effector_memory_CD4_positive_alpha_beta_T_cell	-2.900930526739904e-09	7.132801962547907e-09	0.657886857953917
regulatory_T_cell	-2.566585240982607e-09	5.573608587163534e-09	0.6774173542440141
central_memory_CD4_positive_alpha_beta_T_cell	-3.206014313898188e-09	6.930830238925519e-09	0.6781647350115066
natural_killer_cell	-3.6929828803877717e-09	5.44630205114724e-09	0.7511368595250324
erythrocyte	-4.39525878825927e-09	6.286640753799555e-09	0.7577685621200043
effector_memory_CD8_positive_alpha_beta_T_cell	-3.995491156673462e-09	5.4950215072400604e-09	0.766421051587248
naive_B_cell	-4.484577526813145e-09	5.854629330956737e-09	0.7781583659458031
central_memory_CD8_positive_alpha_beta_T_cell	-5.442760370844546e-09	6.6992983564429695e-09	0.7917296462311004
CD4_positive_alpha_beta_T_cell	-7.244815487908565e-09	7.60204953890489e-09	0.82970704000466
CD4_positive_alpha_beta_cytotoxic_T_cell	-6.2570790841855415e-09	6.40939819071969e-09	0.8355259980597927
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-5.779452962313316e-09	5.634527318579197e-09	0.8474884421878335
CD8_positive_alpha_beta_T_cell	-1.2503779862424095e-08	6.3502451859808456e-09	0.9755247843776983
