Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD14_low_CD16_positive_monocyte	2.2510420896767796e-08	1.119000672513329e-08	0.022128215605129196
CD14_positive_monocyte	2.27535783194806e-08	1.3388742925908595e-08	0.04461665740443952
peripheral_blood_mononuclear_cell	1.7010099960743236e-08	1.1450850201915174e-08	0.0687073069142874
dendritic_cell	1.2731546428758844e-08	1.0314056348914527e-08	0.1085291965370031
memory_B_cell	9.090905961191336e-09	9.857284776384041e-09	0.17819843066744934
plasmablast	8.522957129951867e-09	1.0345608864181887e-08	0.2050198872396537
effector_memory_CD4_positive_alpha_beta_T_cell	6.53827621464045e-09	7.969086899725743e-09	0.20597842119428317
regulatory_T_cell	6.779565806412129e-09	1.0704897206368848e-08	0.2632641679874222
transitional_stage_B_cell	4.791506351085086e-09	8.68486571133396e-09	0.2905743536936333
conventional_dendritic_cell	5.598442734662987e-09	1.1862900342764045e-08	0.31848885301114005
CD8_positive_alpha_beta_T_cell	4.90925050742235e-09	1.078330886651001e-08	0.3244597218209927
central_memory_CD8_positive_alpha_beta_T_cell	2.5355843152926593e-09	8.298952862235928e-09	0.37998102169612225
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	2.4321462247924825e-09	9.01956507666536e-09	0.39371389065470286
central_memory_CD4_positive_alpha_beta_T_cell	1.2024844327253523e-09	7.953136811822288e-09	0.43991045561419795
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	9.807805811588307e-10	8.60823188652271e-09	0.45464458270252767
naive_B_cell	7.500231594920764e-10	7.95610157544323e-09	0.4624472670652152
platelet	2.1267755584004063e-10	8.043099361074007e-09	0.4894523020214952
innate_lymphoid_cell	-3.2481692857043906e-10	8.059016340335576e-09	0.5160749308778596
plasmacytoid_dendritic_cell	-2.299319357714383e-09	7.540519000536844e-09	0.6197897061164682
double_negative_thymocyte	-3.966907949170972e-09	9.740691517804357e-09	0.6580882361395437
CD4_positive_alpha_beta_T_cell	-6.3998154050829505e-09	9.503093972477803e-09	0.7496680293026594
erythrocyte	-6.970485487855333e-09	9.63650736023143e-09	0.7652649424410665
mucosal_invariant_T_cell	-6.385583413605044e-09	8.304948228716062e-09	0.7790203986462282
natural_killer_cell	-7.729725773992764e-09	7.809255038290216e-09	0.8388679744851544
hematopoietic_precursor_cell	-6.17954948565637e-09	5.8714567286746925e-09	0.8537086966267672
CD16_negative_CD56_bright_natural_killer_cell_human	-1.1402720651999984e-08	7.90392220611334e-09	0.9254427238946269
effector_memory_CD8_positive_alpha_beta_T_cell	-1.3128859039188993e-08	7.233672927650392e-09	0.9652353117857784
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.564408638628829e-08	8.403147056590297e-09	0.9686768652256881
gamma_delta_T_cell	-1.746820593058335e-08	7.303732037855004e-09	0.9916143214066098
