Name	Coefficient	Coefficient_std_error	Coefficient_P_value
transitional_stage_B_cell	1.1843093411115306e-08	5.656321591455094e-09	0.018139788223631655
dendritic_cell	1.1238291322986709e-08	5.618688446323539e-09	0.022741346455987764
CD8_positive_alpha_beta_T_cell	1.107604790739202e-08	7.3670087332225e-09	0.06635944588460249
naive_B_cell	7.28459010696632e-09	5.019159113781902e-09	0.07334028296611952
memory_B_cell	6.6156777951743195e-09	4.7736899132988605e-09	0.082894448063493
CD14_positive_monocyte	6.886110289973689e-09	5.670552950027946e-09	0.11230454881186991
peripheral_blood_mononuclear_cell	6.1847297373089876e-09	5.7457968919277905e-09	0.14087599210425994
plasmacytoid_dendritic_cell	4.3846396265403465e-09	4.842175905562476e-09	0.1825975818478216
CD14_low_CD16_positive_monocyte	5.1111016088811946e-09	6.042142414827713e-09	0.19880180366223937
double_negative_thymocyte	3.717248818629248e-09	5.646396857052357e-09	0.2551598452442086
CD4_positive_alpha_beta_T_cell	2.3742858800012663e-09	5.8857335675096765e-09	0.3433281831549595
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	1.7938877505246004e-09	5.162496048069103e-09	0.3641136520120846
conventional_dendritic_cell	1.4683481692525277e-09	5.593553123123427e-09	0.3964652037346217
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	2.594483913979092e-10	5.3086062089464025e-09	0.4805101869456
regulatory_T_cell	-2.000243128474031e-11	5.484116803818443e-09	0.5014550743799074
plasmablast	-8.57871433402129e-10	6.478927320558646e-09	0.5526697938213949
platelet	-7.226581041411747e-10	5.3384912500643785e-09	0.5538393324321396
innate_lymphoid_cell	-5.8923652738488485e-09	5.3684787016206785e-09	0.8638072727155318
central_memory_CD8_positive_alpha_beta_T_cell	-5.781988115514238e-09	4.820285588213425e-09	0.8848354468888573
gamma_delta_T_cell	-6.834175617932206e-09	4.843695425211582e-09	0.920869211910522
mucosal_invariant_T_cell	-8.464880774115985e-09	5.281761874154306e-09	0.9454953873765355
effector_memory_CD4_positive_alpha_beta_T_cell	-7.700839769431124e-09	4.433568488332659e-09	0.958801065611262
effector_memory_CD8_positive_alpha_beta_T_cell	-9.359492532993698e-09	5.0512415086163435e-09	0.9680523223907698
erythrocyte	-1.0372853064104702e-08	5.255178490190179e-09	0.9757997226675807
hematopoietic_precursor_cell	-9.760288178902693e-09	4.936380203638496e-09	0.9759913701655821
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.140713878416936e-08	5.6639057610411365e-09	0.9779955352293994
CD16_negative_CD56_bright_natural_killer_cell_human	-1.0736004163591932e-08	5.142705411378668e-09	0.9815838445611095
central_memory_CD4_positive_alpha_beta_T_cell	-1.0617893128966835e-08	4.535916110535797e-09	0.9903800176916611
natural_killer_cell	-1.2428314895968772e-08	4.869158663135056e-09	0.9946516842422756
