Name	Coefficient	Coefficient_std_error	Coefficient_P_value
central_memory_CD4_positive_alpha_beta_T_cell	1.122451148872791e-08	9.536342744809903e-09	0.11959281278236628
CD14_positive_monocyte	1.190388137485515e-08	1.012994254035716e-08	0.11997368489939941
plasmablast	1.3056769374496854e-08	1.13767357737974e-08	0.12555184696053612
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	1.0435714220772338e-08	9.317244746155094e-09	0.13134773155702095
CD14_low_CD16_positive_monocyte	1.0838373638490988e-08	9.855022094056123e-09	0.13571360861071124
peripheral_blood_mononuclear_cell	9.111473154158013e-09	9.860973043683949e-09	0.17774489863812448
regulatory_T_cell	7.972215288582599e-09	9.485007698242077e-09	0.2003120914864921
effector_memory_CD4_positive_alpha_beta_T_cell	6.155484370080414e-09	8.300081305514475e-09	0.2291596017754423
conventional_dendritic_cell	6.18435738229932e-09	1.003955325600642e-08	0.26894750390346145
naive_B_cell	2.592880569128709e-09	7.772892763125488e-09	0.369348304635405
CD8_positive_alpha_beta_T_cell	2.9921236674955947e-09	1.0179702484252483e-08	0.3844055572405567
central_memory_CD8_positive_alpha_beta_T_cell	1.7903274505352197e-09	8.585048269499271e-09	0.4174036093123126
innate_lymphoid_cell	-4.797129759484658e-10	7.344869232564334e-09	0.5260374702502427
memory_B_cell	-1.0180681007848054e-09	1.017562411281933e-08	0.5398475642476112
dendritic_cell	-9.755327150383723e-10	9.35533205449543e-09	0.5415246733586597
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-9.352332678350766e-10	7.761041305106001e-09	0.5479578783670724
natural_killer_cell	-1.7411816080566272e-09	8.652871823334119e-09	0.5797390156907261
mucosal_invariant_T_cell	-2.114808823656232e-09	7.879385261885244e-09	0.6058033923034933
CD4_positive_alpha_beta_T_cell	-2.648406778745005e-09	9.589636086491896e-09	0.6087927318640274
gamma_delta_T_cell	-2.9695287878924327e-09	7.416107220556933e-09	0.6555749689122332
transitional_stage_B_cell	-3.699153608281015e-09	8.815957730312347e-09	0.6626102335739752
double_negative_thymocyte	-5.36112004682845e-09	9.090216866848484e-09	0.7223269382913573
erythrocyte	-5.6775768441498565e-09	8.309613852739389e-09	0.7527768198785046
CD16_negative_CD56_bright_natural_killer_cell_human	-5.473682290254446e-09	7.298401383806276e-09	0.7733677479795362
effector_memory_CD8_positive_alpha_beta_T_cell	-7.009691509688873e-09	8.204666214081083e-09	0.8035456335926269
plasmacytoid_dendritic_cell	-7.089975190351715e-09	8.054919507418664e-09	0.8106256913333625
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.062281144780634e-08	8.23954647069373e-09	0.9013439035002757
platelet	-1.0679905596223644e-08	8.000870946265077e-09	0.9090361116390846
hematopoietic_precursor_cell	-1.0042683992344299e-08	6.4769099643080815e-09	0.939493575724414
