Name	Coefficient	Coefficient_std_error	Coefficient_P_value
peripheral_blood_mononuclear_cell	1.3253441141361939e-08	6.5203039175325074e-09	0.021044371515435183
CD16_negative_CD56_bright_natural_killer_cell_human	6.420887990400618e-09	6.381215597978003e-09	0.15715558398985174
platelet	6.4538864849223475e-09	6.66351700311322e-09	0.16638723650272663
plasmacytoid_dendritic_cell	6.875072723033122e-09	7.450226501677035e-09	0.17805559073641625
hematopoietic_precursor_cell	4.117672644111251e-09	6.455781711009597e-09	0.261793112380634
double_negative_thymocyte	5.037910964307513e-09	8.778062048782034e-09	0.2830107535993135
CD14_positive_monocyte	2.3320314325519753e-09	7.518141938996317e-09	0.37820930008527975
CD4_positive_alpha_beta_T_cell	2.5281216918231173e-09	8.941971842942302e-09	0.3886937094336853
plasmablast	2.037240851688146e-09	7.781804262738501e-09	0.39673957837900553
erythrocyte	1.4645248380675105e-09	8.560017857375774e-09	0.43207689516199477
dendritic_cell	-3.5111027530613807e-10	8.648985436198506e-09	0.5161908319969531
CD14_low_CD16_positive_monocyte	-3.5276145087376787e-10	7.253489890720272e-09	0.5193942506379414
conventional_dendritic_cell	-1.1626279562029032e-09	7.01317606598509e-09	0.5658340383906905
transitional_stage_B_cell	-2.4630392412326134e-09	6.787814812344645e-09	0.641645967841165
innate_lymphoid_cell	-3.690030549260118e-09	7.118273836544592e-09	0.6979063450190878
central_memory_CD4_positive_alpha_beta_T_cell	-3.971878968030076e-09	6.6309866935956474e-09	0.7254094314230831
mucosal_invariant_T_cell	-5.146718540583256e-09	7.373839112016041e-09	0.7574020245025745
memory_B_cell	-4.960352417955524e-09	6.3276663890578365e-09	0.783454997896083
CD4_positive_alpha_beta_cytotoxic_T_cell	-7.689635173487716e-09	7.154929551248935e-09	0.8587527409611162
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-7.84382596569464e-09	6.348580020955669e-09	0.8916823123935693
naive_B_cell	-8.275520670989496e-09	6.637350953943654e-09	0.8937665552167982
effector_memory_CD8_positive_alpha_beta_T_cell	-8.77045589481158e-09	6.718771808365422e-09	0.9041158652212685
natural_killer_cell	-8.915416327347404e-09	6.5513804307967025e-09	0.9132187341642328
effector_memory_CD4_positive_alpha_beta_T_cell	-8.994902320673633e-09	6.4734608146836734e-09	0.9176602888882874
regulatory_T_cell	-1.0146821399593494e-08	6.415128415998457e-09	0.9431411912084539
CD8_positive_alpha_beta_T_cell	-1.3583998553854911e-08	7.413508878997559e-09	0.966548903402366
gamma_delta_T_cell	-1.47713399416467e-08	7.2659110610617855e-09	0.9789719499758996
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.3473479403285682e-08	6.339658040922724e-09	0.9832179178823331
central_memory_CD8_positive_alpha_beta_T_cell	-1.3305929833845057e-08	5.735115799504052e-09	0.9898317361525587
