Name	Coefficient	Coefficient_std_error	Coefficient_P_value
plasmablast	1.6579016778954637e-08	1.1078370889812487e-08	0.06725894518684826
innate_lymphoid_cell	1.587030336832377e-08	1.0749220037755201e-08	0.06991633821400359
gamma_delta_T_cell	1.1902865861032656e-08	1.2318454599326818e-08	0.16695631873999822
dendritic_cell	1.0927457152654984e-08	1.1829845151081296e-08	0.17781622128611768
hematopoietic_precursor_cell	7.725233666855294e-09	8.662372477282555e-09	0.1862460515380639
erythrocyte	1.0537631651003058e-08	1.2868098031621678e-08	0.20642292834670206
CD8_positive_alpha_beta_T_cell	6.955940022593066e-09	1.2048734576580203e-08	0.28186264558481317
plasmacytoid_dendritic_cell	5.735162581373571e-09	1.1677004993214241e-08	0.31166013208378984
peripheral_blood_mononuclear_cell	4.133346250183314e-09	1.183177655300142e-08	0.363415975604782
transitional_stage_B_cell	1.9815814665002404e-09	9.159277036030902e-09	0.4143586652040735
effector_memory_CD8_positive_alpha_beta_T_cell	7.503312364571315e-10	8.566647384205562e-09	0.4651022683712652
naive_B_cell	-2.7443655642389e-10	8.456794817986948e-09	0.5129440449471173
mucosal_invariant_T_cell	-1.4801528753680174e-09	9.966494187870869e-09	0.5590309938006397
CD16_negative_CD56_bright_natural_killer_cell_human	-2.5069064062494137e-09	1.020037742249639e-08	0.5970683280270681
double_negative_thymocyte	-3.823166678948968e-09	1.19400904086572e-08	0.6255900427174941
CD4_positive_alpha_beta_T_cell	-5.914941478924118e-09	1.1286939484360072e-08	0.6998787602786565
memory_B_cell	-6.471055283316922e-09	8.808611136203379e-09	0.7687170600310769
CD14_positive_monocyte	-8.143192479761889e-09	1.1043979693206422e-08	0.7695428676714775
natural_killer_cell	-6.9309023412458885e-09	8.990499538673253e-09	0.7796210583786904
conventional_dendritic_cell	-1.0249694343011095e-08	9.813707574352144e-09	0.8518559007835064
platelet	-1.1028617761990203e-08	9.73310997237105e-09	0.8714145348102849
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.3704291486570804e-08	9.529296853098559e-09	0.9248002798258042
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.368834911589656e-08	9.307035862499425e-09	0.9293210102232781
central_memory_CD4_positive_alpha_beta_T_cell	-1.6845308919003264e-08	9.74576503577828e-09	0.9580484291736636
CD14_low_CD16_positive_monocyte	-2.165834934004116e-08	1.1725348747931931e-08	0.9676365036263518
effector_memory_CD4_positive_alpha_beta_T_cell	-2.0196486741586597e-08	9.025294710651622e-09	0.987381801240439
regulatory_T_cell	-2.1032248659381148e-08	8.901897075215352e-09	0.9909281007288714
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.695239522816005e-08	8.78682449814755e-09	0.9989202239748896
central_memory_CD8_positive_alpha_beta_T_cell	-2.923368380246351e-08	8.042162581140435e-09	0.9998610380245014
