Name	Coefficient	Coefficient_std_error	Coefficient_P_value
peripheral_blood_mononuclear_cell	2.3707628211852536e-08	8.61630682680054e-09	0.0029662981636510055
CD14_low_CD16_positive_monocyte	1.778821143637977e-08	8.819420786489832e-09	0.021851071728743388
CD14_positive_monocyte	1.3489542456679731e-08	7.979100520504216e-09	0.045455712725635165
gamma_delta_T_cell	1.0056808229177758e-08	7.0176077602308265e-09	0.07591718479406676
natural_killer_cell	7.653257183376942e-09	7.337178791386951e-09	0.1484558508105862
platelet	4.882152911673723e-09	5.566398246629462e-09	0.19022274788572247
innate_lymphoid_cell	4.4719645438428254e-09	7.027225680416212e-09	0.2622653758590695
hematopoietic_precursor_cell	2.3734362372557078e-09	5.366552347424e-09	0.32914886473809457
conventional_dendritic_cell	2.6035745973950442e-09	6.4369728475316505e-09	0.3429328709907302
effector_memory_CD8_positive_alpha_beta_T_cell	2.631876968500431e-09	6.9708439150477156e-09	0.35288059991396536
CD16_negative_CD56_bright_natural_killer_cell_human	1.7932363924136727e-09	6.755404172598576e-09	0.3953305929969857
CD4_positive_alpha_beta_cytotoxic_T_cell	9.872286072634176e-10	7.691503571296738e-09	0.4489347580109048
memory_B_cell	-1.5192623509197113e-10	5.083946191017731e-09	0.5119200275927221
double_negative_thymocyte	-3.2303908286568272e-09	5.944597572378786e-09	0.7065783747833064
mucosal_invariant_T_cell	-4.102789203287658e-09	6.472412604922044e-09	0.736923269250606
central_memory_CD8_positive_alpha_beta_T_cell	-3.901972784117921e-09	5.59020299572564e-09	0.7574120234650705
plasmacytoid_dendritic_cell	-5.39014962153864e-09	6.274356867552476e-09	0.8048507160353453
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-6.161507323785426e-09	5.592455184536812e-09	0.8647155842176475
transitional_stage_B_cell	-6.040369642283245e-09	5.3799326571128286e-09	0.869230140995923
erythrocyte	-7.224891685253867e-09	5.448378037694972e-09	0.9075905592051154
effector_memory_CD4_positive_alpha_beta_T_cell	-7.74719465533384e-09	5.5053908727718745e-09	0.9203161862286309
dendritic_cell	-9.23076618143847e-09	6.000579924676105e-09	0.9380138687553847
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.0610137903819256e-08	6.4994288121608315e-09	0.9487099919285431
naive_B_cell	-8.61972361997934e-09	5.215798399630353e-09	0.9507957091962645
CD8_positive_alpha_beta_T_cell	-1.2352051180226648e-08	6.683955494836018e-09	0.9676999261682883
CD4_positive_alpha_beta_T_cell	-1.3640565951651048e-08	7.2482118122228305e-09	0.9700766654673689
plasmablast	-1.274656107382927e-08	6.41619807790981e-09	0.9765178563642553
regulatory_T_cell	-1.3700000400549209e-08	6.25611627469498e-09	0.9857326975541443
central_memory_CD4_positive_alpha_beta_T_cell	-1.723576250990652e-08	5.504634330463483e-09	0.9991293445381705
