Name	Coefficient	Coefficient_std_error	Coefficient_P_value
innate_lymphoid_cell	3.1559835666408256e-08	1.394672935001849e-08	0.01182140949554322
natural_killer_cell	1.0694428415864896e-08	1.2533902118134931e-08	0.1967630735452081
naive_B_cell	9.269933414068236e-09	1.1366648885828453e-08	0.20738222838096365
CD14_low_CD16_positive_monocyte	1.0505990500495988e-08	1.3580586348196636e-08	0.2195826210231417
gamma_delta_T_cell	8.422818980308925e-09	1.1090681118298535e-08	0.22379167412620599
CD8_positive_alpha_beta_T_cell	8.416068346939488e-09	1.2758904043153643e-08	0.2547478504652256
CD14_positive_monocyte	6.230256756098191e-09	1.1738990417341413e-08	0.29780228651492124
CD16_negative_CD56_bright_natural_killer_cell_human	6.644763807888099e-09	1.3798416200792812e-08	0.31505931216128863
hematopoietic_precursor_cell	3.818738003961343e-09	8.064410979547697e-09	0.3179176632480653
plasmacytoid_dendritic_cell	4.06860169202363e-09	1.2161906029712782e-08	0.3689873697248941
double_negative_thymocyte	2.117100555859492e-09	1.114439393470703e-08	0.42466631806861566
central_memory_CD4_positive_alpha_beta_T_cell	1.7891187148241673e-09	1.1469910185742557e-08	0.4380229455423914
effector_memory_CD8_positive_alpha_beta_T_cell	1.2816546975750184e-09	1.1855116999995411e-08	0.4569542848524017
plasmablast	1.3553179773303357e-10	1.020255318904157e-08	0.4947005643344892
peripheral_blood_mononuclear_cell	-2.2177274845944873e-09	1.2266923320091465e-08	0.5717334871065575
regulatory_T_cell	-3.192125258322986e-09	1.0086746115622427e-08	0.6241760773331788
CD4_positive_alpha_beta_T_cell	-4.125869596256229e-09	1.2907864516831005e-08	0.6253793694776474
effector_memory_CD4_positive_alpha_beta_T_cell	-5.163961727916522e-09	1.0461418225267993e-08	0.6892125939072092
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-5.09585940632787e-09	9.285201692548284e-09	0.7084338455772508
conventional_dendritic_cell	-7.390821998124502e-09	1.263393372605877e-08	0.7207253637401164
platelet	-6.71907763612012e-09	9.531214149817283e-09	0.7595808979885699
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.0312614327935046e-08	1.1329210509654021e-08	0.8186593242746818
transitional_stage_B_cell	-1.0376704097102867e-08	8.639935688604456e-09	0.8851275720569385
central_memory_CD8_positive_alpha_beta_T_cell	-1.2232476828217903e-08	9.995218118073201e-09	0.8894923657813245
erythrocyte	-1.4518300529801992e-08	1.059222579760828e-08	0.914758931013094
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.3699913949675686e-08	9.430147303719616e-09	0.9268573491524617
memory_B_cell	-1.744523690370453e-08	9.100176253895444e-09	0.9723824233817339
mucosal_invariant_T_cell	-2.1168984400992336e-08	1.0212568161894203e-08	0.9809062524783728
dendritic_cell	-2.507919826822576e-08	1.0402820113143755e-08	0.9920413796164179
