Name	Coefficient	Coefficient_std_error	Coefficient_P_value
gamma_delta_T_cell	1.8605288316578772e-08	8.412966411950837e-09	0.013500562097044014
hematopoietic_precursor_cell	1.4930646450098488e-08	6.926379838048341e-09	0.01555665478540058
effector_memory_CD8_positive_alpha_beta_T_cell	1.0870366965858979e-08	8.292436394013473e-09	0.09494960376870482
CD14_low_CD16_positive_monocyte	8.203010315612891e-09	7.48803817646439e-09	0.13665278466634484
innate_lymphoid_cell	9.648439176091503e-09	1.026294113500228e-08	0.17357693216387915
natural_killer_cell	6.58547609233108e-09	8.282415063287197e-09	0.2132731771822698
CD14_positive_monocyte	4.461367491914821e-09	6.772631831682486e-09	0.2550330781245481
CD16_negative_CD56_bright_natural_killer_cell_human	4.466582980992839e-09	8.410209599656086e-09	0.2976780104923159
peripheral_blood_mononuclear_cell	4.464773546781423e-09	9.257639726395056e-09	0.3148035625374822
effector_memory_CD4_positive_alpha_beta_T_cell	3.0556040747412556e-09	7.662520011329666e-09	0.3450303336672699
conventional_dendritic_cell	2.102327646007738e-09	7.2919225396318975e-09	0.3865550698676875
mucosal_invariant_T_cell	2.360072220910622e-09	9.158849011936316e-09	0.39832609830170446
central_memory_CD8_positive_alpha_beta_T_cell	1.879080345644852e-09	7.821958261310674e-09	0.40507541838144034
plasmacytoid_dendritic_cell	1.5783003986064022e-09	7.448291659710363e-09	0.4160921379553668
CD4_positive_alpha_beta_cytotoxic_T_cell	1.701021490034184e-09	8.10639024095504e-09	0.4168974046171243
naive_B_cell	-2.900281236514171e-10	6.725660758425196e-09	0.5171981066651187
central_memory_CD4_positive_alpha_beta_T_cell	-6.969311607076276e-10	7.135933806588591e-09	0.5389008560194534
CD4_positive_alpha_beta_T_cell	-2.9360238553219117e-09	7.996727209440374e-09	0.6432476209013901
erythrocyte	-6.030861247360695e-09	7.766800570699362e-09	0.7812708327824818
plasmablast	-6.871157214083254e-09	7.896117255098492e-09	0.807902918936047
platelet	-5.75597210151618e-09	6.1609295757503306e-09	0.8249177002379622
CD8_positive_alpha_beta_T_cell	-7.481931976901546e-09	7.657653627937175e-09	0.8357284952149968
dendritic_cell	-8.546051428199999e-09	7.56469588100145e-09	0.8707046471454422
double_negative_thymocyte	-9.484515541050197e-09	7.325896636112169e-09	0.9022805259170454
regulatory_T_cell	-1.1714252129028535e-08	6.804916542171236e-09	0.957414449126033
memory_B_cell	-1.1038566392464675e-08	5.947749598480207e-09	0.9682677462914822
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.4663202435063376e-08	6.77232217278165e-09	0.9848125165608477
transitional_stage_B_cell	-1.43517347461379e-08	5.856809266809693e-09	0.9928658285686964
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.7610314056738526e-08	6.4468717605925385e-09	0.99684867755986
