Name	Coefficient	Coefficient_std_error	Coefficient_P_value
gamma_delta_T_cell	1.4852332189119926e-08	1.0585354649710419e-08	0.0802932137121074
innate_lymphoid_cell	1.5886166863407918e-08	1.3753813321107598e-08	0.12403758414633553
hematopoietic_precursor_cell	7.695760351741894e-09	8.110636252420305e-09	0.17134898240310187
natural_killer_cell	9.210217360099007e-09	1.0847487228167221e-08	0.19792267468300262
peripheral_blood_mononuclear_cell	8.681068607762429e-09	1.3606997576607405e-08	0.26174152468453515
effector_memory_CD8_positive_alpha_beta_T_cell	6.711330621821292e-09	1.0638164056379888e-08	0.26406177900178596
CD4_positive_alpha_beta_cytotoxic_T_cell	4.6538996705785125e-09	1.0819537269559543e-08	0.33354744309776074
CD16_negative_CD56_bright_natural_killer_cell_human	5.340798234183414e-09	1.326860446261572e-08	0.3436529163883209
plasmablast	3.8912328287434605e-09	1.1947155485881227e-08	0.37232426966862
CD8_positive_alpha_beta_T_cell	2.556607096197674e-09	1.2775504864459957e-08	0.4206941904985877
double_negative_thymocyte	1.8670461658570595e-09	1.117140151490481e-08	0.4336349431346871
CD4_positive_alpha_beta_T_cell	2.1966239795020263e-09	1.3640937658482423e-08	0.4360341994431982
central_memory_CD8_positive_alpha_beta_T_cell	1.0537296178563594e-09	1.126240667145119e-08	0.46272867799317646
regulatory_T_cell	-2.9113518874787604e-10	1.0139589800402816e-08	0.5114531437161862
erythrocyte	-6.999900665270825e-10	1.594897826918182e-08	0.5175036921352106
CD14_positive_monocyte	-1.6207292603154783e-09	1.114442481884616e-08	0.557814152758048
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.4804633497912534e-09	9.42264350462146e-09	0.5624239255322759
mucosal_invariant_T_cell	-1.877640067590085e-09	9.541334672572726e-09	0.5780040950483024
CD14_low_CD16_positive_monocyte	-2.85946157228488e-09	1.2391855218012034e-08	0.5912467710908063
platelet	-2.2182755834014007e-09	9.548096096452437e-09	0.5918577776003181
plasmacytoid_dendritic_cell	-3.1487034769774584e-09	1.1972496541692104e-08	0.6037226788904195
central_memory_CD4_positive_alpha_beta_T_cell	-7.562046258901242e-09	9.794822788025916e-09	0.7799561817399507
effector_memory_CD4_positive_alpha_beta_T_cell	-1.0529368779160172e-08	1.0754130178795763e-08	0.8362347123609717
conventional_dendritic_cell	-1.390013690983833e-08	1.2350258037716775e-08	0.869810045227517
naive_B_cell	-1.7203714211837214e-08	1.064105400852625e-08	0.947031742475386
dendritic_cell	-2.5282708200427386e-08	1.394991059175165e-08	0.9650371861575975
transitional_stage_B_cell	-2.1788059470333945e-08	8.389277785954497e-09	0.9952997066774939
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.3933946138452105e-08	8.559581155483838e-09	0.9974142989160473
memory_B_cell	-2.8705446594754988e-08	9.533709392343849e-09	0.9986978072834231
