Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD14_positive_monocyte	2.0470035445588728e-08	7.935465089819624e-09	0.004946264638203348
conventional_dendritic_cell	1.498660903401405e-08	7.48264636946497e-09	0.02259676195333679
innate_lymphoid_cell	1.3141292752483186e-08	6.831249141313736e-09	0.02719592663474871
double_negative_thymocyte	1.1941254396444125e-08	6.9617614904873806e-09	0.04314847660749267
peripheral_blood_mononuclear_cell	1.0700679908533308e-08	7.576646529926723e-09	0.07892728803086613
platelet	7.517531484157906e-09	5.411873640727858e-09	0.08240404247205263
CD14_low_CD16_positive_monocyte	7.209505427755507e-09	7.904046706488917e-09	0.18085056644989433
CD8_positive_alpha_beta_T_cell	5.393819815610399e-09	7.240726997084524e-09	0.22815764301574493
CD16_negative_CD56_bright_natural_killer_cell_human	4.135781166472109e-09	7.1206755392585664e-09	0.28068323468363177
hematopoietic_precursor_cell	3.4579081854538713e-09	6.052909958475132e-09	0.2839048284578191
gamma_delta_T_cell	3.3139538494648114e-09	6.645501771257796e-09	0.30900374215239745
memory_B_cell	-7.216266137912288e-10	5.903178522458507e-09	0.5486470062111671
mucosal_invariant_T_cell	-1.5405332136111046e-09	6.740122620086318e-09	0.5903951635573556
plasmacytoid_dendritic_cell	-2.287821233493933e-09	6.847216190513409e-09	0.6308571134145841
CD4_positive_alpha_beta_T_cell	-3.987959801190126e-09	7.463629575218652e-09	0.7034396084002578
dendritic_cell	-3.80745630066807e-09	6.670918294477637e-09	0.7159169481866848
effector_memory_CD8_positive_alpha_beta_T_cell	-4.944117572073601e-09	7.3303544134352625e-09	0.7499943060535165
natural_killer_cell	-4.602910770274333e-09	6.38837346059151e-09	0.7643956244112076
central_memory_CD8_positive_alpha_beta_T_cell	-4.7107263234792954e-09	5.681359780390462e-09	0.7964915706334423
effector_memory_CD4_positive_alpha_beta_T_cell	-5.577293636689578e-09	6.47137237013553e-09	0.8056124732523644
plasmablast	-5.403444982483347e-09	6.036502034397776e-09	0.8146407984967023
erythrocyte	-6.4959128071242066e-09	6.479083435410967e-09	0.8419724469676739
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-5.658618289385608e-09	5.5646618039129426e-09	0.8453958091270208
regulatory_T_cell	-1.0731417247185905e-08	7.209196215869374e-09	0.9317001210761106
transitional_stage_B_cell	-9.02168235573758e-09	5.507624276861509e-09	0.949292822969044
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.2772335860227505e-08	6.872712272834649e-09	0.9684447858392499
naive_B_cell	-1.5220234530057937e-08	6.716009150251245e-09	0.9882823185196292
central_memory_CD4_positive_alpha_beta_T_cell	-1.516634572881527e-08	5.7767731921772966e-09	0.9956726504982907
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.0128590969103196e-08	6.2268918866433116e-09	0.999386495513319
