Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD14_positive_monocyte	2.5515574692757872e-08	1.4267279903350599e-08	0.036855910240325036
innate_lymphoid_cell	1.926392118038967e-08	1.2799306042758494e-08	0.06615234117589866
dendritic_cell	2.1436960143836848e-08	1.475740173811998e-08	0.07316404981845355
erythrocyte	2.4766429194156217e-08	1.7076760179534835e-08	0.07348740766034546
CD14_low_CD16_positive_monocyte	1.944185720103519e-08	1.4679649358841057e-08	0.09268365215768509
hematopoietic_precursor_cell	7.894594979537056e-09	9.707310261713376e-09	0.208033680859117
conventional_dendritic_cell	9.362537783181594e-09	1.3343961228335698e-08	0.2414546353346082
plasmablast	8.983416496316426e-09	1.3834013870006063e-08	0.2580490899749006
gamma_delta_T_cell	4.831601503307558e-09	1.04776417942822e-08	0.322351076296224
peripheral_blood_mononuclear_cell	4.490852272952801e-09	1.3628373285240982e-08	0.3708804883301896
plasmacytoid_dendritic_cell	3.6562515262639913e-09	1.1500095944159697e-08	0.37526815957287457
platelet	2.7408525761234495e-09	9.544175716693362e-09	0.3869890067663777
double_negative_thymocyte	2.7749592223710052e-09	1.1662478813751306e-08	0.4059641807156319
memory_B_cell	-2.2490304127958924e-09	1.1137445945425803e-08	0.580015888542818
natural_killer_cell	-3.568066879641632e-09	1.1660055758157639e-08	0.6202006096097522
CD16_negative_CD56_bright_natural_killer_cell_human	-4.0625824417895895e-09	1.157268966362268e-08	0.63722424837404
CD8_positive_alpha_beta_T_cell	-4.259975506667542e-09	1.1567217825413619e-08	0.6436677850162547
effector_memory_CD4_positive_alpha_beta_T_cell	-5.519810958411182e-09	1.083725187840208e-08	0.6947419086829935
regulatory_T_cell	-6.917465348909332e-09	1.1425009923267533e-08	0.727565594557317
naive_B_cell	-7.210002466352096e-09	1.1171051198541053e-08	0.7406719724703097
effector_memory_CD8_positive_alpha_beta_T_cell	-7.468526832326554e-09	9.997726448453628e-09	0.7724750171865297
central_memory_CD8_positive_alpha_beta_T_cell	-9.685314801742538e-09	1.1784672974473134e-08	0.7944208274524132
central_memory_CD4_positive_alpha_beta_T_cell	-9.376349509074735e-09	1.0639569572110067e-08	0.8109145579165471
transitional_stage_B_cell	-9.962070314832792e-09	1.023415431016594e-08	0.834826238078892
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.2463729213837337e-08	1.0219196826992841e-08	0.8886990892804225
CD4_positive_alpha_beta_T_cell	-1.617825935841782e-08	1.2342350263634222e-08	0.9050360504939571
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.5288506184838316e-08	1.0016730676898683e-08	0.9365320447920705
mucosal_invariant_T_cell	-1.7017114390137694e-08	1.11020342085044e-08	0.9373365012084193
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.998683250679827e-08	9.095486318321856e-09	0.9995111938893655
