Name	Coefficient	Coefficient_std_error	Coefficient_P_value
peripheral_blood_mononuclear_cell	6.443744294651014e-08	1.5680232289636607e-08	1.982841812713706e-05
platelet	6.03248065072591e-08	1.5306793820311436e-08	4.056322374462836e-05
CD14_low_CD16_positive_monocyte	3.2966341452578517e-08	1.4167850060718318e-08	0.009986851427096282
CD14_positive_monocyte	3.216384114603113e-08	1.6500708437382614e-08	0.025633384234318834
gamma_delta_T_cell	1.8428919807869045e-08	1.5129148067004465e-08	0.11159167410873855
conventional_dendritic_cell	1.1608731420250722e-08	1.4968772575506355e-08	0.2190132880262452
hematopoietic_precursor_cell	8.714195291021986e-09	1.3139418285330513e-08	0.2535979927250132
dendritic_cell	9.259062000764811e-09	1.5133640207481425e-08	0.27032846617327266
innate_lymphoid_cell	4.09735986164792e-09	1.3171033138275223e-08	0.377866587448461
natural_killer_cell	2.7145250035413205e-09	1.4078737456026063e-08	0.42355378469101046
CD4_positive_alpha_beta_cytotoxic_T_cell	9.449353169954794e-11	1.5234492137165e-08	0.49752553462476273
CD4_positive_alpha_beta_T_cell	-1.5011026344009223e-09	1.719304700842272e-08	0.5347869317648886
plasmacytoid_dendritic_cell	-7.351505669428888e-09	1.3037140658696263e-08	0.7135853042023055
effector_memory_CD8_positive_alpha_beta_T_cell	-8.210472820225602e-09	1.347138004342887e-08	0.7288952659708853
erythrocyte	-9.154524149708094e-09	1.3652563770438758e-08	0.7487416524286176
CD8_positive_alpha_beta_T_cell	-1.3360161599678656e-08	1.7341822069158824e-08	0.7794690473418932
double_negative_thymocyte	-1.3451363042233146e-08	1.4794150940690354e-08	0.8183870108293143
naive_B_cell	-1.2460824727228639e-08	1.1136734751712426e-08	0.8684073000082424
central_memory_CD8_positive_alpha_beta_T_cell	-1.299046868787469e-08	1.1411490301069923e-08	0.8725164522470212
CD16_negative_CD56_bright_natural_killer_cell_human	-1.3095241407376754e-08	1.110587565583311e-08	0.880826259477078
memory_B_cell	-1.590885073540932e-08	1.1507385289242517e-08	0.9165894258620886
effector_memory_CD4_positive_alpha_beta_T_cell	-1.6455051655134576e-08	1.1339409162415513e-08	0.9266293321014144
regulatory_T_cell	-1.718456273689438e-08	1.1745781626617737e-08	0.9282719505371807
transitional_stage_B_cell	-1.8609746614444567e-08	1.2334095522905874e-08	0.9343257054611347
plasmablast	-2.6588774438355523e-08	1.489070503651239e-08	0.962917603995288
central_memory_CD4_positive_alpha_beta_T_cell	-1.9632189587992346e-08	1.0618220658744879e-08	0.967764970849244
mucosal_invariant_T_cell	-2.6391859799494835e-08	1.0867311536482851e-08	0.9924204295329391
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.6771442015743335e-08	1.0527241910135408e-08	0.9945057331958105
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-3.7932649431960416e-08	1.1602581815566393e-08	0.9994609843475815
