Name	Coefficient	Coefficient_std_error	Coefficient_P_value
platelet	6.328016906220279e-08	2.0836977126822775e-08	0.0011950564831809288
peripheral_blood_mononuclear_cell	5.2076047611091186e-08	2.021013351441705e-08	0.004986998196674589
naive_B_cell	3.229579944321918e-08	1.4558489584826003e-08	0.013265549401626737
transitional_stage_B_cell	2.3497408254512307e-08	1.5236071271856562e-08	0.06150979640849894
hematopoietic_precursor_cell	1.8627647878198724e-08	1.2105036229372034e-08	0.061922347413889314
innate_lymphoid_cell	7.489792670356803e-09	1.4376054186682643e-08	0.30118657322420783
CD14_low_CD16_positive_monocyte	6.5643590180328595e-09	1.526228093185036e-08	0.33356021112215495
central_memory_CD8_positive_alpha_beta_T_cell	5.874454298143587e-10	1.2970353713395637e-08	0.48193752259173417
conventional_dendritic_cell	-2.0129189695998768e-10	1.3403971778864491e-08	0.5059908235759436
CD14_positive_monocyte	-1.2048661549928622e-09	1.329927664930113e-08	0.5360933408161684
erythrocyte	-1.854505810963485e-09	1.4990083970873575e-08	0.5492297326855143
effector_memory_CD8_positive_alpha_beta_T_cell	-1.9463696493888716e-09	1.4045151932976035e-08	0.5551087646075238
gamma_delta_T_cell	-3.7256529885017966e-09	1.5102672534848255e-08	0.5974252786051347
dendritic_cell	-4.619320114677824e-09	1.4988300690886663e-08	0.6210330414574582
plasmacytoid_dendritic_cell	-5.333803241920082e-09	1.2487646137468275e-08	0.665356364610713
double_negative_thymocyte	-8.829723847801593e-09	1.4695174103918197e-08	0.726032962973922
mucosal_invariant_T_cell	-9.555431952959582e-09	1.4279533390774112e-08	0.7483064034661664
memory_B_cell	-9.25778794077723e-09	1.2103191883886923e-08	0.7778358422566809
central_memory_CD4_positive_alpha_beta_T_cell	-1.0236497157089693e-08	1.3251403045862233e-08	0.7800860974421817
natural_killer_cell	-1.237127879483028e-08	1.554121410492142e-08	0.7869928153692445
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.1778810835727464e-08	1.2971478032924461e-08	0.8180753233593265
regulatory_T_cell	-1.3736580804537452e-08	1.3648124040864448e-08	0.8429079342077542
CD16_negative_CD56_bright_natural_killer_cell_human	-1.5053444591357166e-08	1.3524123202911177e-08	0.8671631786844634
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.3695937674540397e-08	1.2067404552614308e-08	0.8718025059654183
plasmablast	-2.1393954969895908e-08	1.5557852131428387e-08	0.9154532894815792
effector_memory_CD4_positive_alpha_beta_T_cell	-1.7518938076087034e-08	1.213428383694533e-08	0.9255961071816298
CD4_positive_alpha_beta_T_cell	-2.5200779061472193e-08	1.7361758506951164e-08	0.9266811540862947
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.354884866595327e-08	1.173367303446292e-08	0.9776222957315265
CD8_positive_alpha_beta_T_cell	-3.094699263549981e-08	1.3944287909841232e-08	0.9867678983272046
