Name	Coefficient	Coefficient_std_error	Coefficient_P_value
platelet	5.3914049538447874e-08	1.636365818609159e-08	0.0004925585128777914
peripheral_blood_mononuclear_cell	5.4406878350277564e-08	1.6879243308878598e-08	0.0006336120338073903
gamma_delta_T_cell	2.3617698685364996e-08	1.656455780316376e-08	0.0769634573282343
CD14_positive_monocyte	2.462450265473669e-08	1.845794665635439e-08	0.09108770863638999
hematopoietic_precursor_cell	1.1295346863020189e-08	1.3823629226368779e-08	0.206934413313064
naive_B_cell	9.145367176788863e-09	1.1659238039392682e-08	0.21640621938751597
innate_lymphoid_cell	2.590356025944023e-09	1.3144688480576417e-08	0.4218883959532099
dendritic_cell	2.3508289293381586e-09	1.6983715142263588e-08	0.4449555700257087
CD4_positive_alpha_beta_cytotoxic_T_cell	2.1410714034224837e-09	1.6074478751025686e-08	0.4470188148720562
CD14_low_CD16_positive_monocyte	1.9401297399614957e-09	1.5085590881109902e-08	0.4488338636632795
conventional_dendritic_cell	1.2682134513382262e-09	1.4637916473998322e-08	0.4654792594512231
effector_memory_CD8_positive_alpha_beta_T_cell	1.3560768894165717e-09	1.6327594590468658e-08	0.46690418299571246
transitional_stage_B_cell	-1.7273137030164568e-09	1.4280025182854056e-08	0.5481386925629005
natural_killer_cell	-3.351800346118933e-09	1.5708360633814472e-08	0.584483478040855
CD16_negative_CD56_bright_natural_killer_cell_human	-5.4619693944478055e-09	1.3550088981204454e-08	0.6565607295625298
erythrocyte	-6.748947287299021e-09	1.6150601709723125e-08	0.661981074521685
central_memory_CD8_positive_alpha_beta_T_cell	-7.932886803370912e-09	1.2874713667438134e-08	0.7311056200770248
double_negative_thymocyte	-1.756132740354385e-08	1.7269548885931943e-08	0.845398439621511
CD4_positive_alpha_beta_T_cell	-2.293895693506233e-08	1.9335729653463166e-08	0.882258089228226
CD8_positive_alpha_beta_T_cell	-2.114864145073547e-08	1.7733634157621953e-08	0.88348154656066
plasmablast	-1.9943611803260235e-08	1.5622684778007242e-08	0.8991247717959234
plasmacytoid_dendritic_cell	-1.9108077914377135e-08	1.493543894172886e-08	0.8996180810607461
regulatory_T_cell	-1.9980601061387913e-08	1.45601509591967e-08	0.9150118244129244
mucosal_invariant_T_cell	-2.138065957432662e-08	1.3644898326903538e-08	0.9414349784955144
effector_memory_CD4_positive_alpha_beta_T_cell	-2.2086631608955887e-08	1.2999917279411993e-08	0.9553387569718301
memory_B_cell	-1.9904489870400496e-08	1.1178312099489978e-08	0.9625139224520949
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-3.692434765358596e-08	1.2488491394914881e-08	0.9984450961732658
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-4.287834134646567e-08	1.2758625720513368e-08	0.999611321092346
central_memory_CD4_positive_alpha_beta_T_cell	-4.00759851650279e-08	1.1468252138174924e-08	0.9997625385081613
