Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD14_low_CD16_positive_monocyte	4.274784243761619e-08	1.286739276703738e-08	0.0004465793627777384
peripheral_blood_mononuclear_cell	5.1139905515803234e-08	1.8638406151040822e-08	0.0030367024107424215
platelet	4.7365106063511233e-08	1.9017919153320318e-08	0.006377251441357197
hematopoietic_precursor_cell	1.5200636135456667e-08	1.148554872558479e-08	0.09284163271207552
naive_B_cell	1.2164751938293692e-08	1.3879629623431167e-08	0.19039369133286144
conventional_dendritic_cell	9.78372497585702e-09	1.2287371212526762e-08	0.21294560165471083
central_memory_CD8_positive_alpha_beta_T_cell	8.43061350262846e-09	1.2712873784288648e-08	0.2536154506583458
dendritic_cell	1.0117253418152229e-08	1.5481180803692077e-08	0.2567107136387815
CD14_positive_monocyte	7.202665110962929e-09	1.299874035484231e-08	0.2897535445935278
central_memory_CD4_positive_alpha_beta_T_cell	5.414042286276381e-09	1.3060971865041633e-08	0.3392464308610198
plasmacytoid_dendritic_cell	4.062525463323389e-09	1.2474235329333676e-08	0.37233577128279816
innate_lymphoid_cell	3.6756793586697864e-09	1.4183814480041338e-08	0.397761281383734
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	2.794551414793473e-10	1.2743466621305445e-08	0.4912521812277332
transitional_stage_B_cell	-4.1185128585918316e-10	1.2550189130440934e-08	0.5130894764929901
regulatory_T_cell	-4.554389803970479e-09	1.3193852256291111e-08	0.6350243442892671
erythrocyte	-9.67412881363291e-09	1.5079332905698097e-08	0.7394169261216743
effector_memory_CD4_positive_alpha_beta_T_cell	-1.0998029090595227e-08	1.2497630755154787e-08	0.810572816525877
memory_B_cell	-9.821582066702843e-09	1.0902758444778494e-08	0.8161618665835715
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.2487144171121137e-08	1.1912009917880618e-08	0.8527456226204533
plasmablast	-1.5475809205534594e-08	1.3335074940081894e-08	0.8770842909232135
mucosal_invariant_T_cell	-2.1355259301855164e-08	1.3613607409440898e-08	0.9416375889375057
CD4_positive_alpha_beta_T_cell	-2.526691051389453e-08	1.5595655315122133e-08	0.9473972821345737
double_negative_thymocyte	-2.5321419256440393e-08	1.3492632492988864e-08	0.969719351241899
natural_killer_cell	-2.745258869408699e-08	1.4322487979515295e-08	0.9723649719808365
CD16_negative_CD56_bright_natural_killer_cell_human	-2.378080874897478e-08	1.2298374328003308e-08	0.9734221986311976
CD8_positive_alpha_beta_T_cell	-3.066294815185506e-08	1.45853918172939e-08	0.9822367345899862
gamma_delta_T_cell	-3.088463956736804e-08	1.4307939405947924e-08	0.9845580953578783
CD4_positive_alpha_beta_cytotoxic_T_cell	-2.856852410628366e-08	1.0740641229671496e-08	0.9960912589650502
effector_memory_CD8_positive_alpha_beta_T_cell	-3.20171162986382e-08	1.1882610782965863e-08	0.9964747687523811
