Name	Coefficient	Coefficient_std_error	Coefficient_P_value
peripheral_blood_mononuclear_cell	6.059374995505271e-08	1.762116988716814e-08	0.0002922675235775014
platelet	5.683389907949095e-08	1.7235935137703743e-08	0.00048790932823965266
CD14_positive_monocyte	3.384808431221881e-08	1.9785474183487487e-08	0.0435632429477166
gamma_delta_T_cell	2.650864318131202e-08	1.8692626992948395e-08	0.07807587558059081
CD14_low_CD16_positive_monocyte	1.1333525797338449e-08	1.5962136844470674e-08	0.2388441304816752
hematopoietic_precursor_cell	7.782124760868046e-09	1.4588002376682998e-08	0.2968573828010943
conventional_dendritic_cell	8.071003061749148e-09	1.5211884231922224e-08	0.2978576281403389
innate_lymphoid_cell	2.843179775738849e-09	1.4511835667631574e-08	0.4223358269535939
erythrocyte	1.8442442342526853e-09	1.5822647136279758e-08	0.4536054582379032
naive_B_cell	-2.877728627698455e-10	1.1874564874695866e-08	0.5096671774274814
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.266308525559186e-09	1.8383971768728108e-08	0.527457875697041
dendritic_cell	-2.789956128274322e-09	1.762868166736485e-08	0.5628749524520513
effector_memory_CD8_positive_alpha_beta_T_cell	-5.501402874409325e-09	1.8484840582745425e-08	0.6170022524827259
natural_killer_cell	-8.688755517716145e-09	1.746640997599863e-08	0.6905659369854374
CD4_positive_alpha_beta_T_cell	-1.4022820718484181e-08	1.860280001873324e-08	0.7745158232915076
CD16_negative_CD56_bright_natural_killer_cell_human	-1.3437352354733277e-08	1.43359525299884e-08	0.8257026043098596
central_memory_CD8_positive_alpha_beta_T_cell	-1.2911225600416889e-08	1.3569745466546265e-08	0.8293174514262608
CD8_positive_alpha_beta_T_cell	-1.8287478554753886e-08	1.8233270300453345e-08	0.842063065490962
transitional_stage_B_cell	-1.5845750569031716e-08	1.3454929212085934e-08	0.8805401145835693
double_negative_thymocyte	-2.1558838369692936e-08	1.794459117188284e-08	0.8852041931739991
plasmablast	-2.1012462374177914e-08	1.680755523086925e-08	0.8943830231529336
effector_memory_CD4_positive_alpha_beta_T_cell	-1.9514592980366533e-08	1.3254225482320897e-08	0.9295340986824739
regulatory_T_cell	-2.3891604934408862e-08	1.4467935644703003e-08	0.9506662906933776
plasmacytoid_dendritic_cell	-2.681950836852613e-08	1.4710259998678811e-08	0.9658622244082438
mucosal_invariant_T_cell	-2.405919405607312e-08	1.2794616544994928e-08	0.9699742571857387
memory_B_cell	-2.3290256329385346e-08	1.1353741747276906e-08	0.9798825264494411
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-3.733547439300021e-08	1.3287753181302676e-08	0.9975211218540738
central_memory_CD4_positive_alpha_beta_T_cell	-3.6612817046477865e-08	1.153753039917817e-08	0.999246590127633
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-4.579309405532207e-08	1.3350447805646245e-08	0.9996982975125278
