Name	Coefficient	Coefficient_std_error	Coefficient_P_value
peripheral_blood_mononuclear_cell	6.215283725047915e-08	1.6746046404873462e-08	0.00010302010462402808
CD14_low_CD16_positive_monocyte	4.1319442489427485e-08	1.3610052415486913e-08	0.0011988944882047406
platelet	4.765858686500864e-08	1.6115415026453122e-08	0.0015515832564642117
conventional_dendritic_cell	2.1301621553705728e-08	1.2539209795820201e-08	0.04467834698670643
hematopoietic_precursor_cell	1.7069324458650652e-08	1.0711268403817381e-08	0.05551442657518938
innate_lymphoid_cell	1.9185876671217155e-08	1.262340274367803e-08	0.06427236805656111
CD14_positive_monocyte	2.0452250658700244e-08	1.3468534232726053e-08	0.06444156802980838
dendritic_cell	1.762889311354243e-08	1.42790147878753e-08	0.10848942474759293
central_memory_CD8_positive_alpha_beta_T_cell	7.137556570934764e-09	1.1031915740682518e-08	0.25881869718867434
naive_B_cell	4.287019989720687e-09	1.1557624662709986e-08	0.3553464372455414
plasmablast	1.9013285234366795e-09	1.2275476449627763e-08	0.43845466167248576
plasmacytoid_dendritic_cell	1.509514811620934e-09	1.101414609948107e-08	0.4454947007047992
transitional_stage_B_cell	4.4716341726579793e-10	1.2709032696184165e-08	0.4859662338348429
central_memory_CD4_positive_alpha_beta_T_cell	-3.59031058364562e-09	1.1187833722296834e-08	0.6258614766124604
erythrocyte	-6.5500864235609255e-09	1.2806941332979285e-08	0.695481356054826
memory_B_cell	-1.003788307381552e-08	1.1404273449458846e-08	0.8106207513268111
CD16_negative_CD56_bright_natural_killer_cell_human	-1.1226469484842787e-08	1.25710603582584e-08	0.8140823313935874
double_negative_thymocyte	-1.1512717753168468e-08	1.2360380112307112e-08	0.824182087027751
natural_killer_cell	-1.3501106153191274e-08	1.2734290397188168e-08	0.8554769661181364
CD4_positive_alpha_beta_T_cell	-1.6556795868211472e-08	1.534695695941914e-08	0.859668796957654
regulatory_T_cell	-1.4867728644621981e-08	1.2599256340017964e-08	0.8810094597858977
gamma_delta_T_cell	-1.551910933403516e-08	1.2372218228848337e-08	0.8951428466165554
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.3222943914551484e-08	9.810124188343314e-09	0.9111527178755128
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.4896905053281974e-08	1.0530305549221712e-08	0.9214173308510475
effector_memory_CD4_positive_alpha_beta_T_cell	-1.5763185422216126e-08	1.0739097697805477e-08	0.9289249948134136
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.8828057764694433e-08	1.0417334772615158e-08	0.9646482897793472
CD8_positive_alpha_beta_T_cell	-2.8860261166685905e-08	1.3977109404737659e-08	0.9805301388002293
mucosal_invariant_T_cell	-2.3976836075884333e-08	1.1585924512911056e-08	0.9807494548177927
effector_memory_CD8_positive_alpha_beta_T_cell	-2.3116320186148632e-08	1.1126033540068145e-08	0.9811305076789093
