Name	Coefficient	Coefficient_std_error	Coefficient_P_value
platelet	4.447149915085725e-08	1.4845810994509199e-08	0.0013697125847298211
peripheral_blood_mononuclear_cell	4.58200460888605e-08	1.6864153759121387e-08	0.0032937475760305714
CD14_positive_monocyte	3.123421068685663e-08	1.8721804585368417e-08	0.04762478698047928
CD14_low_CD16_positive_monocyte	2.234252607227e-08	1.4907154809902155e-08	0.06696552634590913
gamma_delta_T_cell	2.2372241663399107e-08	1.5494341897566747e-08	0.07438390377967383
dendritic_cell	1.875601219111017e-08	1.85243302182226e-08	0.15564787427151983
hematopoietic_precursor_cell	9.738405409878869e-09	1.1787286340680652e-08	0.20435135241372998
conventional_dendritic_cell	1.1878969398590733e-08	1.5612323739113844e-08	0.2233669646547778
natural_killer_cell	8.921002035855032e-09	1.6523962372496014e-08	0.2946389518034223
naive_B_cell	4.164444043482305e-09	1.1821186364270354e-08	0.3623117160995827
innate_lymphoid_cell	1.890907035384542e-09	1.2319536684565556e-08	0.43900653473472007
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.4521784236593093e-09	1.5068833908954133e-08	0.5383865067340963
CD16_negative_CD56_bright_natural_killer_cell_human	-1.9537724926428943e-09	1.292815660628303e-08	0.560061591298331
transitional_stage_B_cell	-4.164701439993784e-09	1.281061596411707e-08	0.6274464249775425
plasmacytoid_dendritic_cell	-4.861679274644175e-09	1.4805702631068627e-08	0.628682269205203
effector_memory_CD8_positive_alpha_beta_T_cell	-1.1156464097050203e-08	1.5605109916525424e-08	0.7626719275442606
erythrocyte	-1.2291823474656045e-08	1.680875143126911e-08	0.7676944697692383
central_memory_CD8_positive_alpha_beta_T_cell	-8.77400839769221e-09	1.171357018520376e-08	0.7730854013752427
memory_B_cell	-1.0578903514035284e-08	1.1172589803945564e-08	0.8281455117458036
plasmablast	-1.482689374041537e-08	1.515950348868805e-08	0.8359775080545506
CD4_positive_alpha_beta_T_cell	-1.692529072110978e-08	1.683346699135884e-08	0.8426610557281622
double_negative_thymocyte	-1.9575097060813517e-08	1.612975419279336e-08	0.8875500706427732
mucosal_invariant_T_cell	-1.68937910311345e-08	1.3308919703469762e-08	0.8978433938697117
regulatory_T_cell	-2.148541152981124e-08	1.2494969915785284e-08	0.9572405785007481
effector_memory_CD4_positive_alpha_beta_T_cell	-2.6355591505018027e-08	1.150915148253759e-08	0.9889884214435498
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.7367088283144262e-08	1.155590100487005e-08	0.9910634084265871
CD8_positive_alpha_beta_T_cell	-3.710370425232316e-08	1.5173346695457226e-08	0.9927638378088176
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-3.507670611761684e-08	1.272231206472507e-08	0.9970841879825328
central_memory_CD4_positive_alpha_beta_T_cell	-3.889138244555894e-08	1.1976586013102596e-08	0.9994174407544508
