Name	Coefficient	Coefficient_std_error	Coefficient_P_value
innate_lymphoid_cell	2.1738348651240038e-08	8.577319355835635e-09	0.005632021433600167
plasmacytoid_dendritic_cell	1.578851825301177e-08	8.71896599954395e-09	0.03508400234209076
dendritic_cell	1.472263910076501e-08	9.729427805301197e-09	0.06511353239843473
gamma_delta_T_cell	1.6498462559424457e-08	1.2021838436453916e-08	0.08497346737522549
CD16_negative_CD56_bright_natural_killer_cell_human	8.117493237199661e-09	8.308610866378288e-09	0.16428515950096034
transitional_stage_B_cell	7.737109553137707e-09	8.833688781751274e-09	0.1905519996708837
erythrocyte	8.258486158838842e-09	1.001896012151379e-08	0.2048886039046936
plasmablast	7.8349901455671e-09	1.0019650855971286e-08	0.21711833804627717
hematopoietic_precursor_cell	5.825396769357545e-09	8.196718944680853e-09	0.23863551027095486
double_negative_thymocyte	3.7111118533011453e-09	1.033212592364038e-08	0.35972953582914013
CD4_positive_alpha_beta_cytotoxic_T_cell	3.3762109371553245e-09	9.75131657175108e-09	0.36458444979078464
natural_killer_cell	2.1078271299117336e-09	8.883418039272638e-09	0.40622111146637085
conventional_dendritic_cell	1.2350278555916404e-09	8.679291467122709e-09	0.4434231303957775
CD14_positive_monocyte	1.1746048784591562e-09	9.387293565526357e-09	0.45021146216427865
peripheral_blood_mononuclear_cell	5.838661714271548e-10	9.930413134070682e-09	0.47655739346284876
mucosal_invariant_T_cell	-8.017540078730788e-10	9.048452494715578e-09	0.5353027800149268
CD4_positive_alpha_beta_T_cell	-1.1048188449744124e-09	9.801327292331845e-09	0.5448742628945287
memory_B_cell	-1.8528857957330096e-09	6.611121721772005e-09	0.610364046297213
platelet	-4.461210660422087e-09	8.9954616580281e-09	0.6900316833013265
naive_B_cell	-3.729745653272674e-09	6.828086529455122e-09	0.7075480871750445
effector_memory_CD8_positive_alpha_beta_T_cell	-5.969027699275926e-09	8.46098168583675e-09	0.7597432696316576
CD8_positive_alpha_beta_T_cell	-7.258060438987763e-09	9.726086428065092e-09	0.7722408155473068
central_memory_CD4_positive_alpha_beta_T_cell	-7.99034009135593e-09	9.354847254410555e-09	0.8034860177474484
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-8.622438046876425e-09	7.974816413135934e-09	0.8601977763656148
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.4029571893743919e-08	9.219327645627713e-09	0.9359649492804072
CD14_low_CD16_positive_monocyte	-1.3155995632810932e-08	8.392625388628602e-09	0.9415087937437692
effector_memory_CD4_positive_alpha_beta_T_cell	-1.3575172131153142e-08	7.3830345159183515e-09	0.9670202044054138
central_memory_CD8_positive_alpha_beta_T_cell	-1.770246790235291e-08	7.466201560395102e-09	0.9911303187468321
regulatory_T_cell	-2.6115767511642138e-08	7.762261766731956e-09	0.9996165227404582
