Name	Coefficient	Coefficient_std_error	Coefficient_P_value
plasmablast	1.9425584417285462e-08	1.3095674416401975e-08	0.0689895484221287
innate_lymphoid_cell	1.461451430701236e-08	1.2701046020395912e-08	0.12493722458093187
gamma_delta_T_cell	1.4607720555322714e-08	1.3691871940977444e-08	0.14301076704662202
dendritic_cell	1.299327879931792e-08	1.2860682494460973e-08	0.15617334611988792
hematopoietic_precursor_cell	8.743985044690418e-09	9.577291155533955e-09	0.18062351625761036
transitional_stage_B_cell	5.973859105733132e-09	9.836843813776234e-09	0.27182781264796485
CD8_positive_alpha_beta_T_cell	7.951231306370747e-09	1.3403727045348451e-08	0.2765201511370472
erythrocyte	5.907071417036669e-09	1.508250058778716e-08	0.34765817281012057
naive_B_cell	2.798259865685666e-09	9.680565783298446e-09	0.386267908512512
plasmacytoid_dendritic_cell	2.023338994114271e-09	1.1892845228321785e-08	0.43245364506958134
double_negative_thymocyte	1.962132261752775e-09	1.3323059584690992e-08	0.44145811426490467
effector_memory_CD8_positive_alpha_beta_T_cell	1.207179544439298e-09	1.0246169459982812e-08	0.4531060745664729
CD16_negative_CD56_bright_natural_killer_cell_human	1.386569134713477e-09	1.1956912434983946e-08	0.45384061141028226
peripheral_blood_mononuclear_cell	5.252288668611397e-10	1.2373008782760005e-08	0.4830701575411303
platelet	3.1201426283365406e-10	1.1642794470247231e-08	0.4893100591878655
CD4_positive_alpha_beta_T_cell	-1.0681690515206898e-09	1.217581928177146e-08	0.5349538541764407
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.0340800771018761e-09	1.1634340366415304e-08	0.5354120407021252
memory_B_cell	-6.223318846924831e-09	9.813741184372389e-09	0.737006367459765
natural_killer_cell	-7.806926930387335e-09	9.815171486544168e-09	0.7868077787088034
mucosal_invariant_T_cell	-1.1780928625682358e-08	1.1682248312254644e-08	0.8433800477898842
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.5434686968149763e-08	1.1497691103677169e-08	0.9102694599015582
conventional_dendritic_cell	-1.780962989864605e-08	1.159156989057767e-08	0.9377834615415405
effector_memory_CD4_positive_alpha_beta_T_cell	-1.590070734204088e-08	1.0324632196778414e-08	0.9382289566304565
regulatory_T_cell	-2.02937631881099e-08	1.0464931278104616e-08	0.9737624848253392
CD14_low_CD16_positive_monocyte	-2.552801521855545e-08	1.1661135568337632e-08	0.9857071558159233
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.2833654067310605e-08	9.789551015736611e-09	0.99016152722906
CD14_positive_monocyte	-2.8297036013029842e-08	1.1978154498378749e-08	0.9909211610227466
central_memory_CD4_positive_alpha_beta_T_cell	-2.3849903772299595e-08	9.46587806127464e-09	0.9941250181793249
central_memory_CD8_positive_alpha_beta_T_cell	-3.109261643748036e-08	1.0193759350405868e-08	0.9988564098355396
