Name	Coefficient	Coefficient_std_error	Coefficient_P_value
plasmablast	1.7596185001401145e-08	1.2985887954215312e-08	0.08770501466512687
innate_lymphoid_cell	1.4942037100340397e-08	1.2682556930663163e-08	0.11936710704755243
dendritic_cell	1.3964741667460353e-08	1.2838572380396773e-08	0.1383598886541459
hematopoietic_precursor_cell	9.243261929417712e-09	9.54657622952685e-09	0.1664652695531617
gamma_delta_T_cell	1.323875120947182e-08	1.3699552936972457e-08	0.16693110080222784
transitional_stage_B_cell	6.587058831560129e-09	9.748483559103925e-09	0.24961529143762723
CD8_positive_alpha_beta_T_cell	6.78174925226003e-09	1.3226235327629532e-08	0.3040631816589592
naive_B_cell	4.552579931380901e-09	9.533899245048712e-09	0.3164977198210943
erythrocyte	6.8074811202938346e-09	1.5123959046648093e-08	0.32631470722834177
plasmacytoid_dendritic_cell	3.3459860863432373e-09	1.1708850105705282e-08	0.3875288445584498
CD16_negative_CD56_bright_natural_killer_cell_human	2.523620705956949e-09	1.203233301541453e-08	0.41693662617549276
double_negative_thymocyte	2.7047649814414147e-09	1.3323336540117862e-08	0.4195637714149454
peripheral_blood_mononuclear_cell	2.464981514770625e-09	1.2180540122822858e-08	0.41981355983289653
effector_memory_CD8_positive_alpha_beta_T_cell	1.2025143006786011e-09	1.023813753778647e-08	0.4532499887272883
platelet	3.4911670547433285e-10	1.1690673243446089e-08	0.48808822097230514
CD4_positive_alpha_beta_cytotoxic_T_cell	-2.7816124948744285e-09	1.1520530122700483e-08	0.5953961618362887
CD4_positive_alpha_beta_T_cell	-3.6919196939509697e-09	1.2009322357539638e-08	0.6207385842533791
memory_B_cell	-5.3741129185621e-09	9.557727899103066e-09	0.7130371432887972
natural_killer_cell	-8.133876288172011e-09	9.797062601723447e-09	0.7967973816377115
mucosal_invariant_T_cell	-1.1396548346591829e-08	1.1789225947345265e-08	0.8331509424800055
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.4605061984774722e-08	1.1351517632786417e-08	0.9008861909572558
conventional_dendritic_cell	-1.5704905740579316e-08	1.1414634009257161e-08	0.9155670671015074
effector_memory_CD4_positive_alpha_beta_T_cell	-1.5791011647796987e-08	1.048680006489586e-08	0.9339405927560053
regulatory_T_cell	-2.0809926548612753e-08	1.0428320410773184e-08	0.9770069265153871
CD14_low_CD16_positive_monocyte	-2.3923581472266894e-08	1.1675139932746838e-08	0.9797740499528167
CD14_positive_monocyte	-2.485110994774543e-08	1.1863186203444064e-08	0.9819060153256455
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.2618401990299574e-08	9.819089528152621e-09	0.9893750063308084
central_memory_CD4_positive_alpha_beta_T_cell	-2.3816464781174513e-08	9.30475627857704e-09	0.9947603820953698
central_memory_CD8_positive_alpha_beta_T_cell	-3.022316662312711e-08	1.0141310811609182e-08	0.9985597136969675
